mercenary_id,formation_id0,formation_id1,action0,action1,action2,speed0,speed1,speed2
50100001,10005,101,1000,0,0,4,0,0
50100002,10005,101,0,300,500,0,4,4
50100003,10005,101,0,300,500,0,4,4
52010101,10005,101,1000,0,0,4,0,0
52010201,10005,101,1000,0,0,4,0,0
52010102,10005,101,1000,0,0,4,0,0
52010202,10005,101,1000,0,0,4,0,0
52010103,10005,101,1000,0,0,4,0,0
52010203,10005,101,1000,0,0,4,0,0
52010104,10005,101,1000,0,0,4,0,0
52010204,10005,101,1000,0,0,4,0,0
52010105,10005,101,1000,0,0,4,0,0
52010205,10005,101,1000,0,0,4,0,0
52010106,10005,101,1000,0,0,4,0,0
52010206,10005,101,1000,0,0,4,0,0
52010107,10005,101,1000,0,0,4,0,0
52010207,10005,101,1000,0,0,4,0,0
52020101,10005,101,1000,0,0,4,0,0
52020201,10005,101,1000,0,0,4,0,0
52020102,10005,101,1000,0,0,4,0,0
52020202,10005,101,1000,0,0,4,0,0
52020103,10005,101,1000,0,0,4,0,0
52020203,10005,101,1000,0,0,4,0,0
52020104,10005,101,1000,0,0,4,0,0
52020204,10005,101,1000,0,0,4,0,0
52020105,10005,101,1000,0,0,4,0,0
52020205,10005,101,1000,0,0,4,0,0
52020106,10005,101,1000,0,0,4,0,0
52020206,10005,101,1000,0,0,4,0,0
52020107,10005,101,1000,0,0,4,0,0
52020207,10005,101,1000,0,0,4,0,0
52030101,10005,101,1000,0,0,4,0,0
52030201,10005,101,1000,0,0,4,0,0
52030102,10005,101,1000,0,0,4,0,0
52030202,10005,101,1000,0,0,4,0,0
52030103,10005,101,1000,0,0,4,0,0
52030203,10005,101,1000,0,0,4,0,0
52030104,10005,101,1000,0,0,4,0,0
52030204,10005,101,1000,0,0,4,0,0
52030105,10005,101,1000,0,0,4,0,0
52030205,10005,101,1000,0,0,4,0,0
52030106,10005,101,1000,0,0,4,0,0
52030206,10005,101,1000,0,0,4,0,0
52030107,10005,101,1000,0,0,4,0,0
52030207,10005,101,1000,0,0,4,0,0
52040101,10005,101,1000,0,0,4,0,0
52040201,10005,101,1000,0,0,4,0,0
52040102,10005,101,1000,0,0,4,0,0
52040202,10005,101,1000,0,0,4,0,0
52040103,10005,101,1000,0,0,4,0,0
52040203,10005,101,1000,0,0,4,0,0
52040104,10005,101,1000,0,0,4,0,0
52040204,10005,101,1000,0,0,4,0,0
52040105,10005,101,1000,0,0,4,0,0
52040205,10005,101,1000,0,0,4,0,0
52040106,10005,101,1000,0,0,4,0,0
52040206,10005,101,1000,0,0,4,0,0
52040107,10005,101,1000,0,0,4,0,0
52040207,10005,101,1000,0,0,4,0,0
52050101,10005,101,1000,0,0,4,0,0
52050201,10005,101,1000,0,0,4,0,0
52050102,10005,101,1000,0,0,4,0,0
52050202,10005,101,1000,0,0,4,0,0
52050103,10005,101,1000,0,0,4,0,0
52050203,10005,101,1000,0,0,4,0,0
52050104,10005,101,1000,0,0,4,0,0
52050204,10005,101,1000,0,0,4,0,0
52050105,10005,101,0,300,500,0,4,4
52050205,10005,101,0,300,500,0,4,4
52050106,10005,101,0,300,500,0,4,4
52050206,10005,101,0,300,500,0,4,4
52050107,10005,101,0,300,500,0,4,4
52050207,10005,101,0,300,500,0,4,4
52060101,10005,101,0,300,500,0,4,4
52060201,10005,101,0,300,500,0,4,4
52060102,10005,101,0,300,500,0,4,4
52060202,10005,101,0,300,500,0,4,4
52060103,10005,101,0,300,500,0,4,4
52060203,10005,101,0,300,500,0,4,4
52060104,10005,101,0,300,500,0,4,4
52060204,10005,101,0,300,500,0,4,4
52060105,10005,101,0,300,500,0,4,4
52060205,10005,101,0,300,500,0,4,4
52060106,10005,101,0,300,500,0,4,4
52060206,10005,101,0,300,500,0,4,4
52060107,10005,101,0,300,500,0,4,4
52060207,10005,101,0,300,500,0,4,4
