x,y,scale,rangey,rangex,offsetx,offsety
-140,60,0.5,25,40,50,50
-20,100,0.5,30,0,50,50
175,140,0.5,30,10,50,50
-90,75,0.5,30,0,50,50
40,110,0.5,15,20,50,50
200,175,0.5,30,60,50,50
-120,30,0.5,25,20,50,50
100,140,0.5,25,20,50,50
-165,15,0.5,30,20,50,50
-40,50,0.5,25,20,50,50
85,100,0.5,25,10,50,50
-70,25,0.5,35,10,50,50
60,60,0.5,35,20,50,50
185,110,0.5,35,10,50,50
90,55,0.5,10,30,50,50
10,65,0.5,20,30,50,50
140,115,0.5,30,50,50,50
-170,-35,0.5,30,10,50,50
-40,10,0.5,30,20,50,50
170,70,0.5,30,0,50,50
20,20,0.5,30,0,40,40
-100,-20,0.5,30,30,40,40
-190,-70,0.5,30,20,40,40
-65,-30,0.5,30,60,40,40
70,10,0.5,40,10,40,40
-130,-60,0.5,40,10,40,40
-10,-20,0.5,40,30,40,40
120,20,0.5,40,20,40,40
160,30,0.5,60,20,40,40
-90,70,0.5,60,10,40,40
45,-40,0.5,60,20,40,40
-120,-110,0.5,60,50,40,40
10,-65,0.5,60,0,40,40
140,-25,0.5,60,0,40,40
-160,-100,0.5,60,-10,40,40
-40,-60,0.5,60,-10,40,40
100,-25,0.5,60,50,40,40
-210,-160,0.5,60,50,40,40
-220,-110,0.5,60,10,30,30
-80,-120,0.5,60,10,30,30
50,-80,0.5,75,10,30,30
-170,-150,0.5,75,50,30,30
10,-100,0.5,75,10,30,30
110,-70,0.5,75,0,30,30
-230,-200,0.5,75,0,30,30
-105,-160,0.5,75,50,30,30
30,-120,0.5,75,20,30,30
-190,-210,0.5,75,-10,30,30
-50,-150,0.5,75,10,30,30
75,-125,0.5,75,10,30,30
-260,-250,0.5,75,0,30,30
-130,-205,0.5,75,10,30,30
10,-165,0.5,75,10,30,30
-140,-235,0.5,75,0,30,30
-40,-190,0.5,75,10,30,30
100,-150,0.5,90,0,20,20
-195,-250,0.5,90,50,20,20
-80,-200,0.5,90,50,20,20
50,-160,0.5,90,0,20,20
-260,-305,0.5,90,10,20,20
-130,-260,0.5,90,0,20,20
20,-210,0.5,90,20,20,20
-200,-280,0.5,90,-10,20,20
-80,-240,0.5,90,0,20,20
-30,-230,0.5,90,-10,20,20
75,-190,0.5,90,20,20,20
115,-110,0.5,90,50,20,20
10,-135,0.5,90,0,20,20
-150,-180,0.5,90,-10,20,20
-40,-100,0.5,90,10,20,20
