x,y,scale,rangey,rangex,offsetx,offsety
-200,10,0.5,25,40,50,50
30,70,0.5,30,0,50,50
-100,40,0.5,30,10,50,50
-50,60,0.5,30,0,50,50
130,80,0.5,15,20,50,50
190,100,0.5,30,60,50,50
-140,35,0.5,25,20,50,50
50,95,0.5,25,20,50,50
90,85,0.5,30,20,50,50
-180,40,0.5,25,20,50,50
-80,60,0.5,25,10,50,50
-160,30,0.5,35,10,50,50
-75,65,0.5,35,20,50,50
70,65,0.5,35,10,50,50
150,110,0.5,10,30,50,50
160,80,0.5,20,30,50,50
-190,-20,0.5,30,50,50,50
-90,10,0.5,30,10,50,50
-130,0,0.5,30,20,50,50
-35,20,0.5,30,0,50,50
40,35,0.5,30,0,40,40
140,50,0.5,30,30,40,40
100,60,0.5,30,20,40,40
200,70,0.5,30,60,40,40
120,30,0.5,40,10,40,40
-60,0,0.5,40,10,40,40
-160,-28,0.5,40,30,40,40
175,40,0.5,40,20,40,40
-30,-60,0.5,60,20,40,40
-135,-50,0.5,60,10,40,40
240,40,0.5,60,20,40,40
30,-45,0.5,60,50,40,40
110,-20,0.5,60,0,40,40
-45,-30,0.5,60,0,40,40
-195,-85,0.5,60,-10,40,40
-260,-70,0.5,60,-10,40,40
60,-20,0.5,60,50,40,40
270,40,0.5,60,50,40,40
-125,-80,0.5,60,10,30,30
-110,-60,0.5,60,10,30,30
160,0,0.5,75,10,30,30
20,-10,0.5,75,50,30,30
210,15,0.5,75,10,30,30
130,0,0.5,75,0,30,30
-5,-30,0.5,75,0,30,30
65,-55,0.5,75,50,30,30
0,45,0.5,75,20,30,30
-235,-45,0.5,75,-10,30,30
180,-30,0.5,75,10,30,30
-165,-80,0.5,75,10,30,30
10,-75,0.5,75,0,30,30
-150,-110,0.5,75,10,30,30
220,-20,0.5,75,10,30,30
0,-65,0.5,75,0,30,30
-120,-120,0.5,75,10,30,30
120,-55,0.5,90,0,20,20
40,-80,0.5,90,50,20,20
-95,-95,0.5,90,50,20,20
-205,-50,0.5,90,0,20,20
-65,-50,0.5,90,10,20,20
-20,-90,0.5,90,0,20,20
240,15,0.5,90,20,20,20
-215,-115,0.5,90,-10,20,20
140,-25,0.5,90,0,20,20
-230,-80,0.5,90,-10,20,20
250,-25,0.5,90,20,20,20
280,10,0.5,90,50,20,20
150,-60,0.5,90,0,20,20
-250,-110,0.5,90,-10,20,20
-50,-85,0.5,90,10,20,20
