id,name,nebula,icon,x,y,front,tasktypes,n1,n2,n3,n4,txt,goto,snum,onum,type,privilegetype,privilegenum,privilegetxt1,privilegetxt2,show,needhero,providehero
1001001,勤恳,10001,icon_wanhuajing_01,-350,150,0,12,1,0,0,0,任意1名英雄达到1级可解锁,30,0,6,1,1,1001,挂机每日获得金币产量,+10K,0,5006,5010100
1001002,谦卑,10001,icon_wanhuajing_02,-50,-100,1001001,12,61,0,0,0,任意1名英雄达到61级且已解锁前置星耀“勤恳”时可解锁,30,0,6,1,2,2001,挂机每日获得英雄经验产量,+20K,0,1018,5010200
1001003,精神,10001,icon_wanhuajing_02,50,100,1001002,81,30,0,0,0,试炼之塔达到30层且已解锁前置星耀“谦卑”时可解锁,28,0,8,1,3,3001,挂机每日获得魔粉产量,+8,0,5004,5010300
1001004,公正,10001,icon_wanhuajing_03,350,-150,1001003,91,1,0,0,0,参与1次公会狩猎且已解锁前置星耀“精神”时可解锁,4,2,6,1,5,5001,解锁挂机获得,钻石,1,0,0
1002001,信仰,10002,icon_wanhuajing_01,-350,-150,0,72,40,0,0,0,法阵等级达40级可解锁,30,0,6,1,1,1002,挂机每日获得金币产量,+10K,0,3003,5020100
1002002,灵感,10002,icon_wanhuajing_01,-200,120,1002001,217,1,5,0,0,拥有1名精英+级别英雄且已解锁前置星耀“信仰”时可解锁,21,0,6,1,2,2002,挂机每日获得英雄经验产量,+20K,0,4005,5020200
1002003,光辉,10002,icon_wanhuajing_02,0,0,1002002,221,1,1001,60,0,铸时星域-北境追影完成度大于60%且已解锁前置星耀“灵感”时可解锁,31,0,8,1,3,3002,挂机每日获得魔粉产量,+8,0,2001,5020300
1002004,念力,10002,icon_wanhuajing_02,200,120,1002003,81,50,0,0,0,试炼之塔达到50层且已解锁前置星耀“光辉”时可解锁,28,0,10,1,4,4001,挂机每日获得青铜铸币产量,+10,0,1005,5020400
1002005,灵魂,10002,icon_wanhuajing_03,350,-150,1002004,43,6,0,0,0,通关冒险关卡第6章且已解锁前置星耀“念力”时可解锁,40,2,8,1,6,6001,解锁挂机获得,精英品质装备,1,0,0
1003001,知识,10003,icon_wanhuajing_01,-300,-200,0,72,50,0,0,0,法阵等级达50级可解锁,30,0,6,1,1,1003,挂机每日获得金币产量,+10K,0,4004,5030100
