attribute_list_group,weight_attribute,attribute_type1,lv,odds_lv1,odds_lv2,attribute_valve1,attribute_type2,attribute_valve2,quality,icon,name
10101,1000,6,1,10000,10000,2160,99,21600,4,slogo14300101.png,生命总量
10101,1000,6,2,5000,5000,4320,99,43200,4,slogo14300101.png,生命总量
10101,1000,6,3,3000,3000,6480,99,64800,4,slogo14300101.png,生命总量
10101,1000,6,4,3000,3000,8640,99,86400,4,slogo14300101.png,生命总量
10101,1000,6,5,3000,3000,10800,99,108000,4,slogo14300101.png,生命总量
10101,1000,7,1,10000,10000,216,99,21600,4,slogo14300201.png,物理攻击
10101,1000,7,2,5000,5000,432,99,43200,4,slogo14300201.png,物理攻击
10101,1000,7,3,3000,3000,648,99,64800,4,slogo14300201.png,物理攻击
10101,1000,7,4,3000,3000,864,99,86400,4,slogo14300201.png,物理攻击
10101,1000,7,5,3000,3000,1080,99,108000,4,slogo14300201.png,物理攻击
10101,1000,8,1,10000,10000,108,99,10800,4,slogo14300301.png,物理防御
10101,1000,8,2,5000,5000,216,99,21600,4,slogo14300301.png,物理防御
10101,1000,8,3,3000,3000,324,99,32400,4,slogo14300301.png,物理防御
10101,1000,8,4,3000,3000,432,99,43200,4,slogo14300301.png,物理防御
10101,1000,8,5,3000,3000,540,99,54000,4,slogo14300301.png,物理防御
10101,1000,9,1,10000,10000,432,99,21600,4,slogo14300401.png,魔法攻击
10101,1000,9,2,5000,5000,864,99,43200,4,slogo14300401.png,魔法攻击
10101,1000,9,3,3000,3000,1296,99,64800,4,slogo14300401.png,魔法攻击
10101,1000,9,4,3000,3000,1728,99,86400,4,slogo14300401.png,魔法攻击
10101,1000,9,5,3000,3000,2160,99,108000,4,slogo14300401.png,魔法攻击
10101,1000,10,1,10000,10000,216,99,10800,4,slogo14300501.png,魔法防御
10101,1000,10,2,5000,5000,432,99,21600,4,slogo14300501.png,魔法防御
10101,1000,10,3,3000,3000,648,99,32400,4,slogo14300501.png,魔法防御
10101,1000,10,4,3000,3000,864,99,43200,4,slogo14300501.png,魔法防御
10101,1000,10,5,3000,3000,1080,99,54000,4,slogo14300501.png,魔法防御
10102,1000,6,1,10000,10000,2160,99,21600,4,slogo14300101.png,生命总量
10102,1000,6,2,5000,5000,4320,99,43200,4,slogo14300101.png,生命总量
10102,1000,6,3,3000,3000,6480,99,64800,4,slogo14300101.png,生命总量
10102,1000,6,4,3000,3000,8640,99,86400,4,slogo14300101.png,生命总量
10102,1000,6,5,3000,3000,10800,99,108000,4,slogo14300101.png,生命总量
10102,1000,7,1,10000,10000,216,99,21600,4,slogo14300201.png,物理攻击
10102,1000,7,2,5000,5000,432,99,43200,4,slogo14300201.png,物理攻击
10102,1000,7,3,3000,3000,648,99,64800,4,slogo14300201.png,物理攻击
10102,1000,7,4,3000,3000,864,99,86400,4,slogo14300201.png,物理攻击
10102,1000,7,5,3000,3000,1080,99,108000,4,slogo14300201.png,物理攻击
10102,1000,8,1,10000,10000,108,99,10800,4,slogo14300301.png,物理防御
10102,1000,8,2,5000,5000,216,99,21600,4,slogo14300301.png,物理防御
10102,1000,8,3,3000,3000,324,99,32400,4,slogo14300301.png,物理防御
10102,1000,8,4,3000,3000,432,99,43200,4,slogo14300301.png,物理防御
10102,1000,8,5,3000,3000,540,99,54000,4,slogo14300301.png,物理防御
10102,1000,9,1,10000,10000,432,99,21600,4,slogo14300401.png,魔法攻击
10102,1000,9,2,5000,5000,864,99,43200,4,slogo14300401.png,魔法攻击
10102,1000,9,3,3000,3000,1296,99,64800,4,slogo14300401.png,魔法攻击
10102,1000,9,4,3000,3000,1728,99,86400,4,slogo14300401.png,魔法攻击
10102,1000,9,5,3000,3000,2160,99,108000,4,slogo14300401.png,魔法攻击
10102,1000,10,1,10000,10000,216,99,10800,4,slogo14300501.png,魔法防御
