id,tasktypes,n1,n2,n3,n4,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,limit_time,sale,money_id,name,rebate_show,describe
1,41,1,110520,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,701,礼包,999%+,"恭喜通关5-20,我们为您准备了超值礼包，帮助您快速通关~"
2,41,1,110540,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,702,礼包,999%+,"恭喜通关5-40,我们为您准备了超值礼包，帮助您快速通关~"
3,41,1,110620,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,703,礼包,999%+,"恭喜通关6-20,我们为您准备了超值礼包，帮助您快速通关~"
4,41,1,110640,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,704,礼包,999%+,"恭喜通关6-40,我们为您准备了超值礼包，帮助您快速通关~"
5,41,1,110720,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,705,礼包,999%+,"恭喜通关7-20,我们为您准备了超值礼包，帮助您快速通关~"
6,41,1,110740,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,706,礼包,999%+,"恭喜通关7-40,我们为您准备了超值礼包，帮助您快速通关~"
7,41,1,110820,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,707,礼包,999%+,"恭喜通关8-20,我们为您准备了超值礼包，帮助您快速通关~"
8,41,1,110840,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,708,礼包,999%+,"恭喜通关8-40,我们为您准备了超值礼包，帮助您快速通关~"
9,41,1,110920,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,709,礼包,999%+,"恭喜通关9-20,我们为您准备了超值礼包，帮助您快速通关~"
10,41,1,110940,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,710,礼包,999%+,"恭喜通关9-40,我们为您准备了超值礼包，帮助您快速通关~"
11,41,1,111020,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,711,礼包,999%+,"恭喜通关10-20,我们为您准备了超值礼包，帮助您快速通关~"
12,41,1,111040,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,712,礼包,999%+,"恭喜通关10-40,我们为您准备了超值礼包，帮助您快速通关~"
13,41,1,111120,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,713,礼包,999%+,"恭喜通关11-20,我们为您准备了超值礼包，帮助您快速通关~"
14,41,1,111140,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,714,礼包,999%+,"恭喜通关11-40,我们为您准备了超值礼包，帮助您快速通关~"
15,41,1,111220,1,0,13000002,60,0,0,0,0,0,0,0,0,7200,6,715,礼包,999%+,"恭喜通关12-20,我们为您准备了超值礼包，帮助您快速通关~"
