city,name,png,map,prestige1,item11,num11,item12,num12,item13,num13,prestige2,item21,num21,item22,num22,item23,num23,prestige3,item31,num31,item32,num32,item33,num33,prestige4,item41,num41,item42,num42,item43,num43,prestige5,item51,num51,item52,num52,item53,num53,build1,x1,y1,rev1,build2,x2,y2,rev2,build3,x3,y3,rev3,build4,x4,y4,rev4,build5,x5,y5,rev5,build6,x6,y6,rev6,build7,x7,y7,rev7
1001,安城,5251,1008,100,91000001,10000,0,0,0,0,200,91000001,50000,0,0,0,0,300,91000001,100000,0,0,0,0,400,91000001,200000,0,0,0,0,500,91000001,350000,0,0,0,0,1004,398,362,0,1001,540,455,0,2007,548,266,0,2006,709,349,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,浔阳,5263,1005,100,91000001,10000,0,0,0,0,200,91000001,50000,0,0,0,0,300,91000001,100000,0,0,0,0,400,91000001,200000,0,0,0,0,500,91000001,350000,0,0,0,0,3003,281,415,0,2001,323,298,0,2001,494,207,1,1009,684,510,0,2001,790,303,0,1002,853,403,1,0,0,0,0
1003,长沙,5243,1002,100,91000001,10000,0,0,0,0,200,91000001,50000,0,0,0,0,300,91000001,100000,0,0,0,0,400,91000001,200000,0,0,0,0,500,91000001,350000,0,0,0,0,2002,252,400,0,2008,339,321,0,2003,501,224,0,3006,689,468,1,3003,795,406,1,0,0,0,0,0,0,0,0
1004,巴陵,5253,1008,100,91000001,10000,0,0,0,0,200,91000001,50000,0,0,0,0,300,91000001,100000,0,0,0,0,400,91000001,200000,0,0,0,0,500,91000001,350000,0,0,0,0,3001,398,362,0,2003,540,455,0,1002,548,266,0,1002,709,349,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,巴邱,5264,1005,100,91000001,10000,0,0,0,0,200,91000001,50000,0,0,0,0,300,91000001,100000,0,0,0,0,400,91000001,200000,0,0,0,0,500,91000001,350000,0,0,0,0,1009,281,415,0,1008,323,298,0,1004,494,207,1,1008,684,510,0,2004,790,303,0,3010,853,403,1,0,0,0,0
1006,衡阳,5253,1008,100,91000001,10000,0,0,0,0,200,91000001,50000,0,0,0,0,300,91000001,100000,0,0,0,0,400,91000001,200000,0,0,0,0,500,91000001,350000,0,0,0,0,3005,398,362,0,1001,540,455,0,1005,548,266,0,1006,709,349,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,零陵,5250,1008,100,91000001,10000,0,0,0,0,200,91000001,50000,0,0,0,0,300,91000001,100000,0,0,0,0,400,91000001,200000,0,0,0,0,500,91000001,350000,0,0,0,0,3002,398,362,0,3008,540,455,0,3001,548,266,0,1009,709,349,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,庐陵,5247,1008,100,91000001,10000,0,0,0,0,200,91000001,50000,0,0,0,0,300,91000001,100000,0,0,0,0,400,91000001,200000,0,0,0,0,500,91000001,350000,0,0,0,0,3006,398,362,0,1001,540,455,0,2002,548,266,0,1005,709,349,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,湘潭,5262,1005,100,91000001,10000,0,0,0,0,200,91000001,50000,0,0,0,0,300,91000001,100000,0,0,0,0,400,91000001,200000,0,0,0,0,500,91000001,350000,0,0,0,0,1002,281,415,0,2007,323,298,0,1005,494,207,1,2006,684,510,0,1010,790,303,0,1007,853,403,1,0,0,0,0
1010,临川,5248,1008,100,91000001,10000,0,0,0,0,200,91000001,50000,0,0,0,0,300,91000001,100000,0,0,0,0,400,91000001,200000,0,0,0,0,500,91000001,350000,0,0,0,0,1004,398,362,0,2009,540,455,0,2010,548,266,0,2006,709,349,0,0,0,0,0,0,0,0,0,0,0,0,0
