n4,id,arget,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,item6,num6
1,1,20,12200701,5,91000008,50,91000031,30000,0,0,0,0,0,0
1,2,60,12200701,10,44200704,5,91000008,150,91000031,80000,0,0,0,0
1,3,100,12200701,10,44200704,10,91000008,300,91000031,150000,0,0,0,0
1,4,140,12200701,15,44200704,10,91000008,400,91000031,200000,0,0,0,0
1,5,160,12200701,20,44200704,20,91000008,600,91000031,500000,0,0,0,0
2,1,20,12400401,5,44400404,5,91000008,50,91000031,30000,0,0,0,0
2,2,60,12400401,10,44400404,5,91000008,150,91000031,80000,0,0,0,0
2,3,100,12400401,10,44400404,10,91000008,300,91000031,150000,0,0,0,0
2,4,140,12400401,15,44400404,10,91000008,400,91000031,200000,0,0,0,0
2,5,160,12400401,20,44400404,20,91000008,600,91000031,500000,0,0,0,0
3,1,20,12301301,5,91000008,50,91000031,30000,0,0,0,0,0,0
3,2,60,12301301,10,44301304,5,91000008,150,91000031,80000,0,0,0,0
3,3,100,12301301,10,44301304,10,91000008,300,91000031,150000,0,0,0,0
3,4,140,12301301,15,44301304,10,91000008,400,91000031,200000,0,0,0,0
3,5,160,12301301,20,44301304,20,91000008,600,91000031,500000,0,0,0,0
