id,heroid,class_rank,skillhave1,skillhave2,skillhave3,skillhave4,skillhave5,skillhave6,type1,value1
1,1001,0,100100,100104,0,0,0,0,99,10000
2,1001,1,100100,100104,100101,0,0,0,99,20000
3,1001,2,100100,100104,100101,100102,0,0,99,30000
4,1001,3,100100,100104,100101,100102,100103,0,99,40000
5,1002,0,100200,100204,0,0,0,0,99,10000
6,1002,1,100200,100204,100201,0,0,0,99,20000
7,1002,2,100200,100204,100201,100202,0,0,99,30000
8,1002,3,100200,100204,100201,100202,100203,0,99,40000
9,1003,0,100300,100304,0,0,0,0,99,10000
10,1003,1,100300,100304,100301,0,0,0,99,20000
11,1003,2,100300,100304,100301,100302,0,0,99,30000
12,1003,3,100300,100304,100301,100302,100303,0,99,40000
13,1004,0,100400,100404,0,0,0,0,99,10000
14,1004,1,100400,100404,100401,0,0,0,99,20000
15,1004,2,100400,100404,100401,100402,0,0,99,30000
16,1004,3,100400,100404,100401,100402,100403,0,99,40000
17,1005,0,100500,100504,0,0,0,0,99,10000
18,1005,1,100500,100504,100501,0,0,0,99,20000
19,1005,2,100500,100504,100501,100502,0,0,99,30000
20,1005,3,100500,100504,100501,100502,100503,0,99,40000
21,1006,0,100600,100604,0,0,0,0,99,10000
22,1006,1,100600,100604,100601,0,0,0,99,20000
23,1006,2,100600,100604,100601,100602,0,0,99,30000
24,1006,3,100600,100604,100601,100602,100603,0,99,40000
25,1007,0,100700,100704,0,0,0,0,99,10000
26,1007,1,100700,100704,100701,0,0,0,99,20000
27,1007,2,100700,100704,100701,100702,0,0,99,30000
28,1007,3,100700,100704,100701,100702,100703,0,99,40000
29,1008,0,100800,100804,0,0,0,0,99,10000
30,1008,1,100800,100804,100801,0,0,0,99,20000
31,1008,2,100800,100804,100801,100802,0,0,99,30000
32,1008,3,100800,100804,100801,100802,100803,0,99,40000
33,1009,0,100900,100904,0,0,0,0,99,10000
34,1009,1,100900,100904,100901,0,0,0,99,20000
35,1009,2,100900,100904,100901,100902,0,0,99,30000
36,1009,3,100900,100904,100901,100902,100903,0,99,40000
37,1010,0,101000,101004,0,0,0,0,99,10000
38,1010,1,101000,101004,101001,0,0,0,99,20000
39,1010,2,101000,101004,101001,101002,0,0,99,30000
40,1010,3,101000,101004,101001,101002,101003,0,99,40000
41,1011,0,101100,101104,0,0,0,0,99,10000
42,1011,1,101100,101104,101101,0,0,0,99,20000
43,1011,2,101100,101104,101101,101102,0,0,99,30000
44,1011,3,101100,101104,101101,101102,101103,0,99,40000
45,1012,0,101200,101204,0,0,0,0,99,10000
46,1012,1,101200,101204,101201,0,0,0,99,20000
47,1012,2,101200,101204,101201,101202,0,0,99,30000
48,1013,0,101300,101304,0,0,0,0,99,10000
49,1013,1,101300,101304,101301,0,0,0,99,20000
50,1013,2,101300,101304,101301,101302,0,0,99,30000
51,1014,0,101400,101404,0,0,0,0,99,10000
52,1014,1,101400,101404,101401,0,0,0,99,20000
53,1014,2,101400,101404,101401,101402,0,0,99,30000
54,1015,0,101500,101504,0,0,0,0,99,10000
55,1015,1,101500,101504,101501,0,0,0,99,20000
56,1015,2,101500,101504,101501,101502,0,0,99,30000
57,1016,0,101600,101604,0,0,0,0,99,10000
58,1016,1,101600,101604,101601,0,0,0,99,20000
59,1017,0,101700,101704,0,0,0,0,99,10000
60,1017,1,101700,101704,101701,0,0,0,99,20000
61,1018,0,101800,101804,0,0,0,0,99,10000
62,1018,1,101800,101804,101801,0,0,0,99,20000
63,1018,2,101800,101804,101801,101802,0,0,99,30000
64,1018,3,101800,101804,101801,101802,101803,0,99,40000
65,2001,0,200100,200104,0,0,0,0,99,10000
66,2001,1,200100,200104,200101,0,0,0,99,20000
67,2001,2,200100,200104,200101,200102,0,0,99,30000
68,2001,3,200100,200104,200101,200102,200103,0,99,40000
69,2002,0,200200,200204,0,0,0,0,99,10000
70,2002,1,200200,200204,200201,0,0,0,99,20000
71,2002,2,200200,200204,200201,200202,0,0,99,30000
72,2002,3,200200,200204,200201,200202,200203,0,99,40000
73,2003,0,200300,200304,0,0,0,0,99,10000
74,2003,1,200300,200304,200301,0,0,0,99,20000
75,2003,2,200300,200304,200301,200302,0,0,99,30000
76,2003,3,200300,200304,200301,200302,200303,0,99,40000
77,2004,0,200400,200404,0,0,0,0,99,10000
78,2004,1,200400,200404,200401,0,0,0,99,20000
79,2004,2,200400,200404,200401,200402,0,0,99,30000
80,2004,3,200400,200404,200401,200402,200403,0,99,40000
81,2005,0,200500,200504,0,0,0,0,99,10000
82,2005,1,200500,200504,200501,0,0,0,99,20000
83,2005,2,200500,200504,200501,200502,0,0,99,30000
84,2005,3,200500,200504,200501,200502,200503,0,99,40000
85,2006,0,200600,200604,0,0,0,0,99,10000
86,2006,1,200600,200604,200601,0,0,0,99,20000
87,2006,2,200600,200604,200601,200602,0,0,99,30000
88,2006,3,200600,200604,200601,200602,200603,0,99,40000
89,2007,0,200700,200704,0,0,0,0,99,10000
90,2007,1,200700,200704,200701,0,0,0,99,20000
