id,hero,modid,headicon,gaine,spine,modicon,modname,modchange,background,item,num,activity,prompt,turnmmp
100100,1001,0,hero1001,1001,1001,101,经典,0,card101,0,0,0,0,0
100200,1002,0,hero1002,1002,1002,102,经典,0,card102,0,0,0,0,0
100300,1003,0,hero1003,1003,1003,103,经典,0,card103,0,0,0,0,0
100400,1004,0,hero1004,1004,1004,104,经典,0,card104,0,0,0,0,0
100500,1005,0,hero1005,1005,1005,105,经典,0,card105,0,0,0,0,0
100600,1006,0,hero1006,1006,1006,106,经典,0,card106,0,0,0,0,0
100700,1007,0,hero1007,1007,1007,107,经典,0,card107,0,0,0,0,0
100800,1008,0,hero1008,1008,1008,108,经典,0,card108,0,0,0,0,0
100900,1009,0,hero1009,1009,1009,109,经典,0,card109,0,0,0,0,0
101000,1010,0,hero1010,1010,1010,110,经典,0,card110,0,0,0,0,0
101100,1011,0,hero1011,1011,1011,111,经典,0,card111,0,0,0,0,0
101200,1012,0,hero1012,1012,1012,112,经典,0,card112,0,0,0,0,0
101300,1013,0,hero1013,1013,1013,113,经典,0,card113,0,0,0,0,0
101400,1014,0,hero1014,1014,1014,114,经典,0,card114,0,0,0,0,0
101500,1015,0,hero1015,1015,1015,115,经典,0,card115,0,0,0,0,0
101600,1016,0,hero1016,1016,1016,116,经典,0,card116,0,0,0,0,0
101700,1017,0,hero1017,1017,1017,117,经典,0,card117,0,0,0,0,0
101800,1018,0,hero1018,1018,1018,118,经典,0,card118,0,0,0,0,0
200100,2001,0,hero2001,2001,2001,201,经典,0,card201,0,0,0,0,0
200101,2001,1,hero2001_1,2001_1,2001_1,201_1,无畏战神,0,card201_1,50200101,1,1600,“收藏家”限时获得,"ui_mgr.openUI(""CollectActivityUI"")"
200200,2002,0,hero2002,2002,2002,202,经典,0,card202,0,0,0,0,0
200300,2003,0,hero2003,2003,2003,203,经典,0,card203,0,0,0,0,0
200400,2004,0,hero2004,2004,2004,204,经典,0,card204,0,0,0,0,0
200500,2005,0,hero2005,2005,2005,205,经典,251,card205,0,0,0,0,0
200600,2006,0,hero2006,2006,2006,206,经典,0,card206,0,0,0,0,0
200700,2007,0,hero2007,2007,2007,207,经典,0,card207,0,0,0,0,0
200800,2008,0,hero2008,2008,2008,208,经典,0,card208,0,0,0,0,0
200900,2009,0,hero2009,2009,2009,209,经典,0,card209,0,0,0,0,0
201000,2010,0,hero2010,2010,2010,210,经典,0,card210,0,0,0,0,0
201100,2011,0,hero2011,2011,2011,211,经典,0,card211,0,0,0,0,0
201200,2012,0,hero2012,2012,2012,212,经典,0,card212,0,0,0,0,0
201300,2013,0,hero2013,2013,2013,213,经典,0,card213,0,0,0,0,0
201400,2014,0,hero2014,2014,2014,214,经典,0,card214,0,0,0,0,0
201500,2015,0,hero2015,2015,2015,215,经典,0,card215,0,0,0,0,0
201600,2016,0,hero2016,2016,2016,216,经典,0,card216,0,0,0,0,0
300100,3001,0,hero3001,3001,3001,301,经典,0,card301,0,0,0,0,0
300200,3002,0,hero3002,3002,3002,302,经典,0,card302,0,0,0,0,0
300300,3003,0,hero3003,3003,3003,303,经典,0,card303,0,0,0,0,0
300400,3004,0,hero3004,3004,3004,304,经典,0,card304,0,0,0,0,0
300500,3005,0,hero3005,3005,3005,305,经典,0,card305,0,0,0,0,0
300600,3006,0,hero3006,3006,3006,306,经典,0,card306,0,0,0,0,0
300700,3007,0,hero3007,3007,3007,307,经典,0,card307,0,0,0,0,0
300701,3907,0,hero3907,3907,3907,307_1,经典,0,card307_1,0,0,0,0,0
300800,3008,0,hero3008,3008,3008,308,经典,0,card308,0,0,0,0,0
300900,3009,0,hero3009,3009,3009,309,经典,0,card309,0,0,0,0,0
