talent_id,group,talent_star_open,index,skill_id1,skill_id2,skill_id3,star_group,talent_name,talent_icon,notes,type,value,attribute_name
100101,1,19,1,95004101,95004102,95004103,1,守备系,icon_tianfu_shoubei_41,坦克,99,1000000,坦克系护佑
100102,1,23,2,95004201,95004202,95004203,2,力量系,icon_tianfu_liliang_41,坦克,99,1500000,坦克系护佑
100103,1,27,3,95004301,95004302,95004303,3,崇高系,icon_tianfu_chonggao_41,坦克,99,2000000,坦克系护佑
100104,1,31,4,95004401,95004402,95004403,4,勇气系,icon_tianfu_yongqi_41,坦克,99,2500000,坦克系护佑
100105,1,37,5,95004501,95004502,95004503,5,执念系,icon_tianfu_zhilian_41,坦克,99,3000000,坦克系护佑
100201,2,19,1,95003101,95003102,95003103,1,坚定系,icon_tianfu_jianding_42,战士,99,1000000,战士系护佑
100202,2,23,2,95003201,95003202,95003203,2,战术系,icon_tianfu_zhanshu_42,战士,99,1500000,战士系护佑
100203,2,27,3,95003301,95003302,95003303,3,英勇系,icon_tianfu_yingyong_42,战士,99,2000000,战士系护佑
100204,2,31,4,95003401,95003402,95003403,4,纪律系,icon_tianfu_jilv_42,战士,99,2500000,战士系护佑
100205,2,37,5,95003501,95003502,95003503,5,无畏系,icon_tianfu_wuwei_42,战士,99,3000000,战士系护佑
100301,3,19,1,95002101,95002102,95002103,1,咏唱系,icon_tianfu_yongchang_43,法师,99,1000000,法师系护佑
100302,3,23,2,95002201,95002202,95002203,2,探求系,icon_tianfu_tanqiu_43,法师,99,1500000,法师系护佑
100303,3,27,3,95002301,95002302,95002303,3,聚能系,icon_tianfu_juneng_43,法师,99,2000000,法师系护佑
100304,3,31,4,95002401,95002402,95002403,4,秘法系,icon_tianfu_mifa_43,法师,99,2500000,法师系护佑
100305,3,37,5,95002501,95002502,95002503,5,过载系,icon_tianfu_guozai_43,法师,99,3000000,法师系护佑
100401,4,19,1,95005101,95005102,95005103,1,武艺系,icon_tianfu_wuyi_44,游侠,99,1000000,游侠系护佑
100402,4,23,2,95005201,95005202,95005203,2,特技系,icon_tianfu_teji_44,游侠,99,1500000,游侠系护佑
100403,4,27,3,95005301,95005302,95005303,3,狡诈系,icon_tianfu_jiaoza_44,游侠,99,2000000,游侠系护佑
100404,4,31,4,95005401,95005402,95005403,4,隐匿系,icon_tianfu_yinni_44,游侠,99,2500000,游侠系护佑
100405,4,37,5,95005501,95005502,95005503,5,无情系,icon_tianfu_wuqing_44,游侠,99,3000000,游侠系护佑
100501,5,19,1,95001101,95001102,95001103,1,潜能系,icon_tianfu_qianneng_45,辅助,99,1000000,辅助系护佑
100502,5,23,2,95001201,95001202,95001203,2,学识系,icon_tianfu_xueshi_45,辅助,99,1500000,辅助系护佑
100503,5,27,3,95001301,95001302,95001303,3,守护系,icon_tianfu_shouhu_45,辅助,99,2000000,辅助系护佑
100504,5,31,4,95001401,95001402,95001403,4,原典系,icon_tianfu_yuandian_45,辅助,99,2500000,辅助系护佑
100505,5,37,5,95001501,95001502,95001503,5,鼓舞系,icon_tianfu_guwu_45,辅助,99,3000000,辅助系护佑
