privilegenum,privilegetype,type,interstellartime,item,num,interstellardrop,judge1,changedrop1,judge2,changedrop2,additem1,addnum1,additem2,addnum2
1001,1,1,86400,91000001,10000,0,0,0,0,0,0,0,0,0
1002,1,1,86400,91000001,20000,0,0,0,0,0,0,0,0,0
1003,1,1,86400,91000001,30000,0,0,0,0,0,0,0,0,0
1004,1,1,86400,91000001,40000,0,0,0,0,0,0,0,0,0
1005,1,1,86400,91000001,50000,0,0,0,0,0,0,0,0,0
1006,1,1,86400,91000001,60000,0,0,0,0,0,0,0,0,0
1007,1,1,86400,91000001,70000,0,0,0,0,0,0,0,0,0
1008,1,1,86400,91000001,90000,0,0,0,0,0,0,0,0,0
1009,1,1,86400,91000001,125000,0,0,0,0,0,0,0,0,0
1010,1,1,86400,91000001,175000,0,0,0,0,0,0,0,0,0
1011,1,1,86400,91000001,225000,0,0,0,0,0,0,0,0,0
2001,2,1,86400,91000041,20000,0,0,0,0,0,0,0,0,0
2002,2,1,86400,91000041,40000,0,0,0,0,0,0,0,0,0
2003,2,1,86400,91000041,60000,0,0,0,0,0,0,0,0,0
2004,2,1,86400,91000041,80000,0,0,0,0,0,0,0,0,0
2005,2,1,86400,91000041,105000,0,0,0,0,0,0,0,0,0
2006,2,1,86400,91000041,130000,0,0,0,0,0,0,0,0,0
2007,2,1,86400,91000041,155000,0,0,0,0,0,0,0,0,0
2008,2,1,86400,91000041,206000,0,0,0,0,0,0,0,0,0
2009,2,1,86400,91000041,406000,0,0,0,0,0,0,0,0,0
2010,2,1,86400,91000041,766000,0,0,0,0,0,0,0,0,0
2011,2,1,86400,91000041,1366000,0,0,0,0,0,0,0,0,0
3001,3,1,86400,91000044,8,0,0,0,0,0,0,0,0,0
3002,3,1,86400,91000044,16,0,0,0,0,0,0,0,0,0
3003,3,1,86400,91000044,24,0,0,0,0,0,0,0,0,0
3004,3,1,86400,91000044,32,0,0,0,0,0,0,0,0,0
3005,3,1,86400,91000044,40,0,0,0,0,0,0,0,0,0
3006,3,1,86400,91000044,50,0,0,0,0,0,0,0,0,0
3007,3,1,86400,91000044,60,0,0,0,0,0,0,0,0,0
3008,3,1,86400,91000044,85,0,0,0,0,0,0,0,0,0
3009,3,1,86400,91000044,135,0,0,0,0,0,0,0,0,0
3010,3,1,86400,91000044,235,0,0,0,0,0,0,0,0,0
3011,3,1,86400,91000044,385,0,0,0,0,0,0,0,0,0
4001,4,1,86400,81000001,10,0,0,0,0,0,0,0,0,0
4002,4,1,86400,81000001,30,0,0,0,0,0,0,0,0,0
4003,4,1,86400,81000001,55,0,0,0,0,0,0,0,0,0
4004,4,1,86400,81000001,85,0,0,0,0,0,0,0,0,0
4005,4,1,86400,81000001,120,0,0,0,0,0,0,0,0,0
5001,5,2,7200,0,0,20060,0,0,0,0,91000001,100,0,0
5002,5,2,7200,0,0,20061,0,0,0,0,91000001,200,0,0
6001,6,2,7200,0,0,10005,0,0,0,0,60110040,1,0,0
7001,7,2,7200,0,0,10006,0,0,0,0,60210050,1,0,0
8001,8,2,7200,0,0,10007,0,0,0,0,60310060,1,0,0
9001,9,2,7200,0,0,10008,0,0,0,0,60420070,1,0,0
10001,10,2,7200,0,0,10009,0,0,0,0,60530080,1,0,0
11001,11,2,7200,0,0,10010,0,0,0,0,40000019,1,0,0
12001,12,2,7200,0,0,10011,0,0,0,0,40000026,1,0,0
13001,13,3,7200,0,0,20070,11,20071,12,20072,0,0,0,0
13002,13,3,7200,0,0,20080,11,20081,12,20082,0,0,0,0
13003,13,3,7200,0,0,20090,11,20091,12,20092,0,0,0,0
10003,5,2,7200,0,0,20061,0,0,0,0,91000001,200,0,0
