id,event_id,office,storyid,spyid,type,prop,itemname,propexp,currency,currencynum,rebate,chance,png,name,txt,desc
100101,3,1,0,75,1,72000001,煎鸡蛋,10,91000002,150,5,400,1301,小玉,抱歉...总是说一些不合时宜的奇怪话，这次我们就老老实实做买卖吧。,简单点，买卖的方式简单点。看看这货色，再看看这价格，你还有理由拒绝吗？
100102,3,1,0,76,1,72000001,煎鸡蛋,10,91000002,150,2,100,1301,小玉,来来来，我给你瞧个大宝贝！,怎么样，是不是有种眼前一亮的感觉？
100103,3,1,0,75,1,72000002,肉包子,5,91000002,150,5,400,1301,小玉,瞧一瞧，看一看，上好的货物，寻觅有缘人啦。,你还以为是你选择了这些货物吗？其实，是它们选择了你。
100104,3,1,0,76,1,72000002,肉包子,5,91000002,150,2,100,1301,小玉,来来来，我给你瞧个大宝贝！,怎么样，是不是有种眼前一亮的感觉？
100105,3,1,0,75,1,72000003,烤牛排,5,91000002,225,5,400,1301,小玉,瞧一瞧，看一看，上好的货物，寻觅有缘人啦。,你还以为是你选择了这些货物吗？其实，是它们选择了你。
100106,3,1,0,76,1,72000003,烤牛排,5,91000002,225,2,100,1301,小玉,我可不是什么奇怪的家伙，我是“他们”派来帮助你的。,你问我“他们”是谁？暂时还不能告诉你，总之这是最高机密。
100107,3,1,0,75,1,72000004,大闸蟹,5,91000002,300,5,200,1301,小玉,来得不早也不晚，不上也不下，不多也不少，恰好正在时空的奇点。,实不相瞒，我可是来自异世界的商人……当然，信不信由你。
100108,3,1,0,76,1,72000004,大闸蟹,5,91000002,300,2,100,1301,小玉,抱歉...总是说一些不合时宜的奇怪话，这次我们就老老实实做买卖吧。,简单点，买卖的方式简单点。看看这货色，再看看这价格，你还有理由拒绝吗？
100109,3,1,0,75,1,81900021,神器进阶石,5,91000002,150,5,1600,1301,小玉,来来来，我给你瞧个大宝贝！,怎么样，是不是有种眼前一亮的感觉？
100110,3,1,0,76,1,81900021,神器进阶石,5,91000002,150,2,400,1301,小玉,瞧一瞧，看一看，上好的货物，寻觅有缘人啦。,你还以为是你选择了这些货物吗？其实，是它们选择了你。
100111,3,1,0,75,1,76000002,女儿红,20,91000002,60,3,400,1301,小玉,我可不是什么奇怪的家伙，我是“他们”派来帮助你的。,你问我“他们”是谁？暂时还不能告诉你，总之这是最高机密。
100112,3,1,0,76,1,76000002,女儿红,20,91000002,60,1,100,1301,小玉,来得不早也不晚，不上也不下，不多也不少，恰好正在时空的奇点。,实不相瞒，我可是来自异世界的商人……当然，信不信由你。
100113,3,1,0,75,1,76000003,杜康,20,91000002,200,3,400,1301,小玉,抱歉...总是说一些不合时宜的奇怪话，这次我们就老老实实做买卖吧。,简单点，买卖的方式简单点。看看这货色，再看看这价格，你还有理由拒绝吗？
100114,3,1,0,76,1,76000003,杜康,20,91000002,200,1,100,1301,小玉,来来来，我给你瞧个大宝贝！,怎么样，是不是有种眼前一亮的感觉？
100115,3,1,0,75,1,76000004,青梅,10,91000002,300,3,400,1301,小玉,瞧一瞧，看一看，上好的货物，寻觅有缘人啦。,你还以为是你选择了这些货物吗？其实，是它们选择了你。
100116,3,1,0,76,1,76000004,青梅,10,91000002,300,1,100,1301,小玉,我可不是什么奇怪的家伙，我是“他们”派来帮助你的。,你问我“他们”是谁？暂时还不能告诉你，总之这是最高机密。
100117,3,1,0,75,1,76000005,竹叶青,3,91000002,300,3,400,1301,小玉,来得不早也不晚，不上也不下，不多也不少，恰好正在时空的奇点。,实不相瞒，我可是来自异世界的商人……当然，信不信由你。
100118,3,1,0,76,1,76000005,竹叶青,3,91000002,300,1,100,1301,小玉,抱歉...总是说一些不合时宜的奇怪话，这次我们就老老实实做买卖吧。,简单点，买卖的方式简单点。看看这货色，再看看这价格，你还有理由拒绝吗？
100119,3,1,0,75,1,76000006,兰生酒,1,91000002,300,3,400,1301,小玉,来来来，我给你瞧个大宝贝！,怎么样，是不是有种眼前一亮的感觉？
100120,3,1,0,76,1,76000006,兰生酒,1,91000002,300,1,100,1301,小玉,瞧一瞧，看一看，上好的货物，寻觅有缘人啦。,你还以为是你选择了这些货物吗？其实，是它们选择了你。
100201,3,2,0,75,1,72000001,煎鸡蛋,10,91000002,150,5,400,1301,小玉,瞧一瞧，看一看，上好的货物，寻觅有缘人啦。,你还以为是你选择了这些货物吗？其实，是它们选择了你。
100202,3,2,0,76,1,72000001,煎鸡蛋,10,91000002,150,2,100,1301,小玉,我可不是什么奇怪的家伙，我是“他们”派来帮助你的。,你问我“他们”是谁？暂时还不能告诉你，总之这是最高机密。
100203,3,2,0,75,1,72000002,肉包子,5,91000002,150,5,400,1301,小玉,来得不早也不晚，不上也不下，不多也不少，恰好正在时空的奇点。,实不相瞒，我可是来自异世界的商人……当然，信不信由你。
100204,3,2,0,76,1,72000002,肉包子,5,91000002,150,2,100,1301,小玉,抱歉...总是说一些不合时宜的奇怪话，这次我们就老老实实做买卖吧。,简单点，买卖的方式简单点。看看这货色，再看看这价格，你还有理由拒绝吗？
100205,3,2,0,75,1,72000003,烤牛排,5,91000002,225,5,400,1301,小玉,来来来，我给你瞧个大宝贝！,怎么样，是不是有种眼前一亮的感觉？
100206,3,2,0,76,1,72000003,烤牛排,5,91000002,225,2,100,1301,小玉,瞧一瞧，看一看，上好的货物，寻觅有缘人啦。,你还以为是你选择了这些货物吗？其实，是它们选择了你。
100207,3,2,0,75,1,72000004,大闸蟹,5,91000002,300,5,200,1301,小玉,来来来，我给你瞧个大宝贝！,怎么样，是不是有种眼前一亮的感觉？
100208,3,2,0,76,1,72000004,大闸蟹,5,91000002,300,2,100,1301,小玉,瞧一瞧，看一看，上好的货物，寻觅有缘人啦。,你还以为是你选择了这些货物吗？其实，是它们选择了你。
100209,3,2,0,75,1,81900021,神器进阶石,5,91000002,150,5,1600,1301,小玉,我可不是什么奇怪的家伙，我是“他们”派来帮助你的。,你问我“他们”是谁？暂时还不能告诉你，总之这是最高机密。
