id,step,cell,description,add_pos,overture,guideImage,text_hint,story,jumpBtnPos
1,1,1,新人登录成功创建角色名字,0,0,0,0,0,0
2,2,1,点击挑战首领,"{""x"":88,""y"":139}",0,yd_back_03.png,点击“挑战首领”，我们快去拯救那个姑娘！,0,0
3,2,2,上阵第一个英雄,"{""x"":0,""y"":163}",0,yd_back_03.png,点击我的头像，我要上阵战斗了！,0,0
4,2,3,上阵第二个英雄,"{""x"":0,""y"":163}",0,yd_back_03.png,哈！我需要一个帮手，点击秘境护卫让他和我一起并肩作战。,0,0
5,2,4,点击战斗,"{""x"":435,""y"":38}",0,yd_back_03.png,现在点击“战斗”，我们必须尽快消灭这个怪物！,0,0
6,3,1,点击挑战关卡,"{""x"":13,""y"":164}",0,yd_back_03.png,点击“挑战首领”，我们快去拯救那个姑娘！,0,0
7,3,2,点击战斗,"{""x"":435,""y"":38}",0,yd_back_03.png,现在点击“战斗”，我们必须尽快消灭这个怪物！,0,0
8,3,3,点击释放技能,"{""x"":78,""y"":68}",0,yd_back_03.png,能量槽充满后，点击角色头像可释放绝技。                                          现在点击我的头像释放“巨锤猛击”铲除敌人！,0,0
9,4,1,点击挑战关卡,"{""x"":88,""y"":139}",0,yd_back_01.png,快来这边，这边有很多怪物！,0,0
10,4,2,点击火女上阵,"{""x"":0,""y"":163}",0,yd_back_01.png,嘿~别忘记点击我的头像，我也要在战斗中露一手~,0,0
11,4,3,将火女托到中间位置,"{""x"":332,""y"":163}",0,yd_back_01.png,我的绝技“凤凰冲击”可以燃烧前方敌人，请把我放到中间位置以攻击更多敌人。,0,0
12,4,4,点击挑战关卡,"{""x"":546,""y"":50}",0,yd_back_01.png,好了~是时候让暗影生物尝尝火焰的滋味了！,0,0
13,5,1,点击挑战关卡,"{""x"":13,""y"":164}",0,yd_back_01.png,快来这边，这边有很多怪物！,0,0
14,5,2,点击战斗,"{""x"":435,""y"":38}",0,yd_back_01.png,好了~是时候让暗影生物尝尝火焰的滋味了！,0,0
15,5,3,战斗监视界面,0,0,0,0,0,0
16,400,1,点击英雄,0,0,0,0,0,0
17,400,2,点击弓箭手,"{""x"":5,""y"":151}",0,yd_back_01.png,点击她的头像，我来看看她的详细信息。,0,0
18,400,3,点击升级,"{""x"":208,""y"":38}",0,yd_back_01.png,哇哦~原来她叫温迪洛尔，点击“升级”提升她的等级，强化她的能力。,0,0
19,401,1,点击英雄,"{""x"":0,""y"":82}",0,0,0,0,0
20,401,2,点击弓箭手,"{""x"":5,""y"":151}",0,yd_back_01.png,点击她的头像，我来看看她的详细信息。,0,0
21,401,3,点击一键装备,"{""x"":208,""y"":38}",0,yd_back_01.png,嘿~这里还有一件她的装备，点击“一键装备”给她穿上装备，提升她的属性。,0,0
22,401,4,点击返回,"{""x"":182,""y"":309}",0,yd_back_01.png,太好了，我们的队伍又更加强大了！,0,0
23,401,5,点击返回,"{""x"":182,""y"":309}",0,0,0,0,0
24,402,1,点击挑战关卡,"{""x"":13,""y"":164}",0,yd_back_01.png,好了，让我们继续战斗吧~,0,0
