levelid,firstitem1,num1,firstitem2,num2,firstitem3,num3,firstitem4,num4,firstitem5,num5,firstitem6,num6,teamexp,heroexp,icon1,icon2,icon3,icon4,icon5,icon6,item1,item2,item3,item4,item5,item6,bossicon1,icon7
110101,11101501,1,91000001,2200,91000041,900,0,0,0,0,0,0,0,0,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110102,91000005,400,91000044,5,91000001,2200,91000041,900,0,0,0,0,0,0,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110103,60110000,1,11401001,1,91000001,4400,91000041,1800,0,0,0,0,0,0,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110104,60310000,1,60210000,2,91000041,900,91000001,2200,91000005,400,0,0,0,0,100001,100001,100001,100001,100001,100001,81400601,23310001,23320001,23330001,0,0,0,0
110105,60420000,1,60430000,1,60440000,1,91000041,1800,91000005,400,91000001,4400,0,0,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110106,91000005,400,91000044,10,91000001,2200,91000041,900,0,0,0,0,0,0,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110107,60520000,1,60530000,1,60540000,1,91000041,1800,91000005,400,91000001,4400,0,91000001,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110108,91000005,400,91000044,10,91000001,2200,91000041,900,0,0,0,0,0,0,100001,100001,100001,100001,100001,100001,23310001,23320001,23330001,23000001,0,0,0,0
110109,60620000,1,60630000,1,60640000,1,91000041,1800,91000001,4400,91000005,400,0,0,100001,100001,100001,100001,100001,100001,91000005,81400601,23310002,23310001,0,76000001,0,0
110110,91000005,400,91000044,10,91000001,2200,91000041,900,0,0,0,0,0,0,100001,100001,100001,100001,100001,100001,91000005,81400601,23320002,23320001,0,76000001,0,0
110111,91000005,400,91000044,10,91000001,2200,91000041,900,0,0,0,0,0,0,100001,100001,100001,100001,100001,100001,91000005,81400601,23330002,23330001,0,76000001,0,0
110112,91000044,10,42010001,1,91000005,400,91000041,1800,91000001,4400,0,0,0,0,100001,100001,100001,100001,100001,100001,11200501,81400601,23210002,23210001,23000002,76000001,0,0
110201,91000041,900,91000001,1900,91000005,600,0,0,0,0,0,0,0,0,100001,100001,100001,100001,100001,100001,91000005,81400601,23220002,23220001,23000002,76000001,0,0
