ID,hero_id,talent_icon,talent_name,talent_id,talent_lv,cost_item1,cost_num1,cost_item2,cost_num2,return_type1,return_value1,return_type2,return_value2,attribute_type1,attribute_addvalue1,attribute_type2,attribute_addvalue2,attribute_type3,attribute_addvalue3,skill_id,skill_lv
1,1001,1001,双巧手,100101,0,42100104,1,42000001,1,42100104,0,42000001,0,0,0,0,0,99,0,0,0
2,1001,1001,双巧手,100101,1,42100104,3,42000001,3,42100104,1,42000001,1,7,3100,6,32200,99,580633,500001,1
3,1001,1001,双巧手,100101,2,42100104,6,42000001,6,42100104,4,42000001,4,7,7600,6,78500,99,1417616,500002,2
4,1001,1001,双巧手,100101,3,42100104,6,42000001,6,42100104,10,42000001,10,7,13500,6,139100,99,2510949,500003,3
5,1001,1001,双巧手,100101,4,42100104,6,42000001,6,42100104,16,42000001,16,7,20800,6,213900,99,3860633,500004,4
6,1001,1001,双巧手,100101,5,0,0,0,0,42100104,22,42000001,22,7,29500,6,302900,99,5466666,500005,5
7,1001,1001,双巧手,100102,0,42100104,1,42000001,1,42100104,0,42000001,0,0,0,0,0,99,0,0,0
8,1001,1001,双巧手,100102,1,42100104,3,42000001,3,42100104,1,42000001,1,8,2100,10,2500,99,580633,600001,1
9,1001,1001,双巧手,100102,2,42100104,6,42000001,6,42100104,4,42000001,4,8,5200,10,6200,99,1417616,600002,2
10,1001,1001,双巧手,100102,3,42100104,6,42000001,6,42100104,10,42000001,10,8,9300,10,11000,99,2510949,600003,3
11,1001,1001,双巧手,100102,4,42100104,6,42000001,6,42100104,16,42000001,16,8,14300,10,16900,99,3860633,600004,4
12,1001,1001,双巧手,100102,5,0,0,0,0,42100104,22,42000001,22,8,20200,10,24000,99,5466666,600005,5
13,1001,1001,双巧手,100103,0,42100104,1,42000001,1,42100104,0,42000001,0,0,0,0,0,99,0,0,0
14,1001,1001,双巧手,100103,1,42100104,3,42000001,3,42100104,1,42000001,1,30,1300,6,32200,99,580633,700001,1
15,1001,1001,双巧手,100103,2,42100104,6,42000001,6,42100104,4,42000001,4,30,3100,6,78500,99,1417616,700002,2
16,1001,1001,双巧手,100103,3,42100104,6,42000001,6,42100104,10,42000001,10,30,5600,6,139100,99,2510949,700003,3
17,1001,1001,双巧手,100103,4,42100104,6,42000001,6,42100104,16,42000001,16,30,8500,6,213900,99,3860633,700004,4
18,1001,1001,双巧手,100103,5,0,0,0,0,42100104,22,42000001,22,30,12100,6,302900,99,5466666,700005,5
19,1002,1001,双巧手,100201,0,42100204,1,42000001,1,42100204,0,42000001,0,0,0,0,0,99,0,0,0
20,1002,1001,双巧手,100201,1,42100204,3,42000001,3,42100204,1,42000001,1,7,3100,29,3100,99,580633,500001,1
