grid,itemid,itemname,num,currency,type
1,42000001,装备升星石,1,4,5
2,42200204,许褚神器之魂,1,4,5
3,42201004,夏侯惇神器之魂,1,4,5
4,42300204,小乔神器之魂,1,4,5
5,42300304,吕蒙神器之魂,1,4,5
6,42300904,大乔神器之魂,1,4,5
7,42400904,庞德神器之魂,1,4,5
8,42100104,关羽神器之魂,1,4,5
9,42100204,张飞神器之魂,1,4,5
10,42100304,马超神器之魂,1,4,5
11,42100504,黄忠神器之魂,1,4,5
12,42100704,庞统神器之魂,1,4,5
13,42100904,刘备神器之魂,1,4,5
14,42200104,甄姬神器之魂,1,4,5
15,42200304,荀彧神器之魂,1,4,5
16,42200504,张辽神器之魂,1,4,5
17,42200604,曹仁神器之魂,1,4,5
18,42200804,郭嘉神器之魂,1,4,5
19,42200904,曹操神器之魂,1,4,5
20,42300404,陆逊神器之魂,1,4,5
21,42300504,太史慈神器之魂,1,4,5
22,42300604,孙权神器之魂,1,4,5
23,42300704,周泰神器之魂,1,4,5
24,42400304,貂蝉神器之魂,1,4,5
25,42401004,张角神器之魂,1,4,5
26,42100404,赵云神器之魂,1,4,5
27,42200704,司马懿神器之魂,1,4,5
28,42301004,周瑜神器之魂,1,4,5
29,42400104,吕布神器之魂,1,4,5
30,42400404,董卓神器之魂,1,4,5
31,42600101,霸王铠,1,4,5
32,42600102,白银甲,1,4,5
33,42600103,羽日袍,1,4,5
34,42600104,统御坠,1,4,5
35,42600105,金石坠,1,4,5
36,42600106,石吊坠,1,4,5
