ID,levelID,mapfile,mapeffect,index1,index2,index3,index4,index5
1,110101,Item01,yudi,1010101,0,0,0,0
2,110102,Item01,yudi,1010201,1010201,0,0,0
3,110103,Item01,yudi,1010301,1010301,0,1010302,0
4,110104,Item01,yudi,1010401,0,0,0,0
5,110105,Item01,yudi,1010501,1010501,0,1010502,0
6,110106,Item01,yudi,1010601,1010601,1010602,0,1010602
7,110107,Item01,yudi,1010701,1010701,1010702,1010703,0
8,110108,Item01,yudi,1010801,1010801,1010802,0,1010802
9,110109,Item01,yudi,1010901,1010901,1010902,1010903,1010902
10,110110,Item01,yudi,1011001,1011001,1011002,1011003,1011002
11,110111,Item01,yudi,1011101,1011101,1011102,0,1011102
12,110112,Item01,yudi,1011201,1011201,1011202,1011203,1011202
13,110201,Item01,yudi,1020101,1020101,1020102,1020102,1020102
14,110202,Item01,yudi,1020201,1020201,1020202,1020202,1020202
15,110203,Item01,yudi,1020301,1020301,1020303,1020302,1020303
16,110204,Item01,yudi,1020401,1020401,1020402,1020403,1020404
17,110205,Item01,yudi,1020501,1020501,1020502,1020503,1020502
18,110206,Item01,yudi,1020601,1020601,1020602,1020603,1020604
19,110207,Item01,yudi,1020701,1020702,1020703,1020704,1020703
20,110208,Item01,yudi,1020801,1020801,1020802,1020803,1020802
21,110209,Item01,yudi,1020901,1020901,1020902,1020903,1020902
22,110210,Item01,yudi,1021001,1021001,1021002,1021003,1021002
23,110211,Item01,yudi,1021101,1021101,1021102,1021103,1021102
24,110212,Item01,yudi,1021201,1021201,1021202,1021203,1021202
25,110213,Item01,yudi,1021301,1021301,1021302,1021303,1021302
26,110214,Item01,yudi,1021401,1021402,1021403,1021404,1021403
27,110215,Item01,yudi,1021501,1021502,1021503,1021504,1021503
28,110216,Item01,yudi,1021601,1021602,1021603,1021604,1021603
29,110217,Item01,yudi,1021701,1021701,1021702,1021703,1021703
30,110218,Item01,yudi,1021801,1021802,1021803,1021801,1021803
31,110219,Item01,yudi,1021901,1021901,1021902,1021903,1021904
32,110220,Item01,yudi,1022001,1022002,1022003,1022004,1022005
33,110221,Item01,yudi,1022101,1022101,1022102,1022103,1022102
34,110222,Item01,yudi,1022201,1022202,1022203,1022204,1022203
35,110223,Item01,yudi,1022301,1022302,1022303,1022303,1022303
36,110224,Item01,yudi,1022401,1022402,1022403,1022404,1022405
37,110225,Item01,yudi,1022501,1022502,1022502,1022502,1022503
38,110226,Item01,yudi,1022601,1022602,1022603,1022601,1022601
39,110227,Item01,yudi,1022701,1022702,1022703,1022704,1022703
40,110228,Cemetery02,0,0,0,0,1022801,0
41,110301,Item01,yudi,1030101,1030101,1030102,1030102,1030102
42,110302,Item01,yudi,1030201,1030201,1030202,1030203,1030204
