n4,group,id,item,num,end
1,1,1,91000002,9000,0
1,1,2,91000002,15000,0
1,1,3,91000002,30000,1
2,1,1,91000002,9000,0
2,1,2,91000002,15000,0
2,1,3,91000002,30000,1
3,1,1,91000002,9000,0
3,1,2,91000002,15000,0
3,1,3,91000002,30000,1
4,1,1,91000002,9000,0
4,1,2,91000002,15000,0
4,1,3,91000002,30000,1
5,1,1,91000002,9000,0
5,1,2,91000002,15000,0
5,1,3,91000002,30000,1
6,1,1,91000002,9000,0
6,1,2,91000002,15000,0
6,1,3,91000002,30000,1
7,1,1,91000002,9000,0
7,1,2,91000002,15000,0
7,1,3,91000002,30000,1
8,1,1,91000002,9000,0
8,1,2,91000002,15000,0
8,1,3,91000002,30000,1
9,1,1,91000002,9000,0
9,1,2,91000002,15000,0
9,1,3,91000002,30000,1
10,1,1,91000002,9000,0
10,1,2,91000002,15000,0
10,1,3,91000002,30000,1
11,1,1,91000002,9000,0
11,1,2,91000002,15000,0
11,1,3,91000002,30000,1
12,1,1,91000002,9000,0
12,1,2,91000002,15000,0
12,1,3,91000002,30000,1
13,1,1,91000002,9000,0
13,1,2,91000002,15000,0
13,1,3,91000002,30000,1
14,1,1,91000002,9000,0
14,1,2,91000002,15000,0
14,1,3,91000002,30000,1
15,1,1,91000002,9000,0
15,1,2,91000002,15000,0
15,1,3,91000002,30000,1
16,1,1,91000002,9000,0
16,1,2,91000002,15000,0
16,1,3,91000002,30000,1
17,1,1,91000002,9000,0
17,1,2,91000002,15000,0
17,1,3,91000002,30000,1
18,1,1,91000002,9000,0
18,1,2,91000002,15000,0
18,1,3,91000002,30000,1
