id,class,name,icon,type,drop,num,time,txt
1,1,压制官道,city_repress_1001,1,100,0,0,压制城池基础收益加成额外提升100%
2,1,压制驿站,city_repress_1002,2,88800315,1,1800,每30分钟额外获得200马魂经验
3,1,压制村寨,city_repress_1003,2,88800317,1,3600,每60分钟额外获得2万能武魂
4,2,压制官道,city_repress_1001,1,100,0,0,压制城池基础收益加成额外提升100%
5,2,压制驿站,city_repress_1002,2,88800315,1,1800,每30分钟额外获得200马魂经验
6,2,压制村寨,city_repress_1003,2,88800317,1,3600,每60分钟额外获得2个万能武魂
7,2,压制商路,city_repress_1004,2,88800316,1,7200,每120分钟额外获得20元宝
8,3,压制官道,city_repress_1001,1,100,0,0,压制城池基础收益加成额外提升100%
9,3,压制驿站,city_repress_1002,2,88800315,1,1800,每30分钟额外获得200马魂经验
10,3,压制村寨,city_repress_1003,2,88800317,1,3600,每60分钟额外获得2个万能武魂
11,3,压制商路,city_repress_1004,2,88800316,1,7200,每120分钟额外获得20元宝
12,3,压制要塞,city_repress_1005,2,15100101,1,10800,每180分钟额外获得1个龙马碎片
