id,mean_lv1,mean_lv2,hero_limit1,hero_upper1,hero_group1,hero_limit2,hero_upper2,hero_group2,hero_limit3,hero_upper3,hero_group3,hero_limit4,hero_upper4,hero_group4,hero_limit5,hero_upper5,hero_group5
1,0,10,1,1,11,1,1,11,1,1,13,1,1,13,1,1,13
2,10,20,2,2,21,2,2,22,1,1,13,1,1,13,1,1,13
3,20,30,2,2,21,2,2,22,2,2,21,2,2,22,2,2,23
4,30,40,3,3,21,3,3,22,3,3,21,3,3,22,3,3,23
5,40,50,3,3,21,3,3,22,3,3,21,3,4,22,3,4,23
6,50,60,3,4,21,3,4,22,3,4,21,3,4,22,3,4,23
7,60,70,3,4,21,3,4,22,3,4,21,3,4,22,3,4,23
8,70,80,4,4,21,4,4,21,4,4,23,4,4,22,4,4,23
9,80,90,4,4,41,4,4,41,4,4,42,4,4,42,4,4,43
10,90,100,4,4,41,4,4,41,4,4,42,4,4,42,4,4,43
11,100,110,4,5,41,4,5,41,4,5,42,4,5,42,4,5,43
12,110,120,4,5,41,4,5,41,4,5,42,4,5,42,4,5,43
13,120,130,5,6,41,5,6,41,5,6,42,5,6,42,5,6,43
14,130,140,5,6,41,5,6,41,5,6,42,5,6,42,5,6,43
15,140,150,6,7,41,6,7,41,6,7,42,6,7,43,6,7,43
16,150,160,6,7,41,6,7,41,6,7,42,6,7,43,6,7,43
17,160,170,7,8,41,7,8,41,7,8,42,7,8,43,7,8,43
18,170,180,7,8,41,7,8,41,7,8,42,7,8,43,7,8,43
19,180,190,8,9,41,8,9,41,8,9,42,8,9,43,8,9,43
20,190,200,8,9,41,8,9,41,8,9,42,8,9,43,8,9,43
21,200,210,8,9,41,8,9,41,8,9,42,8,9,43,8,9,43
22,210,220,8,9,41,8,9,41,8,9,42,8,9,43,8,9,43
23,220,230,9,9,41,9,9,41,9,9,42,9,9,43,9,9,43
24,230,240,9,9,41,9,9,41,9,9,42,9,9,43,9,9,43
25,240,250,15,15,41,15,15,41,15,15,42,15,15,43,15,15,43
26,250,260,16,16,41,16,16,41,16,16,42,16,16,43,16,16,43
27,260,270,20,20,41,20,20,41,20,20,42,20,20,43,20,20,43
28,270,280,24,24,41,24,24,41,24,24,42,24,24,43,24,24,43
29,280,290,28,28,41,28,28,41,28,28,42,28,28,43,28,28,43
30,290,300,32,32,41,32,32,41,32,32,42,32,32,43,32,32,43
31,300,9999999,32,32,41,32,32,41,32,32,42,32,32,43,32,32,43
