id,name,guide_task,group,color,star,isteam,time,task_elapsed_time,needtocamp1,needtocamp2,needtocamp3,needtocamp4,needtostar,starnum,intr
1,新手报道,1,1,1,1,0,2,86400,0,0,0,0,1,1,尝试完成一场赏金任务吧。
2,矮人王的美酒,0,2,1,1,0,3600,86400,1,0,1,0,1,2,为矮人王买来城中的美酒。
3,野兽之牙,0,2,1,1,0,3600,86400,0,1,1,0,1,2,帮助兽人们一起制作牙制饰品。
4,筹备纸张,0,2,1,1,0,3600,86400,1,0,1,0,1,2,制造魔法卷轴的纸张不够了，协助魔法学院筹备纸张。
5,守卫牛棚,0,2,1,1,0,3600,86400,1,1,0,0,1,2,农民们的牛总被偷，帮助他们看守牛棚。
6,军备订单,0,2,1,1,0,3600,86400,1,0,1,0,1,2,城邦士兵军备吃紧，将新的订单交给各地的铁匠们。
7,巫毒祭品,0,2,1,1,0,3600,86400,2,0,0,0,1,2,巫师准备举行一场巫毒祭祀，但是他正在为祭品的事情而发愁。
8,清扫炼金室,0,2,1,1,0,3600,86400,0,1,1,0,1,2,炼金师弄脏了，和炼金术士们一起打扫。
9,清理树藤,0,2,1,1,0,3600,86400,1,0,1,0,1,2,炼金师弄脏了，和炼金术士们一起打扫。
10,炼金材料,0,2,1,1,0,3600,86400,1,0,0,1,1,2,帮助炼金术士购买材料。
11,烧毁的麦田,0,2,1,1,0,3600,86400,1,0,1,0,1,2,战争的烈焰烧毁了大量的麦田，协助麦田恢复生产。
12,防御工事,0,2,1,1,0,3600,86400,1,1,0,0,1,2,边境的防御工事被怪物破坏，需要人手帮助修补。
13,拜见矮人王,0,2,1,1,0,3600,86400,1,1,0,0,1,2,前往矮人国，拜访矮人国王。
14,奏响丧钟,0,2,1,1,0,3600,86400,1,0,0,1,1,2,奏响墓地的丧钟，唤醒长眠于墓地的死者。
15,迷糊的魔法师,0,2,1,1,0,3600,86400,1,0,1,0,1,2,帮助魔法图书馆的大魔导师整理书架和编订目录。
16,追回赃款,0,2,1,1,0,3600,86400,1,0,1,0,1,2,城邦的贪官贪污了一笔账款携款潜逃，请协助官员追回赃款。
17,侦查任务,0,2,1,1,0,3600,86400,1,0,0,1,1,2,发现一批怪物在山间徘徊，前往侦查虚实。
18,生前夙愿,0,2,1,1,0,3600,86400,0,0,1,1,1,2,一群亡魂漫无目的的游荡，帮助他们完成生前的夙愿。
19,粮食募捐,0,2,1,1,0,3600,86400,1,1,0,0,1,2,帝都的平民在饥饿线上挣扎，为他们募捐一些粮食。
20,元素波动,0,2,1,1,0,3600,86400,0,1,1,0,1,2,丛林中的元素发生了异常的波动，去调查一下背后的原因。
21,孩子的请求,0,2,1,1,0,3600,86400,0,0,1,1,1,2,孩子想为小鸟搭建一个家，请帮助他。
22,英雄的职责,0,3,2,2,0,7200,86400,0,0,1,1,2,1,帮助医护人员照顾被怪物袭击的伤员。
23,角斗士的自由,0,3,2,2,0,7200,86400,0,1,0,1,2,1,一群角斗士被囚禁，将他们救出，还其自由。
24,蛮兽的礼节,0,3,2,2,0,7200,86400,1,1,0,0,2,1,帮助兽王护送精致的兽牙项链。
25,英雄的请求,0,3,2,2,0,7200,86400,0,2,0,0,2,1,黑火药和黑啤酒是世界上最棒的东西了。
26,重建磨坊,0,3,2,2,0,7200,86400,1,1,0,0,2,1,村子里的磨坊遭到了怪物的焚毁，帮助村民重建磨坊。
27,永驻青春,0,3,2,2,0,7200,86400,0,0,2,0,2,1,精灵生性美丽，但需永保青春，需要寻找叶绿素提供能量。
28,探听虚实,0,3,2,2,0,7200,86400,0,1,1,0,2,1,有一群永生的人群组成了一个协会，前去打听虚实。
29,污染的水源,0,3,2,2,0,7200,86400,1,0,0,2,2,1,城镇的井水变得又咸又臭，帮助调查水源。
30,不死者协会,0,3,2,2,0,7200,86400,1,0,1,0,2,1,一种绝症在城邦中蔓延，如果不加以控制将引发更大事件。
31,探索森林,0,3,2,2,0,7200,86400,0,0,2,0,2,1,前往丛林深处，寻找怪物的踪迹。
32,减益魔法,0,3,2,2,0,7200,86400,0,2,0,0,2,1,用卷轴可以发动未学习过的魔法，帮助魔法图书馆制作卷轴。
33,矿石礼物,0,3,2,2,0,7200,86400,1,1,0,0,2,1,帮助矮人王寄送精炼所需要的稀有矿石。
34,农夫的果园,0,3,2,2,0,7200,86400,1,1,0,0,2,1,最近有批怪鸟骚扰了农夫的果园，驱逐这些损害果园的怪鸟。
35,兽皮帐篷,0,3,2,2,0,7200,86400,1,1,0,0,2,1,乡民需要一批上好的兽皮来制作帐篷。
36,围猎,0,3,2,2,0,7200,86400,0,2,0,0,2,1,一场大规模的围猎活动，需要有人将猎物驱赶至围猎圈。
37,天空之石,0,3,2,2,0,7200,86400,0,1,0,1,2,1,潜入王座之塔高层，取得镶嵌在屋顶的天空之石。
38,骨灰盅,0,3,2,2,0,7200,86400,1,0,2,0,2,1,为死灵法师们制造一个骨灰盅。
39,摆脱噩梦,0,3,2,2,0,7200,86400,0,1,0,1,2,1,一个可怜的亡魂一直被噩梦困扰，试图帮他解决噩梦的诅咒。
40,植物样本,0,3,2,2,0,7200,86400,0,1,1,0,2,1,植物学家希望可以收集一些丛林深处的植物制作标本。
41,隔离腐化,0,3,2,2,0,7200,86400,0,0,2,0,2,1,丛林中被怪物的邪力腐化，建立隔离带，阻止继续腐化。
42,驯服狂暴野兽,0,4,4,3,0,14400,86400,2,1,0,0,4,2,野兽突然狂暴，造成恐慌和骚乱，迅速制止它们。
43,变异的植物,0,4,4,3,0,14400,86400,0,2,1,0,4,2,友善的丛林植物开始伤害旅途的行人，处置发狂的植物。
44,炼金药材,0,4,4,3,0,14400,86400,1,2,0,0,4,2,前往丛林搜集炼金所需的草药。
45,炼金涂剂,0,4,4,3,0,14400,86400,1,2,0,0,4,2,涂剂可以让武器拥有魔法效果，帮助炼金术士制作炼金涂剂。
46,失控的僵尸,0,4,4,3,0,14400,86400,2,0,1,0,4,2,几个僵尸突然发狂，冲出墓地，乱咬平民，快去制止。
47,护送商队,0,4,4,3,0,14400,86400,2,0,1,0,4,2,经常有强盗出没，商队希望你能来保护大家。
48,丈量土地,0,4,4,3,0,14400,86400,2,0,0,1,4,2,一个绘图师想要制作地图，正在招募人手为他丈量土地。
49,必备素材,0,4,4,3,0,14400,86400,0,2,0,1,4,2,寻找一些山羊的头骨来，这是施展魔法通灵的必备材料。
50,营救俘虏,0,4,4,3,0,14400,86400,0,0,1,2,4,2,怪物俘虏了几名雷属性的英雄，想办法把他们救出来。
51,骑士的马具,0,4,4,3,0,14400,86400,1,2,0,0,4,2,国王的骑士们新入了一群骏马，需要筹备一批马具。
52,炼金术士的烦恼,0,4,4,3,0,14400,86400,2,1,0,0,4,2,几只老鼠偷喝了药剂发生了变异，帮助除掉变异老鼠。
53,净化水源,0,4,4,3,0,14400,86400,0,2,0,1,4,2,水源被怪物搞臭，前去河边，净化水资源。
54,动物迁徙,0,4,4,3,0,14400,86400,0,2,1,0,4,2,怪物侵占了森林，帮助动物们迁移出这片森林。
55,炼金矿石,0,4,4,3,0,14400,86400,1,0,0,2,4,2,前往矿洞搜集炼金需要的矿石。
56,发狂的野兽,0,4,4,3,0,14400,86400,0,0,1,2,4,2,消灭邪恶力量魔化的野兽。
57,骸骨噩梦,0,4,4,3,0,14400,86400,1,2,0,0,4,2,抵御发狂的精灵军团袭击。
58,好事之徒,0,4,4,3,0,14400,86400,1,0,2,0,4,2,城邦的酒吧经常有人来寻衅滋事，酒吧老板希望打走这些好事之徒。
59,拜访元素王,0,4,4,3,0,14400,86400,0,0,2,1,4,2,护送国王的礼物，前往丛林拜访元素王。
60,元素余烬,0,4,4,3,0,14400,86400,0,0,2,1,4,2,许多元素不知道为何纷纷消亡，收集他们的余烬，查明原因。
61,揪出内奸,0,5,6,4,0,21600,86400,2,0,1,0,6,1,帝都不断有情报泄漏，军中一定有内奸，想办法把他们揪出来。
62,修复烽火台,0,5,6,4,0,21600,86400,1,2,0,0,6,1,烽火台被怪物击破，前往帮助修复烽火台。
63,邪恶的炼金术士,0,5,6,4,0,21600,86400,2,0,1,0,6,1,似乎有人利用炼金术做坏事，调查此事。
64,弹药补给,0,5,6,4,0,21600,86400,2,1,0,0,6,1,矮人皇家火铳团弹药告急，为他们筹备一批子弹。
65,收集亡魂,0,5,6,4,0,21600,86400,0,0,1,2,6,1,用骨灰盅收集散落各处的亡魂。
66,净化图腾,0,5,6,4,0,21600,86400,0,1,2,0,6,1,将净化图腾插入灰石旷野，净化那里被污染的土地。
67,剧毒孢子,0,5,6,4,0,21600,86400,0,0,2,1,6,1,丛林中的蘑菇不知道为何散发出有毒的孢子，想办法制止他们。
68,爱喝酒的矮人,0,5,6,4,0,21600,86400,0,0,1,2,6,1,消灭占据酒庄的怪物。
69,凶恶的野兽,0,5,6,4,0,21600,86400,0,0,2,1,6,1,怪物力量侵蚀了丛林的野兽，前去净化邪恶力量。
70,骸骨将军的愿望,0,5,6,4,0,21600,86400,1,0,0,2,6,1,帮助骸骨将军送一封信。
71,甘甜的清泉,0,5,6,4,0,21600,86400,2,0,0,1,6,1,听说神山的泉水特别清澈，为国王采水。
72,巫毒坩埚,0,5,6,4,0,21600,86400,1,2,0,0,6,1,巫师准备制作巫毒药剂，帮助他们寻找一个坩埚。
73,学无止境,0,5,6,4,0,21600,86400,0,2,1,0,6,1,参加魔法图书馆举办的魔法图书研习会。
74,植被复苏,0,5,6,4,0,21600,86400,1,2,0,0,6,1,附近的植物都枯萎了，帮助园丁查看枯萎问题。
