id,dungeons_id,dungeons_type,dungeons_color,dungeons_table,dungeons_name,dungeons_bg,dungeons1_desc,dungeons2_desc,dungeons_boss,dungeons_boss_pic,dungeons_boss_desc,dungeons_first_pic,dungeons_first_drop,dungeons_pass_pic,dungeons_pass_drop,is_show,pass_time,join_need,need_item_type,need_item,open_dungeons_type,open_dungeons,open_time,open_duration
1001,1,1,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map01,试炼地牢,dilao_bg_01,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,1010101,jjchero1001,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320001,1,1,0,0,0,1,41000001,0,7200
1002,1,1,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map01,试炼地牢,dilao_bg_01,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,1010201,jjchero1002,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320002,1,1,0,0,0,1,41000002,0,7200
1003,1,1,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map01,试炼地牢,dilao_bg_01,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,1010202,jjchero1003,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320003,1,1,0,0,0,1,41000003,0,7200
1004,1,1,bg_dilaozhangjie_yxwd_09,Table_Dungeons_Map01,试炼地牢,dilao_bg_01,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,1010301,jjchero1004,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320004,1,1,0,0,0,1,41000004,0,7200
1005,1,1,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map01,试炼地牢,dilao_bg_01,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,1010302,jjchero1005,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320005,1,1,0,0,0,1,41000005,0,7200
1006,1,1,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map01,试炼地牢,dilao_bg_01,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,1010401,jjchero1006,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320006,1,1,0,0,0,1,41000006,0,7200
1007,1,1,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map01,试炼地牢,dilao_bg_01,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,试炼的地牢，只有通过这个地牢，你才算开始真正的冒险,1010402,jjchero1007,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320007,1,1,0,0,0,1,41000007,0,7200
2001,2,2,bg_dilaozhangjie_yxwd_09,Table_Dungeons_Map02,迷失地牢,dilao_bg_02,拥有地牢钥匙，你才可以进入，没有钥匙……（砰！）,消耗地牢钥匙才可以进入的地牢,1010403,jjchero1001,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320008,1,0,1,42000101,1,0,0,1573419600,604800
2002,2,2,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map02,迷失地牢,dilao_bg_02,拥有地牢钥匙，你才可以进入，没有钥匙……（砰！）,消耗地牢钥匙才可以进入的地牢,1010501,jjchero1002,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320009,1,0,1,42000102,1,0,0,1574024400,604800
2003,2,2,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map02,迷失地牢,dilao_bg_02,拥有地牢钥匙，你才可以进入，没有钥匙……（砰！）,消耗地牢钥匙才可以进入的地牢,1010502,jjchero1003,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320010,1,0,1,42000103,1,0,0,1574629200,604800
2004,2,2,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map02,迷失地牢,dilao_bg_02,拥有地牢钥匙，你才可以进入，没有钥匙……（砰！）,消耗地牢钥匙才可以进入的地牢,1010503,jjchero1004,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320011,1,0,1,42000101,1,0,0,1575234000,604800
2005,2,2,bg_dilaozhangjie_yxwd_09,Table_Dungeons_Map02,迷失地牢,dilao_bg_02,拥有地牢钥匙，你才可以进入，没有钥匙……（砰！）,消耗地牢钥匙才可以进入的地牢,1010504,jjchero1005,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320012,1,0,1,42000102,1,0,0,1575838800,604800
2006,2,2,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map02,迷失地牢,dilao_bg_02,拥有地牢钥匙，你才可以进入，没有钥匙……（砰！）,消耗地牢钥匙才可以进入的地牢,1020101,jjchero1006,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320013,1,0,1,42000103,1,0,0,1576443600,604800
2007,2,2,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map02,迷失地牢,dilao_bg_02,拥有地牢钥匙，你才可以进入，没有钥匙……（砰！）,消耗地牢钥匙才可以进入的地牢,1020201,jjchero1007,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320014,1,0,1,42000102,1,0,0,1577048400,604800
2008,2,2,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map02,迷失地牢,dilao_bg_02,拥有地牢钥匙，你才可以进入，没有钥匙……（砰！）,消耗地牢钥匙才可以进入的地牢,1020202,jjchero1001,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320015,1,0,1,42000103,1,0,0,1577653200,604800
3001,3,3,bg_dilaozhangjie_yxwd_09,Table_Dungeons_Map03,迷失地牢,dilao_bg_03,英雄地牢，没有对应的英雄，你将无法找到进入的路,需要拥有对应的英雄,1020301,jjchero1002,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320016,1,1,2,3006,1,0,0,1573419600,604800
3002,3,3,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map03,迷失地牢,dilao_bg_03,英雄地牢，没有对应的英雄，你将无法找到进入的路,需要拥有对应的英雄,1020302,jjchero1003,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320017,1,1,2,3006,1,0,0,1574024400,604800
3003,3,3,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map03,迷失地牢,dilao_bg_03,英雄地牢，没有对应的英雄，你将无法找到进入的路,需要拥有对应的英雄,1020401,jjchero1004,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320018,1,1,2,3006,1,0,0,1574629200,604800
3004,3,3,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map03,迷失地牢,dilao_bg_03,英雄地牢，没有对应的英雄，你将无法找到进入的路,需要拥有对应的英雄,1020402,jjchero1005,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320019,1,1,2,3006,1,0,0,1575234000,604800
3005,3,3,bg_dilaozhangjie_yxwd_09,Table_Dungeons_Map03,迷失地牢,dilao_bg_03,英雄地牢，没有对应的英雄，你将无法找到进入的路,需要拥有对应的英雄,1020501,jjchero1006,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320020,1,1,2,3006,1,0,0,1575838800,604800
3006,3,3,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map03,迷失地牢,dilao_bg_03,英雄地牢，没有对应的英雄，你将无法找到进入的路,需要拥有对应的英雄,1020502,jjchero1007,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320021,1,1,2,3006,1,0,0,1576443600,604800
3007,3,3,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map03,迷失地牢,dilao_bg_03,英雄地牢，没有对应的英雄，你将无法找到进入的路,需要拥有对应的英雄,1020503,jjchero1001,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320022,1,1,2,3006,1,0,0,1577048400,604800
3008,3,3,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map03,迷失地牢,dilao_bg_03,英雄地牢，没有对应的英雄，你将无法找到进入的路,需要拥有对应的英雄,1020601,jjchero1002,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320023,1,1,2,3006,1,0,0,1577653200,604800
4001,4,4,bg_dilaozhangjie_yxwd_09,Table_Dungeons_Map04,白骨深渊,dilao_bg_04,阴风阵阵，哀嚎连连，白骨深渊，活人勿入！,消灭地牢中的骷髅统帅，解放被困住的幽魂,1020602,jjchero1003,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320024,1,3,0,0,0,0,0,1573419600,604800
4002,4,4,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map04,白骨深渊,dilao_bg_04,阴风阵阵，哀嚎连连，白骨深渊，活人勿入！,消灭地牢中的骷髅统帅，解放被困住的幽魂,1020603,jjchero1004,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320025,1,3,0,0,0,0,0,1574024400,604800
4003,4,4,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map04,白骨深渊,dilao_bg_04,阴风阵阵，哀嚎连连，白骨深渊，活人勿入！,消灭地牢中的骷髅统帅，解放被困住的幽魂,1020701,jjchero1005,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320026,1,3,0,0,0,0,0,1574629200,604800
4004,4,4,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map04,白骨深渊,dilao_bg_04,阴风阵阵，哀嚎连连，白骨深渊，活人勿入！,消灭地牢中的骷髅统帅，解放被困住的幽魂,1020702,jjchero1006,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320027,1,3,0,0,0,0,0,1575234000,604800
4005,4,4,bg_dilaozhangjie_yxwd_09,Table_Dungeons_Map04,白骨深渊,dilao_bg_04,阴风阵阵，哀嚎连连，白骨深渊，活人勿入！,消灭地牢中的骷髅统帅，解放被困住的幽魂,1020801,jjchero1007,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320028,1,3,0,0,0,0,0,1575838800,604800
4006,4,4,bg_dilaozhangjie_yxwd_11,Table_Dungeons_Map04,白骨深渊,dilao_bg_04,阴风阵阵，哀嚎连连，白骨深渊，活人勿入！,消灭地牢中的骷髅统帅，解放被困住的幽魂,1020802,jjchero1001,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320029,1,3,0,0,0,0,0,1576443600,604800
4007,4,4,bg_dilaozhangjie_yxwd_12,Table_Dungeons_Map04,白骨深渊,dilao_bg_04,阴风阵阵，哀嚎连连，白骨深渊，活人勿入！,消灭地牢中的骷髅统帅，解放被困住的幽魂,1020901,jjchero1002,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320001,1,3,0,0,0,0,0,1577048400,604800
4008,4,4,bg_dilaozhangjie_yxwd_10,Table_Dungeons_Map04,白骨深渊,dilao_bg_04,阴风阵阵，哀嚎连连，白骨深渊，活人勿入！,消灭地牢中的骷髅统帅，解放被困住的幽魂,1020902,jjchero1003,免疫火属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320002,1,3,0,0,0,0,0,1577653200,604800
5001,5,5,bg_dilaozhangjie_yxwd_09,Table_Dungeons_Map05,冰霜峡谷,dilao_bg_05,白雪皑皑，寒风凛冽，极北之地，异鬼巢穴,隐藏在冰霜峡谷中的异鬼蠢蠢欲动，消灭他们,1020903,jjchero1004,免疫水属性伤害,20001012|20001022|20001032|20001042,0,20001012|20001022|20001032|20001042,320003,1,3,0,0,0,2,5,1573419600,604800
