resindex,HPX,HPY,hitEffectX,hitEffectY,buffX,buffY,hitFontX,hitFontY,critX,critY,healX,healY,rageX,rageY,blockX,blockY,killX,killY
101,-4,148,-2,66,-4,156,-4,77,-6,73,-5,57,-4,76,-5,72,0,166
102,3,158,0,70,3,166,-3,75,-5,76,-1,54,1,84,0,69,0,176
103,-3,156,-3,70,-3,164,-3,66,-4,70,-5,55,-2,78,-2,69,0,174
104,0,161,0,80,0,169,1,82,0,80,2,61,4,91,2,78,0,179
105,-3,149,-3,64,-3,157,-6,63,-2,65,-10,44,-5,71,-5,63,0,167
106,0,159,-1,73,0,167,-3,79,0,74,-5,56,-3,83,-1,75,0,177
107,2,169,2,88,2,177,5,86,5,91,4,65,9,88,3,85,0,187
108,0,166,2,79,0,174,5,77,5,80,3,55,6,86,3,80,0,184
109,0,152,2,71,0,160,5,73,0,75,2,52,5,75,3,72,0,170
110,0,144,1,67,0,152,-1,72,-1,74,-2,52,-4,75,2,71,0,162
111,-2,140,2,67,-2,166,4,67,5,67,1,50,1,71,6,67,0,176
112,-4,157,2,74,-4,165,6,74,3,73,2,47,2,82,1,72,0,175
113,-3,167,-2,79,-3,175,-2,82,-4,74,-3,58,-4,87,-4,77,0,185
114,0,145,5,28,0,145,12,26,12,29,12,15,13,37,16,28,0,155
115,0,165,3,71,0,161,4,69,7,65,6,49,8,75,6,69,0,173
116,3,150,2,71,3,158,5,73,4,61,6,49,6,77,10,72,0,168
117,0,160,1,72,0,168,3,72,4,67,-1,51,2,80,2,70,0,178
118,0,176,-1,80,0,190,0,81,0,68,0,75,0,65,0,50,0,200
201,3,155,1,68,3,163,5,69,9,60,2,50,4,77,5,68,0,173
201_1,3,162,1,68,3,167,5,69,9,60,2,50,4,77,5,68,0,173
202,2,163,2,65,2,171,5,67,6,57,2,41,5,66,4,58,0,181
203,-2,169,0,80,-2,177,-4,78,-2,70,-3,57,-3,82,-4,70,0,187
204,0,149,0,54,0,157,-1,52,-1,47,-2,30,1,60,-1,54,0,167
205,0,151,0,51,0,159,1,52,-1,45,4,33,4,57,1,53,0,169
206,0,157,-2,66,0,165,-6,68,-2,56,-3,43,-6,69,-7,63,0,175
207,-2,159,0,71,-2,167,4,72,6,63,1,50,-1,75,3,68,0,177
208,0,153,0,72,0,161,1,72,-1,64,2,54,0,78,4,69,0,171
209,0,159,2,76,0,167,3,76,3,66,0,54,2,84,4,76,0,177
210,-3,154,2,68,-3,162,-1,68,-1,60,-3,51,-1,72,0,60,0,172
211,0,149,0,68,0,157,15,69,20,56,15,48,17,78,16,68,0,167
212,0,173,4,71,0,181,4,79,4,63,4,58,4,92,4,74,0,191
213,-1,172,-2,83,-1,180,-5,83,-6,68,-4,60,-3,88,1,78,0,190
214,2,139,4,61,2,147,-1,59,-1,43,-1,37,-2,63,4,58,0,157
215,3,137,6,55,3,145,5,55,5,46,6,36,7,60,7,49,0,155
216,3,137,6,55,3,145,5,55,5,46,6,36,7,60,7,49,0,155
251,2,208,5,70,2,211,9,74,6,56,3,62,5,89,7,71,0,223
