n4,id,arget,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,item6,num6
1,1,20,12400101,5,81800013,5,91000008,100,0,0,0,0,0,0
1,2,100,12400101,10,81800013,10,91000008,200,0,0,0,0,0,0
1,3,300,12400101,10,81800013,20,91000008,300,0,0,0,0,0,0
1,4,600,12400101,10,81800013,40,91000008,400,0,0,0,0,0,0
1,5,900,12400101,30,81800013,60,91000008,500,0,0,0,0,0,0
2,1,20,12400401,5,81800013,5,91000008,100,0,0,0,0,0,0
2,2,100,12400401,10,81800013,10,91000008,200,0,0,0,0,0,0
2,3,300,12400401,10,81800013,20,91000008,300,0,0,0,0,0,0
2,4,600,12400401,10,81800013,40,91000008,400,0,0,0,0,0,0
2,5,900,12400401,30,81800013,60,91000008,500,0,0,0,0,0,0
