id,pub_tpye,pub_name,cards_vip_min,cards_vip_max,pay_pub_type,pay_item,pay_item_num,drop_cards_num,drop_group1,drop_group_id1,drop_group2,drop_group_id2,drop_group3,drop_group_id3,drop_group4,chance,certain_times_drop_type,additem_type,additem_num
1,10001,全阵营召唤-卷轴-单抽,0,18,1,42010001,1,1,3001,1,3002,0,3003,0,3003,5169,30,0,0
2,10002,全阵营召唤-卷轴-单抽,0,18,1,42010001,1,1,3001,0,3002,1,3003,0,3003,4370,30,0,0
3,10003,全阵营召唤-卷轴-单抽,0,18,1,42010001,1,1,3001,0,3002,0,3003,1,3003,461,30,0,0
4,10004,全阵营召唤-钻石-单抽,0,18,2,91000002,5000,1,3001,1,3002,0,3003,0,3003,5169,30,0,0
5,10005,全阵营召唤-钻石-单抽,0,18,2,91000002,5000,1,3001,0,3002,1,3003,0,3003,4370,30,0,0
6,10006,全阵营召唤-钻石-单抽,0,18,2,91000002,5000,1,3001,0,3002,0,3003,1,3003,461,30,0,0
7,10007,全阵营召唤-卷轴-10抽,0,18,101,42010001,10,10,3001,7,3002,3,3003,0,3003,2000,30,0,0
8,10008,全阵营召唤-卷轴-10抽,0,18,101,42010001,10,10,3001,6,3002,4,3003,0,3003,2000,30,0,0
9,10009,全阵营召唤-卷轴-10抽,0,18,101,42010001,10,10,3001,5,3002,5,3003,0,3003,3000,30,0,0
10,10010,全阵营召唤-卷轴-10抽,0,18,101,42010001,10,10,3001,6,3002,3,3003,1,3003,1261,30,0,0
11,10011,全阵营召唤-卷轴-10抽,0,18,101,42010001,10,10,3001,5,3002,3,3003,2,3003,1150,30,0,0
12,10012,全阵营召唤-卷轴-10抽,0,18,101,42010001,10,10,3001,4,3002,3,3003,3,3003,589,30,0,0
13,10013,全阵营召唤-钻石-10抽,0,18,102,91000002,45000,10,3001,7,3002,3,3003,0,3003,2000,30,0,0
14,10014,全阵营召唤-钻石-10抽,0,18,102,91000002,45000,10,3001,6,3002,4,3003,0,3003,2000,30,0,0
15,10015,全阵营召唤-钻石-10抽,0,18,102,91000002,45000,10,3001,5,3002,5,3003,0,3003,3000,30,0,0
16,10016,全阵营召唤-钻石-10抽,0,18,102,91000002,45000,10,3001,6,3002,3,3003,1,3003,1261,30,0,0
17,10017,全阵营召唤-钻石-10抽,0,18,102,91000002,45000,10,3001,5,3002,3,3003,2,3003,1150,30,0,0
18,10018,全阵营召唤-钻石-10抽,0,18,102,91000002,45000,10,3001,4,3002,3,3003,3,3003,589,30,0,0
19,10019,全阵营召唤-友情-单抽,0,18,3,91000048,10,1,3001,1,3002,0,3003,0,3003,5169,50,0,0
20,10020,全阵营召唤-友情-单抽,0,18,3,91000048,10,1,3001,0,3002,1,3003,0,3003,4370,50,0,0
21,10021,全阵营召唤-友情-单抽,0,18,3,91000048,10,1,3001,0,3002,0,3003,1,3003,461,50,0,0
22,10022,全阵营召唤-友情-10抽,0,18,103,91000048,100,10,3001,6,3002,4,3003,0,3003,3000,50,0,0
23,10023,全阵营召唤-友情-10抽,0,18,103,91000048,100,10,3001,5,3002,5,3003,0,3003,3000,50,0,0
24,10024,全阵营召唤-友情-10抽,0,18,103,91000048,100,10,3001,6,3002,3,3003,1,3003,4000,50,0,0
25,20001,水阵营召唤-卷轴-单抽,0,18,4,42010002,1,1,10003,1,10002,0,10001,0,10001,5169,30,0,0
26,20002,水阵营召唤-卷轴-单抽,0,18,4,42010002,1,1,10003,0,10002,1,10001,0,10001,4370,30,0,0
27,20003,水阵营召唤-卷轴-单抽,0,18,4,42010002,1,1,10003,0,10002,0,10001,1,10001,461,30,0,0
28,30001,火阵营召唤-卷轴-单抽,0,18,5,42010002,1,1,20003,1,20002,0,20001,0,20001,5169,30,0,0
29,30002,火阵营召唤-卷轴-单抽,0,18,5,42010002,1,1,20003,0,20002,1,20001,0,20001,4370,30,0,0
30,30003,火阵营召唤-卷轴-单抽,0,18,5,42010002,1,1,20003,0,20002,0,20001,1,20001,461,30,0,0
31,40001,雷阵营召唤-卷轴-单抽,0,18,6,42010002,1,1,30003,1,30002,0,30001,0,30001,5169,30,0,0
32,40002,雷阵营召唤-卷轴-单抽,0,18,6,42010002,1,1,30003,0,30002,1,30001,0,30001,4370,30,0,0
33,40003,雷阵营召唤-卷轴-单抽,0,18,6,42010002,1,1,30003,0,30002,0,30001,1,30001,461,30,0,0
34,50001,土阵营召唤-卷轴-单抽,0,18,7,42010002,1,1,40003,1,40002,0,40001,0,40001,5169,30,0,0
35,50002,土阵营召唤-卷轴-单抽,0,18,7,42010002,1,1,40003,0,40002,1,40001,0,40001,4370,30,0,0
36,50003,土阵营召唤-卷轴-单抽,0,18,7,42010002,1,1,40003,0,40002,0,40001,1,40001,461,30,0,0
37,21001,水阵营召唤-卷轴-10抽,0,18,104,42010002,10,10,10003,7,10002,3,10001,0,10001,2000,30,0,0
38,21002,水阵营召唤-卷轴-10抽,0,18,104,42010002,10,10,10003,6,10002,4,10001,0,10001,2000,30,0,0
39,21003,水阵营召唤-卷轴-10抽,0,18,104,42010002,10,10,10003,5,10002,5,10001,0,10001,3000,30,0,0
40,21004,水阵营召唤-卷轴-10抽,0,18,104,42010002,10,10,10003,6,10002,3,10001,1,10001,1261,30,0,0
41,21005,水阵营召唤-卷轴-10抽,0,18,104,42010002,10,10,10003,5,10002,3,10001,2,10001,1150,30,0,0
42,21006,水阵营召唤-卷轴-10抽,0,18,104,42010002,10,10,10003,4,10002,3,10001,3,10001,589,30,0,0
43,31001,火阵营召唤-卷轴-10抽,0,18,105,42010002,10,10,20003,7,20002,3,20001,0,20001,2000,30,0,0
44,31002,火阵营召唤-卷轴-10抽,0,18,105,42010002,10,10,20003,6,20002,4,20001,0,20001,2000,30,0,0
45,31003,火阵营召唤-卷轴-10抽,0,18,105,42010002,10,10,20003,5,20002,5,20001,0,20001,3000,30,0,0
46,31004,火阵营召唤-卷轴-10抽,0,18,105,42010002,10,10,20003,6,20002,3,20001,1,20001,1261,30,0,0
47,31005,火阵营召唤-卷轴-10抽,0,18,105,42010002,10,10,20003,5,20002,3,20001,2,20001,1150,30,0,0
48,31006,火阵营召唤-卷轴-10抽,0,18,105,42010002,10,10,20003,4,20002,3,20001,3,20001,589,30,0,0
49,41001,雷阵营召唤-卷轴-10抽,0,18,106,42010002,10,10,30003,7,30002,3,30001,0,30001,2000,30,0,0
50,41002,雷阵营召唤-卷轴-10抽,0,18,106,42010002,10,10,30003,6,30002,4,30001,0,30001,2000,30,0,0
51,41003,雷阵营召唤-卷轴-10抽,0,18,106,42010002,10,10,30003,5,30002,5,30001,0,30001,3000,30,0,0
52,41004,雷阵营召唤-卷轴-10抽,0,18,106,42010002,10,10,30003,6,30002,3,30001,1,30001,1261,30,0,0
53,41005,雷阵营召唤-卷轴-10抽,0,18,106,42010002,10,10,30003,5,30002,3,30001,2,30001,1150,30,0,0
54,41006,雷阵营召唤-卷轴-10抽,0,18,106,42010002,10,10,30003,4,30002,3,30001,3,30001,589,30,0,0
55,51001,土阵营召唤-卷轴-10抽,0,18,107,42010002,10,10,40003,7,40002,3,40001,0,40001,2000,30,0,0
56,51002,土阵营召唤-卷轴-10抽,0,18,107,42010002,10,10,40003,6,40002,4,40001,0,40001,2000,30,0,0
57,51003,土阵营召唤-卷轴-10抽,0,18,107,42010002,10,10,40003,5,40002,5,40001,0,40001,3000,30,0,0
58,51004,土阵营召唤-卷轴-10抽,0,18,107,42010002,10,10,40003,6,40002,3,40001,1,40001,1261,30,0,0
59,51005,土阵营召唤-卷轴-10抽,0,18,107,42010002,10,10,40003,5,40002,3,40001,2,40001,1150,30,0,0
60,51006,土阵营召唤-卷轴-10抽,0,18,107,42010002,10,10,40003,4,40002,3,40001,3,40001,589,30,0,0
61,60001,自选召唤-钻石-单抽,0,18,8,91000002,5000,1,3001,1,3002,0,3003,0,3003,5169,30,0,0
62,60002,自选召唤-钻石-单抽,0,18,8,91000002,5000,1,3001,0,3002,1,3003,0,3003,4370,30,0,0
63,60003,自选召唤-钻石-单抽,0,18,8,91000002,5000,1,3001,0,3002,0,3003,1,3003,461,30,0,0
64,60004,自选召唤-钻石-10抽,0,18,108,91000002,45000,10,3001,7,3002,3,3003,0,3003,2000,30,0,0
65,60005,自选召唤-钻石-10抽,0,18,108,91000002,45000,10,3001,6,3002,4,3003,0,3003,2000,30,0,0
66,60006,自选召唤-钻石-10抽,0,18,108,91000002,45000,10,3001,5,3002,5,3003,0,3003,3000,30,0,0
67,60007,自选召唤-钻石-10抽,0,18,108,91000002,45000,10,3001,6,3002,3,3003,1,3003,1261,30,0,0
68,60008,自选召唤-钻石-10抽,0,18,108,91000002,45000,10,3001,5,3002,4,3003,1,3003,1150,30,0,0
69,60009,自选召唤-钻石-10抽,0,18,108,91000002,45000,10,3001,4,3002,4,3003,2,3003,589,30,0,0
