id,name,icon,quality,sketch,intr,remark,effecthero,effectattack,effectcamp,only_owned,layers_effect,skill_id,fight,buff_type,effecttype1,effectbase1,effectbasemax1,effecttype2,effectbase2,effectbasemax2,effecttype3,effectbase3,effectbasemax3,effecttype4,effectbase4,effectbasemax4,parm1,parm2,parm3,parm4,open_type,level_limit,interesting
1,雷刃,buff_dilao_93001.png,1,暴击+10%,0,稀有,0,0,0,1,0,93001101,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,雷刃,buff_dilao_93001.png,2,暴击+15%,0,精英,0,0,0,1,0,93001201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,雷刃,buff_dilao_93001.png,3,暴击+25%,0,史诗,0,0,0,1,0,93001301,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,风灵羽靴,buff_dilao_93002.png,1,闪避+200,0,稀有,0,0,0,1,0,93002101,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,风灵羽靴,buff_dilao_93002.png,2,闪避+400,0,精英,0,0,0,1,0,93002201,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,战神头盔,buff_dilao_93003.png,1,受到伤害-10%,0,稀有,0,0,0,1,0,93003101,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,战神头盔,buff_dilao_93003.png,2,受到伤害-15%,0,精英,0,0,0,1,0,93003201,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,战神头盔,buff_dilao_93003.png,3,受到伤害-25%,0,史诗,0,0,0,1,0,93003301,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,魔罗剑鞘,buff_dilao_93004.png,1,生命汲取+ 10％,0,稀有,0,0,0,1,0,93004101,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,魔罗剑鞘,buff_dilao_93004.png,2,生命汲取+ 15％,0,精英,0,0,0,1,0,93004201,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,魔罗剑鞘,buff_dilao_93004.png,3,生命汲取+ 25％,0,史诗,0,0,0,1,0,93004301,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
