id,type,max,min,item1,num1,item2,num2,item3,num3
1,1,1,1,91000002,8000,0,0,0,0
2,1,2,2,91000002,7500,0,0,0,0
3,1,3,3,91000002,7000,0,0,0,0
4,1,4,10,91000002,6500,0,0,0,0
5,1,11,30,91000002,6400,0,0,0,0
6,1,31,50,91000002,6300,0,0,0,0
7,1,51,100,91000002,6200,0,0,0,0
8,1,101,200,91000002,6100,0,0,0,0
9,1,201,300,91000002,6000,0,0,0,0
10,1,301,400,91000002,5900,0,0,0,0
11,1,401,500,91000002,5800,0,0,0,0
12,1,501,600,91000002,5700,0,0,0,0
13,1,601,700,91000002,5600,0,0,0,0
14,1,701,800,91000002,5500,0,0,0,0
15,1,801,900,91000002,5400,0,0,0,0
16,1,901,1000,91000002,5300,0,0,0,0
17,1,1001,1500,91000002,5200,0,0,0,0
18,1,1501,2000,91000002,5100,0,0,0,0
19,1,2001,99999,91000002,5000,0,0,0,0
20,2,1,1,91000002,80000,0,0,0,0
21,2,2,2,91000002,75000,0,0,0,0
22,2,3,3,91000002,70000,0,0,0,0
23,2,4,10,91000002,65000,0,0,0,0
24,2,11,30,91000002,64000,0,0,0,0
25,2,31,50,91000002,63000,0,0,0,0
26,2,51,100,91000002,62000,0,0,0,0
27,2,101,200,91000002,61000,0,0,0,0
28,2,201,300,91000002,60000,0,0,0,0
29,2,301,400,91000002,59000,0,0,0,0
30,2,401,500,91000002,58000,0,0,0,0
31,2,501,600,91000002,57000,0,0,0,0
32,2,601,700,91000002,56000,0,0,0,0
33,2,701,800,91000002,55000,0,0,0,0
34,2,801,900,91000002,54000,0,0,0,0
35,2,901,1000,91000002,53000,0,0,0,0
36,2,1001,1500,91000002,52000,0,0,0,0
37,2,1501,2000,91000002,51000,0,0,0,0
38,2,2001,99999,91000002,50000,0,0,0,0
