levelindex,levelmap,levelscene,road,cloud1,cloud2,spot1,x1,y1,spot2,x2,y2,spot3,x3,y3,spot4,x4,y4,spot5,x5,y5,spot6,x6,y6,spot7,x7,y7,spot8,x8,y8,spot9,x9,y9,spot10,x10,y10,spot11,x11,y11,spot12,x12,y12,spot13,x13,y13,spot14,x14,y14,spot15,x15,y15,spot16,x16,y16,spot17,x17,y17,spot18,x18,y18,spot19,x19,y19,spot20,x20,y20,spot21,x21,y21,spot22,x22,y22,spot23,x23,y23,spot24,x24,y24,spot25,x25,y25,spot26,x26,y26,spot27,x27,y27,spot28,x28,y28,spot29,x29,y29,spot30,x30,y30,monster1,monster2,monster3,monster4,monster5,monster6,elite1,elite2,elite3,elite4,elite5,elite6,boss1,boss2,boss3,boss4,boss5
1,big_guaji_yxwd_04,big_guaji_yxwd_06,scene_guaji_yxwd_01,cloud_guaji_yxwd_01,cloud_guaji_yxwd_02,1,-300,-260,1,-180,-180,1,-300,-70,1,-170,25,2,-40,115,1,90,200,1,200,123,1,310,47,1,420,-30,3,300,-190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1002,1011,1012,2001,2005,1005,1006,1007,1008,2003,2004,1102,2102,2103,0,0
2,big_guaji_yxwd_05,big_guaji_yxwd_06,scene_guaji_yxwd_01,cloud_guaji_yxwd_01,cloud_guaji_yxwd_02,1,-260,200,1,-167,148,1,-82,102,1,-191,45,2,-302,-12,1,-313,-117,1,-243,-158,1,-158,-206,1,-71,-248,2,26,-197,1,125,-147,1,216,-98,1,294,-63,1,367,-21,3,455,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2007,2011,3001,3005,3007,2008,2009,3002,3003,3004,3006,1104,1103,1104,0,0
3,big_guaji_yxwd_02,big_guaji_yxwd_01,scene_guaji_yxwd_02,cloud_guaji_yxwd_03,cloud_guaji_yxwd_04,1,10,-255,1,-164,-164,1,-296,-104,1,-438,-25,2,-293,63,1,-172,123,1,-49,183,1,69,238,1,166,186,2,254,134,1,131,61,1,6,-8,1,149,-89,1,265,-154,3,468,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3008,4001,4002,4004,4005,4009,3009,3012,3013,4006,4008,4011,1102,2102,2103,0,0
4,big_guaji_yxwd_03,big_guaji_yxwd_01,scene_guaji_yxwd_02,cloud_guaji_yxwd_03,cloud_guaji_yxwd_04,1,10,-255,1,-164,-164,1,-296,-104,1,-438,-25,2,-337,39,1,-240,91,1,-143,143,1,-47,192,1,63,244,2,154,193,1,250,143,1,150,79,1,68,33,1,-16,-10,2,90,-63,1,175,-103,1,256,-147,1,331,-112,1,395,-78,3,468,-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,1002,1011,1012,2001,2005,2008,2009,3002,3003,3004,3006,1104,1103,1104,0,0
5,big_guaji_yxwd_04,big_guaji_yxwd_06,scene_guaji_yxwd_01,cloud_guaji_yxwd_01,cloud_guaji_yxwd_02,1,-300,-260,1,-244,-220,2,-190,-179,1,-267,-145,2,-338,-105,1,-410,-69,1,-296,-15,1,-210,27,1,-137,65,2,-59,104,1,29,151,1,108,199,1,196,153,1,273,111,2,342,74,1,407,39,1,473,11,1,395,-34,1,317,-72,3,225,-133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,2007,2011,3001,3005,3007,1005,1006,1007,1008,2003,2004,1102,2102,2103,0,0
6,big_guaji_yxwd_05,big_guaji_yxwd_06,scene_guaji_yxwd_01,cloud_guaji_yxwd_01,cloud_guaji_yxwd_02,1,-307,218,1,-244,184,1,-194,155,1,-140,123,2,-91,94,1,-160,64,1,-224,36,1,-283,5,1,-347,-26,2,-413,-61,1,-363,-96,1,-303,-129,1,-248,-155,1,-194,-184,2,-153,-209,1,-103,-244,1,-48,-222,1,8,-194,1,63,-166,2,117,-141,1,163,-121,1,211,-100,1,261,-74,1,310,-51,2,367,-16,1,417,9,1,468,36,1,415,77,1,357,117,3,427,155,3008,4001,4002,4004,4005,4009,3009,3012,3013,4006,4008,4011,1104,1103,1104,0,0
7,big_guaji_yxwd_02,big_guaji_yxwd_01,scene_guaji_yxwd_02,cloud_guaji_yxwd_03,cloud_guaji_yxwd_04,1,-92,-218,1,-160,-189,1,-227,-156,1,-285,-126,2,-344,-90,1,-399,-57,1,-445,-28,1,-363,23,1,-301,51,2,-242,86,1,-179,122,1,-120,149,1,-64,177,1,-11,207,2,51,234,1,111,194,1,167,165,1,224,132,1,178,97,2,127,64,1,67,30,1,17,6,1,-40,-22,1,23,-61,2,94,-93,1,175,-133,1,244,-159,1,309,-118,1,370,-89,3,440,-54,1001,1002,1011,1012,2001,2005,3009,3012,3013,4006,4008,4011,1102,2102,2103,0,0
8,big_guaji_yxwd_03,big_guaji_yxwd_01,scene_guaji_yxwd_02,cloud_guaji_yxwd_03,cloud_guaji_yxwd_04,1,-92,-218,1,-160,-189,1,-227,-156,1,-285,-126,2,-344,-90,1,-399,-57,1,-445,-28,1,-363,23,1,-301,51,2,-242,86,1,-179,122,1,-120,149,1,-64,177,1,-11,207,2,51,234,1,111,194,1,167,165,1,224,132,1,178,97,2,127,64,1,67,30,1,17,6,1,-40,-22,1,23,-61,2,94,-93,1,175,-133,1,244,-159,1,309,-118,1,370,-89,3,440,-54,2006,2007,2011,3001,3005,3007,3009,3012,3013,4006,4008,4011,1104,1103,1104,0,0
9,big_guaji_yxwd_04,big_guaji_yxwd_06,scene_guaji_yxwd_01,cloud_guaji_yxwd_01,cloud_guaji_yxwd_02,1,-379,-297,1,-321,-269,1,-268,-230,1,-202,-192,2,-265,-165,1,-318,-135,1,-371,-107,1,-417,-77,1,-360,-48,2,-302,-15,1,-244,20,1,-187,49,1,-124,81,1,-65,108,2,-2,143,1,47,169,1,98,207,1,137,185,1,182,166,2,232,136,1,283,110,1,329,87,1,387,58,1,449,28,2,399,2,1,353,-31,1,308,-61,1,266,-98,1,209,-138,3,283,-172,3008,4001,4002,4004,4005,4009,1005,1006,1007,1008,2003,2004,1102,2102,2103,0,0
10,big_guaji_yxwd_05,big_guaji_yxwd_06,scene_guaji_yxwd_01,cloud_guaji_yxwd_01,cloud_guaji_yxwd_02,1,-307,218,1,-244,184,1,-194,155,1,-140,123,2,-91,94,1,-160,64,1,-224,36,1,-283,5,1,-347,-26,2,-413,-61,1,-363,-96,1,-303,-129,1,-248,-155,1,-194,-184,2,-153,-209,1,-103,-244,1,-48,-222,1,8,-194,1,63,-166,2,117,-141,1,163,-121,1,211,-100,1,261,-74,1,310,-51,2,367,-16,1,417,9,1,468,36,1,415,77,1,357,117,3,427,155,1001,1002,1011,1012,2001,2005,1005,1006,1007,1008,2003,2004,1104,1103,1104,0,0
