base_id,beauty_id,chapter,chapter_condition,legend_name,chapter_name,level_group
1,5001,1,0,夏梵的意志,难度：天国,500101
2,5001,2,45,夏梵的意志,难度：简单,500102
3,5001,3,50,夏梵的意志,难度：普通,500103
4,5001,4,55,夏梵的意志,难度：困难,500104
5,5001,5,60,夏梵的意志,难度：恶梦,500105
6,5001,6,65,夏梵的意志,难度：地狱,500106
7,5001,7,70,夏梵的意志,难度：残酷,500107
8,5001,8,75,夏梵的意志,难度：绝望,500108
9,5002,1,43,圣光方舟,难度：天国,500201
10,5002,2,48,圣光方舟,难度：简单,500202
11,5002,3,53,圣光方舟,难度：普通,500203
12,5002,4,58,圣光方舟,难度：困难,500204
13,5002,5,63,圣光方舟,难度：恶梦,500205
14,5002,6,68,圣光方舟,难度：地狱,500206
15,5002,7,73,圣光方舟,难度：残酷,500207
16,5002,8,78,圣光方舟,难度：绝望,500208
17,5003,1,46,极寒之风,难度：天国,500301
18,5003,2,51,极寒之风,难度：简单,500302
19,5003,3,56,极寒之风,难度：普通,500303
20,5003,4,61,极寒之风,难度：困难,500304
21,5003,5,66,极寒之风,难度：恶梦,500305
22,5003,6,71,极寒之风,难度：地狱,500306
23,5003,7,76,极寒之风,难度：残酷,500307
24,5003,8,81,极寒之风,难度：绝望,500308
25,5004,1,47,寂静之月,难度：天国,500401
26,5004,2,52,寂静之月,难度：简单,500402
27,5004,3,57,寂静之月,难度：普通,500403
28,5004,4,62,寂静之月,难度：困难,500404
29,5004,5,67,寂静之月,难度：恶梦,500405
30,5004,6,72,寂静之月,难度：地狱,500406
31,5004,7,77,寂静之月,难度：残酷,500407
32,5004,8,82,寂静之月,难度：绝望,500408
33,5005,1,51,旅法师传说,难度：天国,500501
34,5005,2,56,旅法师传说,难度：简单,500502
35,5005,3,61,旅法师传说,难度：普通,500503
36,5005,4,66,旅法师传说,难度：困难,500504
37,5005,5,71,旅法师传说,难度：恶梦,500505
38,5005,6,76,旅法师传说,难度：地狱,500506
39,5005,7,81,旅法师传说,难度：残酷,500507
40,5005,8,86,旅法师传说,难度：绝望,500508
41,5006,1,54,阿祖斯日记,难度：天国,500601
42,5006,2,59,阿祖斯日记,难度：简单,500602
43,5006,3,64,阿祖斯日记,难度：普通,500603
44,5006,4,69,阿祖斯日记,难度：困难,500604
45,5006,5,74,阿祖斯日记,难度：恶梦,500605
46,5006,6,79,阿祖斯日记,难度：地狱,500606
47,5006,7,84,阿祖斯日记,难度：残酷,500607
48,5006,8,89,阿祖斯日记,难度：绝望,500608
49,5007,1,55,耐瑟的智慧,难度：天国,500701
50,5007,2,60,耐瑟的智慧,难度：简单,500702
51,5007,3,65,耐瑟的智慧,难度：普通,500703
52,5007,4,70,耐瑟的智慧,难度：困难,500704
53,5007,5,75,耐瑟的智慧,难度：恶梦,500705
54,5007,6,80,耐瑟的智慧,难度：地狱,500706
55,5007,7,85,耐瑟的智慧,难度：残酷,500707
56,5007,8,90,耐瑟的智慧,难度：绝望,500708
