group,total_level,item_id,value,decompose_itembaggroup
1,1,23000012,2,100119
1,2,23000012,2,100119
1,3,23000012,2,100119
1,4,23000012,3,100119
1,5,23000012,3,100119
1,6,23000012,3,100119
1,7,23000012,4,100119
1,8,23000012,4,100119
1,9,23000012,4,100119
1,10,23000012,5,100119
1,11,23000012,5,100119
1,12,23000012,5,100119
1,13,23000012,6,100119
1,14,23000012,6,100119
1,15,23000012,6,100119
1,16,23000012,6,100119
1,17,23000012,6,100119
1,18,23000012,6,100119
1,19,23000012,6,100119
1,20,23000012,6,100119
1,21,23000012,6,100119
1,22,23000012,6,100119
1,23,23000012,6,100119
1,24,23000012,6,100119
1,25,23000012,6,100119
1,26,23000012,6,100119
1,27,23000012,6,100119
1,28,23000012,6,100119
1,29,23000012,6,100119
1,30,23000012,6,100119
1,31,23000012,6,100119
1,32,23000012,6,100119
1,33,23000012,6,100119
1,34,23000012,6,100119
1,35,23000012,6,100119
1,36,23000012,6,100119
1,37,23000012,6,100119
1,38,23000012,6,100119
1,39,23000012,6,100119
1,40,23000012,6,100119
1,41,23000012,6,100119
1,42,23000012,6,100119
1,43,23000012,6,100119
1,44,23000012,6,100119
1,45,23000012,6,100119
1,46,23000012,6,100119
1,47,23000012,6,100119
1,48,23000012,6,100119
1,49,23000012,6,100119
1,50,23000012,6,100119
1,51,23000012,6,100119
1,52,23000012,6,100119
1,53,23000012,6,100119
1,54,23000012,6,100119
1,55,23000012,6,100119
1,56,23000012,6,100119
1,57,23000012,6,100119
1,58,23000012,6,100119
1,59,23000012,6,100119
1,60,23000012,6,100119
1,61,23000012,6,100119
1,62,23000012,6,100119
1,63,23000012,6,100119
1,64,23000012,6,100119
1,65,23000012,6,100119
1,66,23000012,6,100119
1,67,23000012,6,100119
1,68,23000012,6,100119
1,69,23000012,6,100119
1,70,23000012,6,100119
1,71,23000012,6,100119
1,72,23000012,6,100119
1,73,23000012,6,100119
1,74,23000012,6,100119
1,75,23000012,6,100119
1,76,23000012,6,100119
1,77,23000012,6,100119
1,78,23000012,6,100119
1,79,23000012,6,100119
1,80,23000012,6,100119
