id,groupid,name,day,choosetime,toplimit,cdtime,chooseitem1,choosenum1,chooseitem2,choosenum2,chooseitem3,choosenum3,chooseitem4,choosenum4,chooseitem5,choosenum5,chooseitem6,choosenum6,item1,num1,item2,num2,item3,num3
1,1,心愿礼物,1,10,5,10,12401001,1,12300501,1,12100201,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
2,1,心愿礼物,2,10,5,10,12401001,1,12300501,1,12100201,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
3,1,心愿礼物,3,10,5,10,12401001,1,12300501,1,12100201,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
4,1,心愿礼物,4,10,5,10,12401001,1,12300501,1,12100201,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
5,1,心愿礼物,5,10,5,10,12401001,1,12300501,1,12100201,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
6,1,心愿礼物,6,10,5,10,12401001,1,12300501,1,12100201,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
7,1,心愿礼物,7,10,5,10,12401001,1,12300501,1,12100201,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
8,1,心愿礼物,8,10,5,10,12401001,1,12300501,1,12100201,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
9,1,心愿礼物,9,10,5,10,12401001,1,12300501,1,12100201,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
10,1,心愿礼物,10,10,5,10,12401001,1,12300501,1,12100201,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
11,2,心愿礼物,1,10,5,10,30101000,10,81400701,1,60000225,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
12,2,心愿礼物,2,10,5,10,30101000,10,81400701,1,60000225,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
13,2,心愿礼物,3,10,5,10,30101000,10,81400701,1,60000225,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
14,2,心愿礼物,4,10,5,10,30101000,10,81400701,1,60000225,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
15,2,心愿礼物,5,10,5,10,30101000,10,81400701,1,60000225,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
16,2,心愿礼物,6,10,5,10,30101000,10,81400701,1,60000225,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
17,2,心愿礼物,7,10,5,10,30101000,10,81400701,1,60000225,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
18,2,心愿礼物,8,10,5,10,30101000,10,81400701,1,60000225,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
19,2,心愿礼物,9,10,5,10,30101000,10,81400701,1,60000225,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
20,2,心愿礼物,10,10,5,10,30101000,10,81400701,1,60000225,1,43000002,1,60000212,2,91000002,30,91000001,100000,72000002,1,0,0
