id,subsection,subsectionicon,group,groupicon,name,partition,integral,rewardparameter
1,1,1000,1,1001,传奇,0,70,33000
2,1,1000,2,1001,传奇,0,60,33000
3,1,1000,3,1001,传奇,0,50,33000
4,1,1000,4,1001,传奇,0,40,33000
5,1,1000,5,1001,传奇,0,35,33000
6,1,1000,6,1001,传奇,0,30,33000
7,1,1000,7,1001,传奇,0,30,33000
8,1,1000,8,1001,传奇,0,30,33000
9,1,1000,9,1001,传奇,0,30,33000
10,1,1000,10,1001,传奇,0,30,33000
11,1,1000,11,1001,传奇,0,25,32900
12,1,1000,12,1001,传奇,0,25,32900
13,1,1000,13,1001,传奇,0,25,32900
14,1,1000,14,1001,传奇,0,25,32900
15,1,1000,15,1001,传奇,0,25,32900
16,1,1000,16,1001,传奇,0,25,32600
17,1,1000,17,1001,传奇,0,25,32600
18,1,1000,18,1001,传奇,0,25,32600
19,1,1000,19,1001,传奇,0,25,32600
20,1,1000,20,1001,传奇,0,25,32600
21,1,1000,21,1001,传奇,0,20,32100
22,1,1000,22,1001,传奇,0,20,32100
23,1,1000,23,1001,传奇,0,20,32100
24,1,1000,24,1001,传奇,0,20,32100
25,1,1000,25,1001,传奇,0,20,32100
26,1,1000,26,1001,传奇,0,20,31800
27,1,1000,27,1001,传奇,0,20,31800
28,1,1000,28,1001,传奇,0,20,31800
29,1,1000,29,1001,传奇,0,20,31800
30,1,1000,30,1001,传奇,0,20,31800
31,1,1000,31,1001,传奇,0,15,31500
32,1,1000,32,1001,传奇,0,15,31500
33,1,1000,33,1001,传奇,0,15,31500
34,1,1000,34,1001,传奇,0,15,31500
35,1,1000,35,1001,传奇,0,15,31500
36,1,1000,36,1001,传奇,0,15,31200
37,1,1000,37,1001,传奇,0,15,31200
38,1,1000,38,1001,传奇,0,15,31200
39,1,1000,39,1001,传奇,0,15,31200
40,1,1000,40,1001,传奇,0,15,31200
41,1,1000,41,1001,传奇,0,10,30900
42,1,1000,42,1001,传奇,0,10,30900
43,1,1000,43,1001,传奇,0,10,30900
44,1,1000,44,1001,传奇,0,10,30900
45,1,1000,45,1001,传奇,0,10,30900
46,1,1000,46,1001,传奇,0,10,30600
47,1,1000,47,1001,传奇,0,10,30600
48,1,1000,48,1001,传奇,0,10,30600
49,1,1000,49,1001,传奇,0,10,30600
50,1,1000,50,1001,传奇,0,10,30600
51,2,2000,1,2001,钻石 I,7915,0,30300
52,2,2000,2,2002,钻石 II,7498,0,29300
53,2,2000,3,2003,钻石 III,7082,0,28400
54,2,2000,4,2004,钻石 IV,6665,0,27500
55,2,2000,5,2005,钻石 V,5832,0,26600
56,3,3000,1,3001,黄金 I,5415,0,26300
57,3,3000,2,3002,黄金 II,4999,0,26000
58,3,3000,3,3003,黄金 III,4582,0,25600
59,3,3000,4,3004,黄金 IV,4166,0,24700
60,3,3000,5,3005,黄金 V,3749,0,23800
61,4,4000,1,4001,白银 I,3333,0,22000
62,4,4000,2,4002,白银 II,2916,0,20100
63,4,4000,3,4003,白银 III,2499,0,18300
64,4,4000,4,4004,白银 IV,2083,0,16400
65,4,4000,5,4005,白银 V,1666,0,14600
66,5,5000,1,5001,青铜 I,1333,0,13600
67,5,5000,2,5002,青铜 II,1000,0,12700
68,5,5000,3,5003,青铜 III,666,0,11800
69,5,5000,4,5004,青铜 IV,333,0,10900
70,5,5000,5,5005,青铜 V,0,0,10000
