orz,id,hero_star,star_quality,star_num,qualification1_id1,qualification1_num1,qualification1_id2,qualification1_num2,qualification2_id1,qualification2_num1,qualification2_id2,qualification2_num2,qualification3_id1,qualification3_num1,qualification3_id2,qualification3_num2,qualification4_id1,qualification4_num1,qualification4_id2,qualification4_num2,qualification5_id1,qualification5_num1,qualification5_id2,qualification5_num2,qualification6_id1,qualification6_num1,qualification6_id2,qualification6_num2,qualification7_id1,qualification7_num1,qualification7_id2,qualification7_num2,qualification8_id1,qualification8_num1,qualification8_id2,qualification8_num2,qualification9_id1,qualification9_num1,qualification9_id2,qualification9_num2,qualification10_id1,qualification10_num1,qualification10_id2,qualification10_num2,starlv_id1,starid_num1,starlv_id2,starid_num2,starlv_id3,starid_num3,starlv_id4,starid_num4,qualification1_type1,qualification1_value1,qualification1_type2,qualification1_value2,qualification1_type3,qualification1_value3,qualification2_type1,qualification2_value1,qualification2_type2,qualification2_value2,qualification2_type3,qualification2_value3,qualification3_type1,qualification3_value1,qualification3_type2,qualification3_value2,qualification3_type3,qualification3_value3,qualification4_type1,qualification4_value1,qualification4_type2,qualification4_value2,qualification4_type3,qualification4_value3,qualification5_type1,qualification5_value1,qualification5_type2,qualification5_value2,qualification5_type3,qualification5_value3,qualification6_type1,qualification6_value1,qualification6_type2,qualification6_value2,qualification6_type3,qualification6_value3,qualification7_type1,qualification7_value1,qualification7_type2,qualification7_value2,qualification7_type3,qualification7_value3,qualification8_type1,qualification8_value1,qualification8_type2,qualification8_value2,qualification8_type3,qualification8_value3,qualification9_type1,qualification9_value1,qualification9_type2,qualification9_value2,qualification9_type3,qualification9_value3,qualification10_type1,qualification10_value1,qualification10_type2,qualification10_value2,qualification10_type3,qualification10_value3,starlv_type1,starlv_value1,starlv_type2,starlv_value2,starlv_type3,starlv_value3,skillid1,skillid2,skillid3,skillid4,skillid5,skillid6,skillid7,skillid0,skillopen,qualification1,qualification2,qualification3,qualification4,qualification5,qualification6,qualification7,qualification8,qualification9,qualification10,starlv,qualification_icon1,qualification_icon2,qualification_icon3,qualification_icon4,qualification_icon5,qualification_icon6,qualification_icon7,qualification_icon8,qualification_icon9,qualification_icon10,starlv_icon
1,1001,1,2,1,91000001,0,12100101,0,91000001,0,12100101,0,91000001,0,12100101,0,91000001,0,12100101,0,91000001,0,12100101,0,91000001,0,12100101,0,91000001,0,12100101,0,91000001,0,12100101,0,91000001,0,12100101,0,91000001,0,12100101,0,91000001,0,30101000,0,12100101,0,0,0,7,0,0,0,99,0,30,0,0,0,99,0,10,0,0,0,99,0,7,0,0,0,99,0,30,0,0,0,99,0,10,0,0,0,99,0,10,0,0,0,99,0,10,0,0,0,99,0,10,0,0,0,99,0,0,0,0,0,0,0,6,0,8,0,99,0,100100,0,0,0,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,0,0,0,0,0,0,0,0,0,0,icon_hero_yxwd_zizhi_07
2,1001,2,2,2,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,30101000,0,12100101,1,0,0,7,30,0,0,99,9113,30,10,0,0,99,9113,10,30,0,0,99,9113,7,30,0,0,99,9113,30,10,0,0,99,9113,10,30,0,0,99,9113,10,30,0,0,99,9113,10,30,0,0,99,9113,10,30,0,0,99,9113,0,0,0,0,0,0,6,2580,8,90,99,36454,100100,0,0,0,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_yxwd_zizhi_07
3,1001,3,2,3,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,12100101,1,91000001,0,30101000,0,12100101,1,0,0,7,90,0,0,99,25062,30,40,0,0,99,25062,10,70,0,0,99,25062,7,90,0,0,99,25062,30,40,0,0,99,25062,10,70,0,0,99,25062,10,70,0,0,99,25062,10,70,0,0,99,25062,10,70,0,0,99,25062,0,0,0,0,0,0,6,7110,8,240,99,100249,100100,0,0,0,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_shengxing_01,icon_hero_yxwd_zizhi_07
4,1001,4,3,1,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,30101000,0,12100101,2,0,0,7,180,0,0,99,51264,30,70,0,0,99,51264,10,140,0,0,99,51264,7,180,0,0,99,51264,30,70,0,0,99,51264,10,140,0,0,99,51264,10,140,0,0,99,51264,10,140,0,0,99,51264,10,140,0,0,99,51264,0,0,0,0,0,0,6,14540,8,490,99,205056,100100,100101,0,0,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_yxwd_zizhi_07
5,1001,5,3,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,30101000,0,12100101,2,0,0,7,310,0,0,99,91136,30,130,0,0,99,91136,10,260,0,0,99,91136,7,310,0,0,99,91136,30,130,0,0,99,91136,10,260,0,0,99,91136,10,260,0,0,99,91136,10,260,0,0,99,91136,10,260,0,0,99,91136,0,0,0,0,0,0,6,25850,8,860,99,364544,100100,100101,0,0,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_yxwd_zizhi_07
6,1001,6,3,3,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,12100101,2,91000001,0,30101000,0,12100101,2,0,0,7,500,0,0,99,145817,30,210,0,0,99,145817,10,410,0,0,99,145817,7,500,0,0,99,145817,30,210,0,0,99,145817,10,410,0,0,99,145817,10,410,0,0,99,145817,10,410,0,0,99,145817,10,410,0,0,99,145817,0,0,0,0,0,0,6,41350,8,1380,99,583270,100100,100101,0,0,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_shengxing_02,icon_hero_yxwd_zizhi_07
7,1001,7,4,1,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,30101000,0,12100101,4,0,0,7,790,0,0,99,227840,30,320,0,0,99,227840,10,640,0,0,99,227840,7,790,0,0,99,227840,30,320,0,0,99,227840,10,640,0,0,99,227840,10,640,0,0,99,227840,10,640,0,0,99,227840,10,640,0,0,99,227840,0,0,0,0,0,0,6,64610,8,2160,99,911360,100100,100101,100102,0,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_yxwd_zizhi_07
8,1001,8,4,2,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,30101000,0,12100101,4,0,0,7,1260,0,0,99,364544,30,520,0,0,99,364544,10,1020,0,0,99,364544,7,1260,0,0,99,364544,30,520,0,0,99,364544,10,1020,0,0,99,364544,10,1020,0,0,99,364544,10,1020,0,0,99,364544,10,1020,0,0,99,364544,0,0,0,0,0,0,6,103380,8,3450,99,1458176,100100,100101,100102,0,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_yxwd_zizhi_07
9,1001,9,4,3,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,12100101,4,91000001,0,30101000,0,12100101,4,0,0,7,1890,0,0,99,546816,30,770,0,0,99,546816,10,1540,0,0,99,546816,7,1890,0,0,99,546816,30,770,0,0,99,546816,10,1540,0,0,99,546816,10,1540,0,0,99,546816,10,1540,0,0,99,546816,10,1540,0,0,99,546816,0,0,0,0,0,0,6,155070,8,5170,99,2187264,100100,100101,100102,0,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_shengxing_03,icon_hero_yxwd_zizhi_07
10,1001,10,5,1,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,12100101,5,91000001,0,30101000,0,12100101,5,0,0,7,2710,0,0,99,786048,30,1110,0,0,99,786048,10,2210,0,0,99,786048,7,2710,0,0,99,786048,30,1110,0,0,99,786048,10,2210,0,0,99,786048,10,2210,0,0,99,786048,10,2210,0,0,99,786048,10,2210,0,0,99,786048,0,0,0,0,0,0,6,222920,8,7440,99,3144192,100100,100101,100102,100103,0,0,0,1001,0,资质：力量,资质：敏捷,资质：智力,资质：精神,资质：体力,资质：幸运,资质：智力,资质：精神,资质：体力,资质：幸运,升星,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_shengxing_04,icon_hero_yxwd_zizhi_07
