id,type,type_txt,system,systemname,systempicture,Explain_txt1,Explain_txt2,twotag,twotag_name,twotag_picture,twotag_txt,openlevelid,aindex
1,1,推荐阵容,1,新手推荐,1005|1010|1002|1015|4012,[4]不落之壁、魔导女爵、水占巫女[0],不落之壁的硬度能够坚持到后排放出技能，使用群体类大招技能消灭所有敌人，保障使用密林智者的控制提高前排的存活时间。,0,0,0,0,0,0
2,1,推荐阵容,2,热门推荐,1005|1010|1018|5006|1008,[4]武圣、宙斯[0],武圣和宙斯的群体伤害和爆发性伤害，配合神谕信使和奇想学徒的恢复能量，以及不落之壁的坦度和治疗效果，保证了阵容的强势性。,0,0,0,0,0,0
3,1,推荐阵容,3,后期无敌,5001|7002|5004|6001|1008,[4]审判之刃、黎明圣炎、莉莉丝[0],神谕信使和暗域之炎主要负责辅助回能及控制场面，审判之刃在后期恐怖的攻击里环境下，还拥有一定的肉度，秒后排能力出众。神谕信使和暗域之炎配合使己方释放快于敌方释放大招，从而使莉莉丝提前打出爆发输出，黎明圣炎补充队伍的回复问题，提供强大的护盾。,0,0,0,0,0,0
4,1,推荐阵容,4,最强怒涛,1002|1005|1008|1018|1010,[4]不落之壁、武圣、水占巫女[0],不落之壁和武圣的坦度能够保证后排水占巫女的稳定输出，同时神谕信使的元素瓶能够保证不落之壁和武圣不会第一时间被秒杀，水占巫女和奇想学徒的配合能够快速的清场。怒涛阵营最强阵容！,0,0,0,0,0,0
5,1,推荐阵容,5,无敌圣焰,2001|2004|2003|2005|2016,[4]怒火狂刃、不屈战魂[0],怒火利刃的无敌效果和峰峦霸主的持续控制，在加上炎魂祭司的控场和回血，燎原暗箭收割敌方，这套阵容要控有控，要肉有肉，要输出有输出，实在是不可多求的好阵容呀,0,0,0,0,0,0
6,1,推荐阵容,6,无尽雷鸣,3001|3002|3004|3006|3009,[4]不朽剑魔、驱雷之手[0],驱雷射手的控制技能可以持续控制敌方英雄，同时让敌人减怒气，推延敌方爆发的时机，不朽剑魔无限召唤小怪，提供前排的坦度，配合风雷女巫的中期无敌输出，可以让领主们体会到前所未有的快感.i.,0,0,0,0,0,0
7,1,推荐阵容,7,永恒神峰,4001|4004|4007|4008|4003,[4]神愈之光、绝世剑舞、幻林使者[0],绝世剑舞开场聚怪，神峰守护提供开场控制效果，幻林使者控制敌方攻击力最高的英雄，保证前排不会被秒，这套阵容五个人全部拥有控制，还有无敌奶妈神愈之光，实在是膀胱局必备阵容！,0,0,0,0,0,0
8,2,获取资源,1,免费钻石,elogo91000002,用于召唤、商店购买物品等,0,1,竞技场,elogo91000002,每日排名结算发钻石啦,4,"ui_mgr.openUI(""kickEnemyPlace"")"
9,2,获取资源,1,免费钻石,elogo91000002,用于召唤、商店购买物品等,0,2,赏金任务,elogo91000002,您参与，我们血亏,34,"ui_mgr.openUI(""rewardcolumnUI"")"
10,2,获取资源,1,免费钻石,elogo91000002,用于召唤、商店购买物品等,0,3,日常任务,elogo91000002,白嫖钻石的途径之一,1,"ui_mgr.openUI(""hero_missionUI""，enOpenUIType.EUIT_ListType，{_index = hero_missionUI.Flag.Daily})"
