id,artifact_id,strengthen_lv,strengthen_value1,strengthen_value2,strengthen_value3,strengthen_value4,strengthen_value5,strengthen_need1,strengthen_num1,strengthen_need2,strengthen_num2,strengthen_skill1,strengthen_skill2,strengthen_skill3,strengthen_skill4,strengthen_skill5
1,60000001,0,0,0,0,0,0,0,0,0,0,91100201,0,0,0,0
2,60000001,1,2,200,0,0,50000,40000012,40,91000001,1200000,91100201,0,0,0,0
3,60000001,2,2,200,0,0,70000,40000012,100,91000001,3000000,91100202,0,0,0,0
4,60000001,3,5,400,0,0,90000,40000012,300,91000001,9000000,91100202,0,0,0,0
5,60000001,4,10,700,0,0,120000,40000012,600,91000001,18000000,91100202,0,0,0,0
6,60000001,5,10,700,0,0,150000,40000012,1200,91000001,36000000,91100203,0,0,0,0
7,60000002,0,0,0,0,0,0,0,0,0,0,91100301,0,0,0,0
8,60000002,1,200,200,0,0,50000,40000013,40,91000001,1200000,91100301,0,0,0,0
9,60000002,2,200,200,0,0,70000,40000013,100,91000001,3000000,91100302,0,0,0,0
10,60000002,3,300,300,0,0,90000,40000013,300,91000001,9000000,91100302,0,0,0,0
11,60000002,4,500,500,0,0,120000,40000013,600,91000001,18000000,91100302,0,0,0,0
12,60000002,5,500,500,0,0,150000,40000013,1200,91000001,36000000,91100303,0,0,0,0
13,60000003,0,0,0,0,0,0,0,0,0,0,91100101,0,0,0,0
14,60000003,1,-100,200,0,0,50000,40000014,40,91000001,1200000,91100101,0,0,0,0
15,60000003,2,-100,200,0,0,70000,40000014,100,91000001,3000000,91100102,0,0,0,0
16,60000003,3,-200,300,0,0,90000,40000014,300,91000001,9000000,91100102,0,0,0,0
17,60000003,4,-350,500,0,0,120000,40000014,600,91000001,18000000,91100102,0,0,0,0
18,60000003,5,-350,500,0,0,150000,40000014,1200,91000001,36000000,91100103,91100104,0,0,0
19,60000004,0,0,0,0,0,0,0,0,0,0,91100401,0,0,0,0
20,60000004,1,200,0,0,0,50000,40000015,40,91000001,1200000,91100401,0,0,0,0
21,60000004,2,200,0,0,0,70000,40000015,100,91000001,3000000,91100402,0,0,0,0
22,60000004,3,400,0,0,0,90000,40000015,300,91000001,9000000,91100402,0,0,0,0
23,60000004,4,700,0,0,0,120000,40000015,600,91000001,18000000,91100402,0,0,0,0
24,60000004,5,700,0,0,0,150000,40000015,1200,91000001,36000000,91100403,0,0,0,0
25,60000005,0,0,0,0,0,0,0,0,0,0,91100501,0,0,0,0
26,60000005,1,3,200,0,0,50000,40000016,40,91000001,1200000,91100501,0,0,0,0
27,60000005,2,3,200,0,0,70000,40000016,100,91000001,3000000,91100502,0,0,0,0
28,60000005,3,5,300,0,0,90000,40000016,300,91000001,9000000,91100502,0,0,0,0
29,60000005,4,10,500,0,0,120000,40000016,600,91000001,18000000,91100502,0,0,0,0
30,60000005,5,10,500,0,0,150000,40000016,1200,91000001,36000000,91100503,0,0,0,0
31,60000006,0,0,0,0,0,0,0,0,0,0,91100601,0,0,0,0
32,60000006,1,200,200,0,0,50000,40000017,40,91000001,1200000,91100601,0,0,0,0
33,60000006,2,200,200,0,0,70000,40000017,100,91000001,3000000,91100602,0,0,0,0
34,60000006,3,400,300,0,0,90000,40000017,300,91000001,9000000,91100602,0,0,0,0
35,60000006,4,700,500,0,0,120000,40000017,600,91000001,18000000,91100602,0,0,0,0
36,60000006,5,700,500,0,0,150000,40000017,1200,91000001,36000000,91100603,0,0,0,0
37,60000007,0,0,0,0,0,0,0,0,0,0,91100701,0,0,0,0
38,60000007,1,200,3,0,0,50000,40000018,40,91000001,1200000,91100701,0,0,0,0
39,60000007,2,200,3,0,0,70000,40000018,100,91000001,3000000,91100702,0,0,0,0
40,60000007,3,300,5,0,0,90000,40000018,300,91000001,9000000,91100702,0,0,0,0
41,60000007,4,500,10,0,0,120000,40000018,600,91000001,18000000,91100702,0,0,0,0
42,60000007,5,500,10,0,0,150000,40000018,1200,91000001,36000000,91100703,0,0,0,0
