id,mode_type,type,open_time,over_time,subtype,index,tasktypes,n1,n2,n3,n4,group,limit_time,describe,trigger_num
101001,1,1,0,0,1,1,41,1,112204,1,0,40,7200,恭喜通关22-4，我们为您准备了钜惠礼包，助您步步领先~,0
101002,1,1,0,0,1,2,41,1,110328,1,0,40,7200,恭喜通关3-28，我们为您准备了钜惠礼包，帮助您快速通关~,0
101003,1,1,0,0,1,3,41,1,110404,1,0,41,7200,恭喜通关4-4，我们为您准备了钜惠礼包，助您步步领先~,0
101004,1,1,0,0,1,4,41,1,110504,1,0,42,7200,恭喜通关5-4，我们为您准备了钜惠礼包，助您步步领先~,0
101005,1,1,0,0,1,5,41,1,110640,1,0,43,7200,恭喜通关6-40，我们为您准备了钜惠礼包，助您步步领先~,0
101006,1,1,0,0,1,6,41,1,110720,1,0,44,7200,恭喜通关7-20，我们为您准备了钜惠礼包，助您步步领先~,0
101007,1,1,0,0,1,7,41,1,110740,1,0,45,7200,恭喜通关7-40，我们为您准备了钜惠礼包，助您步步领先~,0
101008,1,1,0,0,1,8,41,1,110820,1,0,46,7200,恭喜通关8-20，我们为您准备了钜惠礼包，助您步步领先~,0
101009,1,1,0,0,1,9,41,1,110840,1,0,47,7200,恭喜通关8-40，我们为您准备了钜惠礼包，助您步步领先~,0
101010,1,1,0,0,1,10,41,1,110920,1,0,48,7200,恭喜通关9-20，我们为您准备了钜惠礼包，助您步步领先~,0
101011,1,1,0,0,1,11,41,1,110940,1,0,49,7200,恭喜通关9-40，我们为您准备了钜惠礼包，助您步步领先~,0
101012,1,1,0,0,1,12,41,1,111020,1,0,50,7200,恭喜通关10-20，我们为您准备了钜惠礼包，助您步步领先~,0
101013,1,1,0,0,1,13,41,1,111040,1,0,51,7200,恭喜通关10-40，我们为您准备了钜惠礼包，助您步步领先~,0
101014,1,1,0,0,1,14,41,1,111120,1,0,52,7200,恭喜通关11-20，我们为您准备了钜惠礼包，助您步步领先~,0
101015,1,1,0,0,1,15,41,1,111140,1,0,53,7200,恭喜通关11-40，我们为您准备了钜惠礼包，助您步步领先~,0
101016,1,1,0,0,1,16,41,1,111220,1,0,54,7200,恭喜通关12-20，我们为您准备了钜惠礼包，助您步步领先~,0
101017,1,1,0,0,1,17,41,1,111240,1,0,55,7200,恭喜通关12-40，我们为您准备了钜惠礼包，助您步步领先~,0
101018,1,1,0,0,1,18,41,1,111320,1,0,56,7200,恭喜通关13-20，我们为您准备了钜惠礼包，助您步步领先~,0
101019,1,1,0,0,1,19,41,1,111340,1,0,57,7200,恭喜通关13-40，我们为您准备了钜惠礼包，助您步步领先~,0
101020,1,1,0,0,1,20,41,1,111420,1,0,58,7200,恭喜通关14-20，我们为您准备了钜惠礼包，助您步步领先~,0
101021,1,1,0,0,1,21,41,1,111440,1,0,59,7200,恭喜通关14-40，我们为您准备了钜惠礼包，助您步步领先~,0
101022,1,1,0,0,1,22,41,1,111520,1,0,60,7200,恭喜通关15-20，我们为您准备了钜惠礼包，助您步步领先~,0
101023,1,1,0,0,1,23,41,1,111540,1,0,61,7200,恭喜通关15-40，我们为您准备了钜惠礼包，助您步步领先~,0
101024,1,1,0,0,1,24,41,1,111620,1,0,62,7200,恭喜通关16-20，我们为您准备了钜惠礼包，助您步步领先~,0
101025,1,1,0,0,1,25,41,1,111640,1,0,63,7200,恭喜通关16-40，我们为您准备了钜惠礼包，助您步步领先~,0
101026,1,1,0,0,1,26,41,1,111720,1,0,64,7200,恭喜通关17-20，我们为您准备了钜惠礼包，助您步步领先~,0
101027,1,1,0,0,1,27,41,1,111740,1,0,65,7200,恭喜通关17-40，我们为您准备了钜惠礼包，助您步步领先~,0
101028,1,1,0,0,1,28,41,1,111820,1,0,66,7200,恭喜通关18-20，我们为您准备了钜惠礼包，助您步步领先~,0
101029,1,1,0,0,1,29,41,1,111840,1,0,67,7200,恭喜通关18-40，我们为您准备了钜惠礼包，助您步步领先~,0
101030,1,1,0,0,1,30,41,1,111920,1,0,68,7200,恭喜通关19-20，我们为您准备了钜惠礼包，助您步步领先~,0
101031,1,1,0,0,1,31,41,1,111940,1,0,69,7200,恭喜通关19-40，我们为您准备了钜惠礼包，助您步步领先~,0
101032,1,1,0,0,1,32,41,1,112030,1,0,70,7200,恭喜通关20-30，我们为您准备了钜惠礼包，助您步步领先~,0
101033,1,1,0,0,1,33,41,1,112060,1,0,71,7200,恭喜通关20-60，我们为您准备了钜惠礼包，助您步步领先~,0
101034,1,1,0,0,1,34,41,1,110108,1,0,145,7200,恭喜通关1-8，我们为您准备了钜惠礼包，助您步步领先~,0
101035,1,1,0,0,1,35,41,1,110212,1,0,146,7200,恭喜通关2-12，我们为您准备了钜惠礼包，助您步步领先~,0
101036,1,1,0,0,1,36,41,1,110308,1,0,147,7200,恭喜通关3-8，我们为您准备了钜惠礼包，助您步步领先~,0
102001,1,1,0,0,2,1,81,50,0,0,0,95,7200,恭喜通过试炼之塔50层，我们为您准备了超值礼包，帮助您快速通关~,0
102002,1,1,0,0,2,2,81,100,0,0,0,96,7200,恭喜通过试炼之塔100层，我们为您准备了超值礼包，帮助您快速通关~,0
102003,1,1,0,0,2,3,81,150,0,0,0,97,7200,恭喜通过试炼之塔150层，我们为您准备了超值礼包，帮助您快速通关~,0
102004,1,1,0,0,2,4,81,200,0,0,0,98,7200,恭喜通过试炼之塔200层，我们为您准备了超值礼包，帮助您快速通关~,0
102005,1,1,0,0,2,5,81,250,0,0,0,99,7200,恭喜通过试炼之塔250层，我们为您准备了超值礼包，帮助您快速通关~,0
102006,1,1,0,0,2,6,81,300,0,0,0,100,7200,恭喜通过试炼之塔300层，我们为您准备了超值礼包，帮助您快速通关~,0
102007,1,1,0,0,2,7,81,350,0,0,0,101,7200,恭喜通过试炼之塔350层，我们为您准备了超值礼包，帮助您快速通关~,0
102008,1,1,0,0,2,8,81,400,0,0,0,102,7200,恭喜通过试炼之塔400层，我们为您准备了超值礼包，帮助您快速通关~,0
102009,2,1,0,0,2,9,81,20,0,0,0,148,7200,恭喜通过试炼之塔20层，我们为您准备了超值礼包，帮助您快速通关~,0
103001,1,1,0,0,3,1,84,30,1,0,0,103,7200,恭喜通过怒涛神殿30层，我们为您准备了超值礼包，帮助您快速通关~,0
