group,cost1,num1,cost2,num2,cost_item1,cost_num1,cost_item2,cost_num2,cost_item3,cost_num3,cost_item4,cost_num4,cost_item5,cost_num5,cost_item6,cost_num6
1,91000031,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,91000031,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,91000031,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,91000031,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,91000031,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,91000031,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,91000031,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,91000031,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,91000031,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,91000031,3500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,91000031,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,91000031,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,91000031,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,91000031,5500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,91000031,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,91000031,6500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,91000031,7000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,91000031,7500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,91000031,8000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
