num,star_min,star_max,fight_min,fight_max,lv_min,lv_max
1,1,1,0,4000,10,20
2,1,1,4000,5000,20,30
3,1,1,5000,6000,30,40
4,1,1,6000,7000,40,50
5,1,1,7000,8000,50,60
6,1,1,8000,9000,60,70
7,1,1,9000,10000,70,80
8,1,1,10000,11000,80,90
9,1,1,11000,12000,90,100
10,1,1,12000,13000,100,110
11,1,1,13000,14000,110,120
12,1,1,14000,15000,120,130
13,1,1,15000,16000,130,140
14,1,1,16000,17000,140,150
15,2,3,0,4000,10,20
16,2,3,4000,5000,20,30
17,2,3,5000,6000,30,40
18,2,3,6000,7000,40,50
19,2,3,7000,8000,50,60
20,2,3,8000,9000,60,70
21,2,3,9000,10000,70,80
22,2,3,10000,11000,80,90
23,2,3,11000,12000,90,100
24,2,3,12000,13000,100,110
25,2,3,13000,14000,110,120
26,2,3,14000,15000,120,130
27,2,3,15000,16000,130,140
28,2,3,16000,17000,140,150
29,4,5,0,4000,10,20
30,4,5,4000,5000,20,30
31,4,5,5000,6000,30,40
32,4,5,6000,7000,40,50
33,4,5,7000,8000,50,60
34,4,5,8000,9000,60,70
35,4,5,9000,10000,70,80
36,4,5,10000,11000,80,90
37,4,5,11000,12000,90,100
38,4,5,12000,13000,100,110
39,4,5,13000,14000,110,120
40,4,5,14000,15000,120,130
41,4,5,15000,16000,130,140
42,4,5,16000,17000,140,150
43,6,7,0,4000,10,20
44,6,7,4000,5000,20,30
45,6,7,5000,6000,30,40
46,6,7,6000,7000,40,50
47,6,7,7000,8000,50,60
48,6,7,8000,9000,60,70
49,6,7,9000,10000,70,80
50,6,7,10000,11000,80,90
51,6,7,11000,12000,90,100
52,6,7,12000,13000,100,110
53,6,7,13000,14000,110,120
54,6,7,14000,15000,120,130
55,6,7,15000,16000,130,140
56,6,7,16000,17000,140,150
60,8,9,0,4000,10,20
61,8,9,4000,5000,20,30
62,8,9,5000,6000,30,40
63,8,9,6000,7000,40,50
64,8,9,7000,8000,50,60
65,8,9,8000,9000,60,70
66,8,9,9000,10000,70,80
67,8,9,10000,11000,80,90
68,8,9,11000,12000,90,100
69,8,9,12000,13000,100,110
70,8,9,13000,14000,110,120
71,8,9,14000,15000,120,130
72,8,9,15000,16000,130,140
73,8,9,16000,17000,140,150
78,10,15,0,4000,10,20
79,10,15,4000,5000,20,30
80,10,15,5000,6000,30,40
81,10,15,6000,7000,40,50
82,10,15,7000,8000,50,60
83,10,15,8000,9000,60,70
84,10,15,9000,10000,70,80
85,10,15,10000,11000,80,90
86,10,15,11000,12000,90,100
87,10,15,12000,13000,100,110
88,10,15,13000,14000,110,120
89,10,15,14000,15000,120,130
90,10,15,15000,16000,130,140
91,10,15,16000,17000,140,150
