id,label,type,column_group,protect_id1,condition1,protect_id2,condition2,protect_id3,condition3,protect_id4,condition4,protect_id5,condition5,science_group,name,icon,attribute_show,attributetype_show,back_picture,icon_r,icon_g,icon_b
1,1,1,1,0,0,0,0,0,0,0,0,0,0,112,生命之树,keji_hldj.png,6,生命总量,pj_keji_yxwd_02.png,171,209,255
2,1,1,2,1,1,0,0,0,0,0,0,0,0,121,冶炼术,keji_wlgj.png,7,物理攻击,pj_keji_yxwd_02.png,171,209,255
3,1,1,2,1,1,0,0,0,0,0,0,0,0,122,智慧术,keji_mfgj.png,9,魔法攻击,pj_keji_yxwd_02.png,171,209,255
4,1,1,2,1,1,0,0,0,0,0,0,0,0,123,预言术,keji_mfbl.png,62,神圣攻击,pj_keji_yxwd_02.png,171,209,255
5,1,1,3,2,1,0,0,0,0,0,0,0,0,131,锻造术,keji_wlfy.png,8,物理防御,pj_keji_yxwd_02.png,171,209,255
6,1,1,3,3,1,0,0,0,0,0,0,0,0,132,神秘术,keji_mffy.png,10,魔法防御,pj_keji_yxwd_02.png,171,209,255
7,1,1,3,4,1,0,0,0,0,0,0,0,0,133,钝化术,keji_mfdk.png,63,神圣防御,pj_keji_yxwd_02.png,171,209,255
8,2,1,1,0,0,0,0,0,0,0,0,0,0,212,生命之树,keji_hldj.png,6,生命总量,pj_keji_yxwd_02.png,171,209,255
9,2,1,2,8,1,0,0,0,0,0,0,0,0,221,冶炼术,keji_wlgj.png,7,物理攻击,pj_keji_yxwd_02.png,171,209,255
10,2,1,2,8,1,0,0,0,0,0,0,0,0,222,智慧术,keji_mfgj.png,9,魔法攻击,pj_keji_yxwd_02.png,171,209,255
11,2,1,2,8,1,0,0,0,0,0,0,0,0,223,预言术,keji_mfbl.png,62,神圣攻击,pj_keji_yxwd_02.png,171,209,255
12,2,1,3,9,1,0,0,0,0,0,0,0,0,231,锻造术,keji_wlfy.png,8,物理防御,pj_keji_yxwd_02.png,171,209,255
13,2,1,3,10,1,0,0,0,0,0,0,0,0,232,神秘术,keji_mffy.png,10,魔法防御,pj_keji_yxwd_02.png,171,209,255
14,2,1,3,11,1,0,0,0,0,0,0,0,0,233,钝化术,keji_mfdk.png,63,神圣防御,pj_keji_yxwd_02.png,171,209,255
15,3,1,1,0,0,0,0,0,0,0,0,0,0,312,生命之树,keji_hldj.png,6,生命总量,pj_keji_yxwd_02.png,171,209,255
16,3,1,2,15,1,0,0,0,0,0,0,0,0,321,冶炼术,keji_wlgj.png,7,物理攻击,pj_keji_yxwd_02.png,171,209,255
17,3,1,2,15,1,0,0,0,0,0,0,0,0,322,智慧术,keji_mfgj.png,9,魔法攻击,pj_keji_yxwd_02.png,171,209,255
18,3,1,2,15,1,0,0,0,0,0,0,0,0,323,预言术,keji_mfbl.png,62,神圣攻击,pj_keji_yxwd_02.png,171,209,255
19,3,1,3,16,1,0,0,0,0,0,0,0,0,331,锻造术,keji_wlfy.png,8,物理防御,pj_keji_yxwd_02.png,171,209,255
20,3,1,3,17,1,0,0,0,0,0,0,0,0,332,神秘术,keji_mffy.png,10,魔法防御,pj_keji_yxwd_02.png,171,209,255
21,3,1,3,18,1,0,0,0,0,0,0,0,0,333,钝化术,keji_mfdk.png,63,神圣防御,pj_keji_yxwd_02.png,171,209,255
22,3,1,4,19,25,20,25,21,25,0,0,0,0,342,生命之泉,keji_hldj2.png,106,生命总量属性百分比,pj_keji_yxwd_02.png,171,209,255
23,3,1,5,22,3,0,0,0,0,0,0,0,0,351,武器保养,keji_wlgj2.png,107,物理攻击属性百分比,pj_keji_yxwd_02.png,171,209,255
24,3,1,5,22,3,0,0,0,0,0,0,0,0,352,魔网增幅,keji_mfgj2.png,109,魔法攻击属性百分比,pj_keji_yxwd_02.png,171,209,255
25,3,1,5,22,3,0,0,0,0,0,0,0,0,353,心灵控制,keji_ssgj2.png,162,神圣攻击属性百分比,pj_keji_yxwd_02.png,171,209,255
26,3,1,6,23,3,0,0,0,0,0,0,0,0,361,盔甲保养,keji_wlfy2.png,108,物理防御属性百分比,pj_keji_yxwd_02.png,171,209,255
27,3,1,6,24,3,0,0,0,0,0,0,0,0,362,魔法屏障,keji_mffy2.png,110,魔法防御属性百分比,pj_keji_yxwd_02.png,171,209,255
28,3,1,6,25,3,0,0,0,0,0,0,0,0,363,心灵锁闭,keji_ssfy2.png,163,神圣防御属性百分比,pj_keji_yxwd_02.png,171,209,255
29,4,1,1,0,0,0,0,0,0,0,0,0,0,412,生命之树,keji_hldj.png,6,生命总量,pj_keji_yxwd_02.png,171,209,255
30,4,1,2,29,1,0,0,0,0,0,0,0,0,421,冶炼术,keji_wlgj.png,7,物理攻击,pj_keji_yxwd_02.png,171,209,255
31,4,1,2,29,1,0,0,0,0,0,0,0,0,422,智慧术,keji_mfgj.png,9,魔法攻击,pj_keji_yxwd_02.png,171,209,255
32,4,1,2,29,1,0,0,0,0,0,0,0,0,423,预言术,keji_mfbl.png,62,神圣攻击,pj_keji_yxwd_02.png,171,209,255
