id,min,max,item1,num1,item2,num2
1,0,50,91000002,5000,0,0
2,51,70,91000002,5500,0,0
3,71,100,91000002,6000,0,0
4,101,140,91000002,6500,0,0
5,141,190,91000002,7000,0,0
6,191,250,91000002,7500,0,0
7,251,320,91000002,8000,0,0
8,321,400,91000002,8500,0,0
9,401,490,91000002,9000,0,0
10,491,590,91000002,9500,0,0
11,591,700,91000002,10000,0,0
12,701,820,91000002,10500,0,0
13,821,950,91000002,11000,0,0
14,951,1090,91000002,11500,0,0
15,1091,1240,91000002,12000,0,0
16,1241,1400,91000002,12500,0,0
17,1401,1570,91000002,13000,0,0
18,1571,1750,91000002,13500,0,0
19,1751,1940,91000002,14000,0,0
20,1941,2140,91000002,14500,0,0
21,2141,2350,91000002,15000,0,0
22,2351,2570,91000002,15500,0,0
23,2571,2800,91000002,16000,0,0
24,2801,3040,91000002,16500,0,0
25,3041,3290,91000002,17000,0,0
26,3291,3550,91000002,17500,0,0
27,3551,3820,91000002,18000,0,0
28,3821,4100,91000002,18500,0,0
29,4101,4390,91000002,19000,0,0
30,4391,4690,91000002,19500,0,0
31,4691,5000,91000002,20000,0,0
