id,type,awardid,rank1,rank2,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,item6,num6
1,1,1,1,1,91000007,500,0,0,0,0,0,0,0,0,0,0
2,1,2,2,2,91000007,450,0,0,0,0,0,0,0,0,0,0
3,1,3,3,3,91000007,400,0,0,0,0,0,0,0,0,0,0
4,1,4,4,10,91000007,360,0,0,0,0,0,0,0,0,0,0
5,1,5,11,100,91000007,320,0,0,0,0,0,0,0,0,0,0
6,1,6,101,500,91000007,260,0,0,0,0,0,0,0,0,0,0
7,1,7,501,5000,91000007,200,0,0,0,0,0,0,0,0,0,0
17,2,1,2,0,91000001,10000,0,0,0,0,0,0,0,0,0,0
18,2,2,4,0,91000001,15000,91000007,50,0,0,0,0,0,0,0,0
19,2,3,6,0,91000001,20000,0,0,0,0,0,0,0,0,0,0
20,2,4,8,0,91000001,25000,91000007,60,0,0,0,0,0,0,0,0
21,2,5,10,0,91000001,30000,0,0,0,0,0,0,0,0,0,0
22,2,6,12,0,91000001,10000,91000007,80,0,0,0,0,0,0,0,0
23,2,7,14,0,91000001,15000,0,0,0,0,0,0,0,0,0,0
24,2,8,16,0,91000001,20000,91000007,100,0,0,0,0,0,0,0,0
25,2,9,18,0,91000001,25000,0,0,0,0,0,0,0,0,0,0
26,2,10,20,0,91000001,30000,91000007,150,0,0,0,0,0,0,0,0
27,3,1,1,0,91000002,100000,91000007,500,0,0,0,0,0,0,0,0
28,3,2,3,0,91000002,60000,91000007,400,0,0,0,0,0,0,0,0
29,3,3,10,0,91000002,50000,91000007,300,0,0,0,0,0,0,0,0
30,3,4,20,0,91000002,40000,91000007,260,0,0,0,0,0,0,0,0
31,3,5,30,0,91000002,30000,91000007,240,0,0,0,0,0,0,0,0
32,3,6,50,0,91000002,32000,91000007,220,0,0,0,0,0,0,0,0
33,3,7,100,0,91000002,30000,91000007,200,0,0,0,0,0,0,0,0
34,3,8,200,0,91000002,28000,91000007,180,0,0,0,0,0,0,0,0
35,3,9,300,0,91000002,26000,91000007,160,0,0,0,0,0,0,0,0
36,3,10,500,0,91000002,24000,91000007,140,0,0,0,0,0,0,0,0
37,3,11,800,0,91000002,22000,91000007,120,0,0,0,0,0,0,0,0
38,3,12,1000,0,91000002,20000,91000007,100,0,0,0,0,0,0,0,0
39,3,13,2000,0,91000002,18000,91000007,80,0,0,0,0,0,0,0,0
40,3,14,3000,0,91000002,16000,91000007,70,0,0,0,0,0,0,0,0
41,3,15,5000,0,91000002,14000,91000007,60,0,0,0,0,0,0,0,0
42,3,16,8000,0,91000002,12000,91000007,50,0,0,0,0,0,0,0,0
43,3,17,10000,0,91000002,10000,91000007,40,0,0,0,0,0,0,0,0
44,3,18,20000,0,91000002,8000,91000007,30,0,0,0,0,0,0,0,0
45,3,19,30000,0,91000002,6000,91000007,20,0,0,0,0,0,0,0,0
