id,Resources,body,type,dynamic_type,dynamic_Resources,dynamic_num,hero_spine,timetype,timevalue,open,condition,judge,item,name,dec,sort
1002,clord1002,blord1002,1,0,0,0,alord1001,0,0,0,0,0,0,初始男头像,创建男角色时赠送,101
1003,clord1003,blord1003,1,0,0,0,alord1002,0,0,0,0,0,0,初始女头像,创建女角色时赠送,102
10001001,hero1001,0,1,0,0,0,1001,0,0,1,1001,0,0,天命骑士,获得英雄天命骑士,103
10001002,hero1002,0,1,0,0,0,1002,0,0,1,1002,0,0,水占巫女,获得英雄水占巫女,104
10001003,hero1003,0,1,0,0,0,1003,0,0,1,1003,0,0,秘银狩猎,获得英雄秘银狩猎,105
10001004,hero1004,0,1,0,0,0,1004,0,0,1,1004,0,0,漫游之星,获得英雄漫游之星,106
10001005,hero1005,0,1,0,0,0,1005,0,0,1,1005,0,0,不落之壁,获得英雄不落之壁,107
10001006,hero1006,0,1,0,0,0,1006,0,0,1,1006,0,0,贵族之刃,获得英雄贵族之刃,108
10001007,hero1007,0,1,0,0,0,1007,0,0,1,1007,0,0,怒涛守护,获得英雄怒涛守护,109
10001008,hero1008,0,1,0,0,0,1008,0,0,1,1008,0,0,神谕信使,获得英雄神谕信使,110
10001009,hero1009,0,1,0,0,0,1009,0,0,1,1009,0,0,元素魔弓,获得英雄元素魔弓,111
10001010,hero1010,0,1,0,0,0,1010,0,0,1,1010,0,0,奇想学徒,获得英雄奇想学徒,112
10001011,hero1011,0,1,0,0,0,1011,0,0,1,1011,0,0,诸海之灾,获得英雄诸海之灾,113
10001012,hero1012,0,1,0,0,0,1012,0,0,1,1012,0,0,北境之锤,获得英雄北境之锤,114
10001013,hero1013,0,1,0,0,0,1013,0,0,1,1013,0,0,凯旋之歌,获得英雄凯旋之歌,115
10001014,hero1014,0,1,0,0,0,1014,0,0,1,1014,0,0,狩魔鹰眼,获得英雄狩魔鹰眼,116
10001015,hero1015,0,1,0,0,0,1015,0,0,1,1015,0,0,魔导女爵,获得英雄魔导女爵,117
10001016,hero1016,0,1,0,0,0,1016,0,0,1,1016,0,0,怒涛修士,获得英雄怒涛修士,118
10001017,hero1017,0,1,0,0,0,1017,0,0,1,1017,0,0,怒涛护卫,获得英雄怒涛护卫,119
10001018,hero1018,0,1,0,0,0,1018,0,0,1,1018,0,0,武圣,获得英雄武圣,120
