id,activity_type,group,rankhigh,ranklow,item1,num1,item2,num2,item3,num3,item4,num4
1,1732,1,1,1,91000002,10000,0,0,0,0,0,0
2,1732,1,2,2,91000002,9500,0,0,0,0,0,0
3,1732,1,3,3,91000002,9000,0,0,0,0,0,0
4,1732,1,4,4,91000002,8500,0,0,0,0,0,0
5,1732,1,5,5,91000002,8000,0,0,0,0,0,0
6,1732,1,6,6,91000002,7500,0,0,0,0,0,0
7,1732,1,7,7,91000002,7000,0,0,0,0,0,0
8,1732,1,8,8,91000002,6500,0,0,0,0,0,0
9,1732,1,9,9,91000002,6000,0,0,0,0,0,0
10,1732,1,10,10,91000002,5500,0,0,0,0,0,0
11,1732,1,11,50,91000002,5000,0,0,0,0,0,0
12,1732,1,51,500,91000002,4500,0,0,0,0,0,0
