id,sort,mode,modetype,type,name,backicon,nameicon,dec,step,txt,tasktypes,n1,n2,n3,n4,item1,num1,item2,num2,item3,num3,item4,num4,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,costitem4,costnum4,start,continued,cd,show,renovate,reset,status,button,buttontype,refresh,refresh_max,label,effect_show
100101,999,0,0,1001,成长礼包,btn_libao_07,0,购买后通关指定主线章节，可获得大量钻石奖励。,0,0,201,1,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,691200,0,0,0,0,1,10,0,0,0,0,0
100201,1,1,1,1002,日礼包,btn_libao_01,bg_libao_01,日礼包,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,1,1,1,1,1,0,0,0,0
100301,2,1,1,1003,周礼包,btn_libao_02,bg_libao_02,月礼包,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,1,1,1,1,1,0,0,0,0
100401,3,1,1,1004,月礼包,btn_libao_03,bg_libao_03,周礼包,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,1,1,1,1,1,0,0,0,0
100501,30,0,0,1005,领主通行证,btn_sjs_01,0,骑士功勋可以从每日任务和每周任务宝箱获得,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,4233600,0,0,1,1,1,10,4,0,0,0,0
100601,35,0,0,1006,冒险通行证,btn_sjs_02,0,前往异界迷宫击败魔王即可获得勇者之证,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3801600,0,0,1,1,1,10,4,0,0,0,0
100801,20,1,2,1008,新手礼包,btn_libao_05,bg_libao_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,1,0,1,10,0,0,0,0,0
100901,1,0,0,1009,月卡,btn_yueka_01,0,0,1,普通月卡,50,1,101,0,0,91000002,150,91000059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0
100902,2,0,0,1009,月卡,btn_yueka_01,0,0,2,超级月卡,50,1,102,0,0,91000002,800,91000059,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0
101001,4,0,0,1010,钻石礼包,btn_libao_04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0
