order,id,lv,star,base_value1,base_value2,base_value3,base_value4,base_value5,strengthenneed,strengthennum,replace,skillid,back_item1,back_num1,back_item2,back_num2,back_item3,back_num3
1,101001,1,4,87,0,48,0,60000,40000003,30,0,92100101,40000003,30,40000004,0,40000007,0
2,101001,2,4,174,0,96,0,120000,40000003,30,0,92100101,40000003,60,40000004,0,40000007,0
3,101001,3,4,261,0,145,0,180000,40000003,30,0,92100101,40000003,90,40000004,0,40000007,0
4,101001,4,4,348,0,193,0,240000,40000003,30,0,92100101,40000003,120,40000004,0,40000007,0
5,101001,5,5,435,0,241,0,300000,40000003,45,0,92100101,40000003,165,40000004,0,40000007,0
6,101001,6,5,522,0,290,0,360000,40000003,60,0,92100101,40000003,225,40000004,0,40000007,0
7,101001,7,5,609,0,338,0,420000,40000003,60,0,92100101,40000003,285,40000004,0,40000007,0
8,101001,8,5,696,0,387,0,480000,40000003,75,0,92100101,40000003,360,40000004,0,40000007,0
9,101001,9,5,783,0,435,0,540000,40000003,90,0,92100101,40000003,450,40000004,0,40000007,0
10,101001,10,6,870,0,483,0,600000,40000003,150,0,92100102,40000003,600,40000004,0,40000007,0
11,101001,11,6,958,0,532,0,660000,40000004,30,0,92100102,40000003,600,40000004,30,40000007,0
12,101001,12,6,1045,0,580,0,720000,40000004,30,0,92100102,40000003,600,40000004,60,40000007,0
13,101001,13,6,1132,0,629,0,780000,40000004,45,0,92100102,40000003,600,40000004,105,40000007,0
14,101001,14,6,1219,0,677,0,840000,40000004,45,0,92100102,40000003,600,40000004,150,40000007,0
15,101001,15,7,1306,20,725,0,900000,40000004,60,0,92100102,40000003,600,40000004,210,40000007,0
16,101001,16,7,1393,20,774,0,960000,40000004,75,0,92100102,40000003,600,40000004,285,40000007,0
17,101001,17,7,1480,20,822,0,1020000,40000004,75,0,92100102,40000003,600,40000004,360,40000007,0
18,101001,18,7,1567,20,870,0,1080000,40000004,90,0,92100102,40000003,600,40000004,450,40000007,0
19,101001,19,7,1654,20,919,0,1140000,40000004,120,0,92100102,40000003,600,40000004,570,40000007,0
20,101001,20,8,1741,20,967,0,1200000,40000004,150,0,92100103,40000003,600,40000004,720,40000007,0
21,101001,21,8,1829,20,1016,0,1260000,40000007,30,30020008,92100103,40000003,600,40000004,720,40000007,30
22,101001,22,8,1916,20,1064,0,1320000,40000007,60,30020008,92100103,40000003,600,40000004,720,40000007,90
23,101001,23,8,2003,20,1112,0,1380000,40000007,60,30020008,92100103,40000003,600,40000004,720,40000007,150
24,101001,24,8,2090,20,1161,0,1440000,40000007,60,30020008,92100103,40000003,600,40000004,720,40000007,210
25,101001,25,9,2177,20,1209,0,1500000,40000007,90,30020008,92100103,40000003,600,40000004,720,40000007,300
