id,type,row,rcolor,gcolor,bcolor,fontsize,instruction
1,1,2,40,30,10,20,1.可以花费钻石对英雄进行重塑，获得消耗过的资源。
2,1,3,40,30,10,20,2.重塑完成后，英雄重塑为初始等级，且这些英雄身上的装备，培养他们消耗的金币，经验和魔粉也会返还。
3,2,2,40,30,10,20,1.可以对普通品质的英雄进行遣退，神话及史诗品质的英雄可通过黎明教堂来进化。
4,2,3,40,30,10,20,2.英雄被遣退后，被遣退的英雄将会消失，但是这些英雄身上的装备，培养他们消耗的金币，经验和魔粉也会返还
5,3,2,40,30,10,20,1.拥有两个及以上相同且品阶高于精英+的神话级英雄，解锁此功能，其中品阶较低的那个英雄可被降阶。
6,3,3,40,30,10,20,2.降阶史诗及以上品阶的英雄将返还同名的精英+品质英雄与大量升阶时消耗的同阵营稀有品质英雄卡。
7,3,4,40,30,10,20,3.最高品质为史诗级的英雄无法被降阶。
8,4,1,255,255,240,20,重塑英雄将返还初始英雄和全部培养资源。
9,5,1,255,255,240,20,1.遣退英雄将返还大量遣退币和全部培养资源。
10,5,2,255,255,240,20,2.只有普通品质的英雄才可遣退，其他品质可通过黎明教堂来进化
11,6,1,255,255,240,20,拥有两个及以上相同且品阶高于精英+的神话级英雄，解锁此功能，其中品阶较低的那个英雄可被降阶。
12,7,2,40,30,10,20,1.英雄列表中等级最高的5名英雄会自动成为命运核心。
13,7,3,40,30,10,20,2.进入法阵空位的英雄将会提升至命运核心中的最低等级，但会受到其最高品质的等级限制（普通英雄100级、史诗英雄160级、神话英雄240级）。
14,7,4,40,30,10,20,3.放入法阵空位的英雄在法阵时暂时无法升级，需离开法阵后才可以升级。
15,7,5,40,30,10,20,4.当英雄离开法阵空位时，法阵空位会进入24小时的冷却时间，冷却时间完毕后可以重新放入英雄，可以通过花费钻石立即清除法阵空位冷却
16,7,6,40,30,10,20,5.英雄因升阶和遣退离开法阵空位时，法阵空位不会进入冷却时间。法阵空位中的英雄成为命运核心时也会离开法阵空位，此时也不进入冷却时间。
17,8,1,40,30,10,20,1.各个排行榜均有不同阶段奖励任务，并会显示出本服排名前50位玩家的任务进度
18,8,2,40,30,10,20,2.本服首位达成任务进度的玩家名称和头像，会显示在排行榜主界面及奖励界面，前5名达成的玩家则显示在日志中
19,8,3,40,30,10,20,3.当本服出现首位达成任务进度的玩家后，本服所有玩家都会获得奖励。
20,8,4,40,30,10,20,4.在阵营积分排行榜中，阵营积分由玩家所拥有英雄的品质决定，英雄的品质越高，对应的阵营积分越多，同一名英雄不重复计算，只计算最高品质
