id,level,passid,name,Button_modle,islock,icon,storyid,index,arisetype,fly_x,fly_y,move_button_id,inclination,text,story_id,introduction_storyid
1,1,0,日常任务,兼顾任务按钮开启,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,日常任务,0,0
2,1,0,周长任务,0,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,周长任务,0,0
3,1,0,主线任务,0,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,主线任务,0,0
4,1,110228,竞技场,兼顾竞技场建筑开启,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,竞技场,0,0
5,1,110920,高阶竞技场,0,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,高阶竞技场,0,0
6,1,110228,巅峰竞技场,0,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,巅峰竞技场,0,0
7,1,0,英雄,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,英雄,0,0
8,1,110112,大圣堂,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,大圣堂,0,0
9,1,110216,图书馆,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,图书馆,0,0
10,1,0,巨兽,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,巨兽,0,0
11,1,110220,公会,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,公会,0,0
12,1,0,商铺【没用】,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,商铺,0,0
13,1,0,召唤,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,召唤,0,0
14,1,0,背包,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,背包,0,0
15,1,110436,共鸣水晶,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,共鸣水晶,0,0
16,1,0,冒险,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,冒险,0,0
17,1,110412,地牢,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,地牢,0,0
18,1,0,战役,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,战役,0,0
19,1,0,邮件,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,邮件,0,0
20,1,0,好友,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,好友,0,0
21,1,110336,丰碑,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,丰碑,0,0
22,1,0,活动,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,活动,0,0
23,1,0,福利,主界面按钮,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,福利,0,0
