id,type,subsection,class,txt,item1,num1,item2,num2,item3,num3,item4,num4
1,1,1,0,0,13000002,150,51010004,1,0,0,0,0
2,1,2,0,0,13000002,120,51010005,1,0,0,0,0
3,1,3,0,0,13000002,90,51010006,1,0,0,0,0
4,1,4,0,0,13000002,60,0,0,0,0,0,0
5,1,5,0,0,13000001,360,0,0,0,0,0,0
6,1,6,0,0,13000001,180,0,0,0,0,0,0
7,2,1,1,第 1 名,30020008,100,51010001,1,0,0,0,0
8,2,1,2,第 2 名,30020008,85,51010002,1,0,0,0,0
9,2,1,3,第 3 名,30020008,75,51010003,1,0,0,0,0
10,2,1,4,第 4 名,40000004,90,0,0,0,0,0,0
11,2,1,5,第 5 名,40000004,85,0,0,0,0,0,0
12,2,1,6,第 6 名,40000004,80,0,0,0,0,0,0
13,2,1,7,第 7 名,40000004,75,0,0,0,0,0,0
14,2,1,8,第 8 名,40000004,70,0,0,0,0,0,0
15,2,1,9,第 9 名,40000004,65,0,0,0,0,0,0
16,2,1,10,第 10 名,40000003,100,0,0,0,0,0,0
17,2,1,11,第 11 名,40000003,95,0,0,0,0,0,0
18,2,1,12,第 12 名,40000003,90,0,0,0,0,0,0
19,2,1,13,第 13 名,40000003,85,0,0,0,0,0,0
20,2,1,14,第 14 名,40000003,80,0,0,0,0,0,0
21,2,1,15,第 15 名,40000003,75,0,0,0,0,0,0
22,2,1,16,第 16 名,40000003,70,0,0,0,0,0,0
23,2,1,17,第 17 名,40000003,65,0,0,0,0,0,0
24,2,1,18,第 18 名,40000003,60,0,0,0,0,0,0
25,2,1,19,第 19 名,40000003,55,0,0,0,0,0,0
26,2,1,20,第 20 名,40000003,50,0,0,0,0,0,0
