id,x,y,bid
1,6509.5,377,1
2,6731.5,875,2
3,6136.5,823,3
4,6264.5,1328,4
5,5684.5,1185,5
6,5774,470,6
7,7116.5,1183,7
8,7122.5,553,8
9,7776.5,950,9
10,7956.5,407,10
11,8368.5,775,11
12,8758.5,1084,12
13,9047.5,572,13
14,9726.5,687,14
15,9388.5,1051,15
16,9882.5,1395,16
17,9297.5,1495,17
18,8646,1533,18
19,8127.5,1298,19
20,8147.5,1878,20
21,7716.5,1550,21
22,7334.5,1928,22
23,8616.5,2104,23
24,9399.5,1967,24
25,8927.5,2423,25
26,9473.5,2537,26
27,10307.5,1763,27
28,10216,2228,28
29,10011,2796,29
30,9454.5,3052,30
31,8903.5,2917,31
32,8234.5,3046,32
33,8896.5,3366,33
34,9418,3551,34
35,9619.5,3984,35
36,9958.5,3471,36
37,9901.5,4481,37
38,9285,4297,38
39,8963.5,3867,39
40,8284.5,3875,40
41,8723.5,4253,41
42,8169,4404,42
43,8724.5,4705,43
44,7769.5,2145,44
45,8195.5,2473,45
46,7551.5,4695,46
47,8186.5,4867,47
48,8516,5268,48
49,9201.5,5438,49
50,10041,5735,50
51,10718.5,6196,51
52,9943,6337,52
53,9313,6047,53
54,8669.5,5694,54
55,8625.5,6247,55
56,7958.5,5725,56
57,7903.5,5264,57
58,7354.5,5298,58
59,7255,5756,59
60,6792.5,5427,60
61,6218.5,5152,61
62,6783,4950,62
63,6754.5,6098,63
64,6291,5622,64
65,5751,5355,65
66,6079.5,4710,66
67,6684.5,4495,67
68,7168.5,4238,68
69,7731,4014,69
70,7668.5,3458,70
71,7129.5,3714,71
72,6196,4242,72
73,5551.5,4892,73
74,5861,3918,74
75,6603.5,3910,75
76,5595,4390,76
77,6471.5,3468,77
78,5838,3438,78
79,4969.5,4747,79
80,5061,4225,80
81,4813,5218,81
82,4465,4366,82
83,4362.5,4877,83
84,3861.5,5088,84
85,4262.5,5474,85
86,4790.5,5864,86
87,3637,5458,87
88,4097.5,5938,88
89,3586,6150,89
90,2904.5,6168,90
91,3238.5,5751,91
92,2385,5885,92
93,2304.5,5318,93
94,3026.5,5254,94
95,3237.5,4765,95
96,2582,4860,96
97,3809.5,4607,97
98,3754.5,4105,98
99,3092.5,3887,99
100,2837.5,4335,100
101,2214.5,4468,101
102,1648.5,4227,102
103,2399.5,3916,103
104,2492,3377,104
105,1731.5,3558,105
106,1809.5,2940,106
107,2211.5,2498,107
108,2641,2865,108
109,4126,3689,109
110,4731,3608,110
111,3534.5,3538,111
112,3041.5,3248,112
113,4221.5,3205,113
114,3901.5,2700,114
115,3594,3052,115
116,3167.5,2712,116
117,2131,2000,117
118,2644.5,2232,118
119,3309.5,2190,119
120,3649,1817,120
121,3011.5,1741,121
122,4071.5,1413,122
123,3443.5,1347,123
124,3017.5,1078,124
125,2492.5,1303,125
126,2507.5,865,126
127,1896.5,970,127
128,1688,1564,128
129,3951,910,129
130,4552,643,130
131,4501,1118,131
132,5082.5,1147,132
133,5222.5,720,133
134,4224,1885,134
135,4471,2356,135
136,4811.5,2988,136
137,5221,3378,137
138,5426.5,2938,138
139,6128.5,2990,139
140,6851.5,3162,140
141,7413,3040,141
142,6826.5,2635,142
143,7611.5,2598,143
144,6784.5,2153,144
145,6836.5,1663,145
146,6213.5,2498,146
147,6266.5,1775,147
148,5451.5,2448,148
149,5828.5,2105,149
150,5593.5,1706,150
151,5121.5,2058,151
152,4908.5,2581,152
153,4853.5,1656,153
154,1578,2416,154
155,5993,5967,155
156,10220,1033,156
