id,w,h,backdata,mapdata,scenedata,enemyplace,heropoint,pngid,mapdown,mapup
110101,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110101.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110102,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110102.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110103,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110103.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110104,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110104.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110105,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110105.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110201,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110201.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110202,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110202.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110203,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110203.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110204,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110204.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110205,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110205.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110206,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110206.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110207,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110207.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110208,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110208.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110209,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110209.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110210,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110210.csv,heropoint110101.csv,0,ditu3.png,dingtu1.png
110301,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110301.csv,heropoint110101.csv,0,ditu5.png,dingtu1.png
110302,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110302.csv,heropoint110101.csv,0,ditu5.png,dingtu1.png
110303,880,660,back1001a.bgr,mapdata1001a.map,scenedata1001a.csv,enemyplace110303.csv,heropoint110101.csv,0,ditu5.png,dingtu1.png
