n4,id,value1,cost1,costitem1,value2,cost2,costitem2,value3,cost3,costitem3
1,1,45,30,1,45,30,1,10,30,1
1,2,45,30,1,45,30,1,10,30,1
1,3,10,30,1,5,30,1,80,30,1
2,1,45,30,1,45,30,1,10,30,1
2,2,45,30,1,45,30,1,10,30,1
2,3,10,30,1,5,30,1,80,30,1
3,1,45,30,1,45,30,1,10,30,1
3,2,45,30,1,45,30,1,10,30,1
3,3,10,30,1,5,30,1,80,30,1
4,1,45,30,1,45,30,1,10,30,1
4,2,45,30,1,45,30,1,10,30,1
4,3,10,30,1,5,30,1,80,30,1
5,1,45,30,1,45,30,1,10,30,1
5,2,45,30,1,45,30,1,10,30,1
5,3,10,30,1,5,30,1,80,30,1
6,1,45,30,1,45,30,1,10,30,1
6,2,45,30,1,45,30,1,10,30,1
6,3,10,30,1,5,30,1,80,30,1
7,1,45,30,1,45,30,1,10,30,1
7,2,45,30,1,45,30,1,10,30,1
7,3,10,30,1,5,30,1,80,30,1
8,1,45,30,1,45,30,1,10,30,1
8,2,45,30,1,45,30,1,10,30,1
8,3,10,30,1,5,30,1,80,30,1
9,1,45,30,1,45,30,1,10,30,1
9,2,45,30,1,45,30,1,10,30,1
9,3,10,30,1,5,30,1,80,30,1
10,1,45,30,1,45,30,1,10,30,1
10,2,45,30,1,45,30,1,10,30,1
10,3,10,30,1,5,30,1,80,30,1
11,1,45,30,1,45,30,1,10,30,1
11,2,45,30,1,45,30,1,10,30,1
11,3,10,30,1,5,30,1,80,30,1
12,1,45,30,1,45,30,1,10,30,1
12,2,45,30,1,45,30,1,10,30,1
12,3,10,30,1,5,30,1,80,30,1
13,1,45,30,1,45,30,1,10,30,1
13,2,45,30,1,45,30,1,10,30,1
13,3,10,30,1,5,30,1,80,30,1
14,1,45,30,1,45,30,1,10,30,1
14,2,45,30,1,45,30,1,10,30,1
14,3,10,30,1,5,30,1,80,30,1
15,1,45,30,1,45,30,1,10,30,1
15,2,45,30,1,45,30,1,10,30,1
15,3,10,30,1,5,30,1,80,30,1
16,1,45,30,1,45,30,1,10,30,1
16,2,45,30,1,45,30,1,10,30,1
16,3,10,30,1,5,30,1,80,30,1
17,1,45,30,1,45,30,1,10,30,1
17,2,45,30,1,45,30,1,10,30,1
17,3,10,30,1,5,30,1,80,30,1
18,1,45,30,1,45,30,1,10,30,1
18,2,45,30,1,45,30,1,10,30,1
18,3,10,30,1,5,30,1,80,30,1
