id,item1,num1,item2,num2,item3,num3,item4,num4
100001,11400201,1,0,0,0,0,0,0
100002,11400601,1,0,0,0,0,0,0
100003,11101001,1,0,0,0,0,0,0
100004,12400701,30,91000001,50000,0,0,0,0
100005,11300101,1,91000001,10000,0,0,0,0
100006,12400801,30,70000001,10,91000001,30000,0,0
100007,76000003,5,70000001,10,91000001,30000,0,0
100008,91000002,10000,91000001,50000,0,0,0,0
100009,12100201,2,23000001,10,78000102,10,0,0
100010,12100201,2,23000001,10,78000103,10,0,0
200001,11100101,3,0,0,0,0,0,0
200002,11100101,2,0,0,0,0,0,0
200003,11100101,1,0,0,0,0,0,0
200004,91000002,50000,0,0,0,0,0,0
200005,91000002,45000,0,0,0,0,0,0
200006,91000002,40000,0,0,0,0,0,0
200007,91000002,35000,0,0,0,0,0,0
200008,91000002,30000,0,0,0,0,0,0
200009,91000002,25000,0,0,0,0,0,0
200010,91000002,20000,0,0,0,0,0,0
200011,11200501,3,0,0,0,0,0,0
200012,11200501,2,0,0,0,0,0,0
200013,11200501,1,0,0,0,0,0,0
200014,91000002,50000,0,0,0,0,0,0
200015,91000002,45000,0,0,0,0,0,0
200016,91000002,40000,0,0,0,0,0,0
200017,91000002,35000,0,0,0,0,0,0
200018,91000002,30000,0,0,0,0,0,0
200019,91000002,25000,0,0,0,0,0,0
200020,91000002,20000,0,0,0,0,0,0
200021,11300501,3,0,0,0,0,0,0
200022,11300501,2,0,0,0,0,0,0
200023,11300501,1,0,0,0,0,0,0
200024,91000002,50000,0,0,0,0,0,0
200025,91000002,45000,0,0,0,0,0,0
200026,91000002,40000,0,0,0,0,0,0
200027,91000002,35000,0,0,0,0,0,0
200028,91000002,30000,0,0,0,0,0,0
200029,91000002,25000,0,0,0,0,0,0
200030,91000002,20000,0,0,0,0,0,0
200031,11401001,3,0,0,0,0,0,0
200032,11401001,2,0,0,0,0,0,0
200033,11401001,1,0,0,0,0,0,0
200034,91000002,50000,0,0,0,0,0,0
200035,91000002,45000,0,0,0,0,0,0
200036,91000002,40000,0,0,0,0,0,0
200037,91000002,35000,0,0,0,0,0,0
200038,91000002,30000,0,0,0,0,0,0
200039,91000002,25000,0,0,0,0,0,0
200040,91000002,20000,0,0,0,0,0,0
200041,11100901,3,0,0,0,0,0,0
200042,11100901,2,0,0,0,0,0,0
200043,11100901,1,0,0,0,0,0,0
200044,91000002,50000,0,0,0,0,0,0
200045,91000002,45000,0,0,0,0,0,0
200046,91000002,40000,0,0,0,0,0,0
200047,91000002,35000,0,0,0,0,0,0
200048,91000002,30000,0,0,0,0,0,0
200049,91000002,25000,0,0,0,0,0,0
200050,91000002,20000,0,0,0,0,0,0
200051,11200901,3,0,0,0,0,0,0
200052,11200901,2,0,0,0,0,0,0
200053,11200901,1,0,0,0,0,0,0
200054,91000002,50000,0,0,0,0,0,0
200055,91000002,45000,0,0,0,0,0,0
200056,91000002,40000,0,0,0,0,0,0
200057,91000002,35000,0,0,0,0,0,0
200058,91000002,30000,0,0,0,0,0,0
200059,91000002,25000,0,0,0,0,0,0
200060,91000002,20000,0,0,0,0,0,0
200061,11300601,3,0,0,0,0,0,0
200062,11300601,2,0,0,0,0,0,0
200063,11300601,1,0,0,0,0,0,0
200064,91000002,50000,0,0,0,0,0,0
200065,91000002,45000,0,0,0,0,0,0
200066,91000002,40000,0,0,0,0,0,0
200067,91000002,35000,0,0,0,0,0,0
200068,91000002,30000,0,0,0,0,0,0
200069,91000002,25000,0,0,0,0,0,0
200070,91000002,20000,0,0,0,0,0,0
200071,11100401,3,0,0,0,0,0,0
200072,11100401,2,0,0,0,0,0,0
200073,11100401,1,0,0,0,0,0,0
200074,91000002,50000,0,0,0,0,0,0
200075,91000002,45000,0,0,0,0,0,0
200076,91000002,40000,0,0,0,0,0,0
200077,91000002,35000,0,0,0,0,0,0
200078,91000002,30000,0,0,0,0,0,0
200079,91000002,25000,0,0,0,0,0,0
200080,91000002,20000,0,0,0,0,0,0
200081,11200701,3,0,0,0,0,0,0
200082,11200701,2,0,0,0,0,0,0
200083,11200701,1,0,0,0,0,0,0
200084,91000002,50000,0,0,0,0,0,0
200085,91000002,45000,0,0,0,0,0,0
200086,91000002,40000,0,0,0,0,0,0
200087,91000002,35000,0,0,0,0,0,0
200088,91000002,30000,0,0,0,0,0,0
200089,91000002,25000,0,0,0,0,0,0
200090,91000002,20000,0,0,0,0,0,0
200091,11301001,3,0,0,0,0,0,0
200092,11301001,2,0,0,0,0,0,0
200093,11301001,1,0,0,0,0,0,0
200094,91000002,50000,0,0,0,0,0,0
200095,91000002,45000,0,0,0,0,0,0
200096,91000002,40000,0,0,0,0,0,0
200097,91000002,35000,0,0,0,0,0,0
200098,91000002,30000,0,0,0,0,0,0
200099,91000002,25000,0,0,0,0,0,0
200100,91000002,20000,0,0,0,0,0,0
200101,11100601,3,0,0,0,0,0,0
200102,11100601,2,0,0,0,0,0,0
200103,11100601,1,0,0,0,0,0,0
200104,91000002,50000,0,0,0,0,0,0
200105,91000002,45000,0,0,0,0,0,0
200106,91000002,40000,0,0,0,0,0,0
200107,91000002,35000,0,0,0,0,0,0
200108,91000002,30000,0,0,0,0,0,0
200109,91000002,25000,0,0,0,0,0,0
200110,91000002,20000,0,0,0,0,0,0
200111,11300701,3,0,0,0,0,0,0
200112,11300701,2,0,0,0,0,0,0
200113,11300701,1,0,0,0,0,0,0
200114,91000002,50000,0,0,0,0,0,0
200115,91000002,45000,0,0,0,0,0,0
200116,91000002,40000,0,0,0,0,0,0
200117,91000002,35000,0,0,0,0,0,0
200118,91000002,30000,0,0,0,0,0,0
200119,91000002,25000,0,0,0,0,0,0
200120,91000002,20000,0,0,0,0,0,0
200121,11400401,3,0,0,0,0,0,0
200122,11400401,2,0,0,0,0,0,0
200123,11400401,1,0,0,0,0,0,0
200124,91000002,50000,0,0,0,0,0,0
200125,91000002,45000,0,0,0,0,0,0
200126,91000002,40000,0,0,0,0,0,0
200127,91000002,35000,0,0,0,0,0,0
200128,91000002,30000,0,0,0,0,0,0
200129,91000002,25000,0,0,0,0,0,0
200130,91000002,20000,0,0,0,0,0,0
10001,91000002,20000,91000001,50000,76000003,10,0,0
10002,91000002,10000,91000001,50000,76000003,10,0,0
10003,91000002,10000,12400801,30,76000003,30,0,0
10004,91000002,10000,91000001,100000,76000003,50,0,0
10005,91000002,10000,91000001,150000,76000003,50,0,0
10006,91000002,10000,91000001,150000,76000003,50,0,0
10007,91000002,10000,91000001,200000,76000003,50,0,0
10008,91000002,10000,91000001,200000,76000003,50,0,0
10009,91000002,10000,91000001,250000,76000003,50,79000009,7
10010,91000002,10000,91000001,250000,76000003,50,0,0
10011,91000002,10000,91000001,300000,76000003,50,0,0
10012,91000002,10000,91000001,300000,76000003,50,0,0
10013,91000002,10000,91000001,300000,76000003,50,0,0
10014,91000002,10000,91000001,300000,76000003,50,0,0
10015,91000002,10000,91000001,300000,76000003,50,0,0
10016,91000002,10000,91000001,300000,76000003,50,0,0
10017,91000002,10000,91000001,300000,76000003,50,0,0
10018,91000002,10000,91000001,300000,76000003,50,0,0
10019,91000002,10000,91000001,300000,76000003,50,0,0
10020,91000002,10000,91000001,300000,76000003,50,0,0
10021,91000002,10000,91000001,300000,76000003,50,42600101,1
10022,91000002,10000,91000001,300000,76000003,50,42600104,1
10023,91000002,10000,91000001,300000,76000003,50,42600102,1
10024,91000002,10000,91000001,300000,76000003,50,42600105,1
10025,91000002,10000,91000001,300000,76000003,50,42600103,1
10026,91000002,10000,91000001,300000,76000003,50,42600106,1
10027,91000002,10000,91000001,300000,76000003,50,42600101,1
10028,91000002,10000,91000001,300000,76000003,50,42600104,1
10029,91000002,10000,91000001,300000,76000003,50,42600102,1
10030,91000002,10000,91000001,300000,76000003,50,42600105,1
10031,91000002,10000,91000001,300000,76000003,50,42600103,1
