advanced_group,stage,cost_item1,cost_num1,cost_item2,cost_num2,cost_item3,cost_num3
60101,1,0,0,0,0,0,0
60102,2,20100001,1,0,0,0,0
60103,3,20100001,2,0,0,0,0
60201,1,0,0,0,0,0,0
60202,2,20100002,1,0,0,0,0
60203,3,20100002,2,0,0,0,0
60301,1,0,0,0,0,0,0
60302,2,20100003,1,0,0,0,0
60303,3,20100003,2,0,0,0,0
60401,1,0,0,0,0,0,0
60402,2,20100004,1,0,0,0,0
60403,3,20100004,2,0,0,0,0
60501,1,0,0,0,0,0,0
60502,2,20100005,1,0,0,0,0
60503,3,20100005,2,0,0,0,0
60601,1,0,0,0,0,0,0
60602,2,20100006,1,0,0,0,0
60603,3,20100006,2,0,0,0,0
