id,class,position,attribute_type1,attribute_value1,attribute_type2,attribute_value2,attribute_type3,attribute_value3,attribute_type4,attribute_value4,attribute_hole1,attribute_hole2,attribute_hole3,add_effect,decompose_group,quality,max_level,icon,name,position_show
19100001,1,1,7,2250,9,4500,29,2250,99,675000,10101,10102,10103,1,1,4,5,elogo19100001.png,信念紫晶,部位1
19100002,1,2,6,7500,8,1125,10,2250,99,1031250,10101,10102,10103,1,1,4,5,elogo19100002.png,智慧紫晶,部位2
19100003,1,3,6,7500,8,1125,30,2250,99,1031250,10101,10102,10103,1,1,4,5,elogo19100003.png,勇气紫晶,部位3
19100004,1,4,6,15000,10,2250,0,0,99,1612500,10101,10102,10103,1,1,4,5,elogo19100004.png,希望紫晶,部位4
19100005,1,5,6,15000,30,2250,0,0,99,1612500,10101,10102,10103,1,1,4,5,elogo19100005.png,主宰紫晶,部位5
19100006,1,6,7,2250,9,4500,29,2250,99,675000,10101,10102,10103,1,1,4,5,elogo19100006.png,命运紫晶,部位6
19200001,2,1,7,4500,9,9000,29,4500,99,1350000,20101,20102,20103,1,2,5,10,elogo19200001.png,信念橙晶,部位1
19200002,2,2,6,15000,8,2250,10,4500,99,2062500,20101,20102,20103,1,2,5,10,elogo19200002.png,智慧橙晶,部位2
19200003,2,3,6,15000,8,2250,30,4500,99,2062500,20101,20102,20103,1,2,5,10,elogo19200003.png,勇气橙晶,部位3
19200004,2,4,6,30000,10,4500,0,0,99,3225000,20101,20102,20103,1,2,5,10,elogo19200004.png,希望橙晶,部位4
19200005,2,5,6,30000,30,4500,0,0,99,3225000,20101,20102,20103,1,2,5,10,elogo19200005.png,主宰橙晶,部位5
19200006,2,6,7,4500,9,9000,29,4500,99,1350000,20101,20102,20103,1,2,5,10,elogo19200006.png,命运橙晶,部位6
19300001,3,1,7,9000,9,18000,29,9000,99,2700000,30101,30102,30103,1,3,6,15,elogo19300001.png,信念红晶,部位1
19300002,3,2,6,30000,8,4500,10,9000,99,4125000,30101,30102,30103,1,3,6,15,elogo19300002.png,智慧红晶,部位2
19300003,3,3,6,30000,8,4500,30,9000,99,4125000,30101,30102,30103,1,3,6,15,elogo19300003.png,勇气红晶,部位3
19300004,3,4,6,60000,10,9000,0,0,99,6450000,30101,30102,30103,1,3,6,15,elogo19300004.png,希望红晶,部位4
19300005,3,5,6,60000,30,9000,0,0,99,6450000,30101,30102,30103,1,3,6,15,elogo19300005.png,主宰红晶,部位5
19300006,3,6,7,9000,9,18000,29,9000,99,2700000,30101,30102,30103,1,3,6,15,elogo19300006.png,命运红晶,部位6
