id,npcid,npctype,worldlv,teamname,npclvtable,heronpc,heroequip,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
1,8500001,1,60,年兽,0,8011,0,1,80000,2,12000,3,10000,6,10000,19,10000,20,10000,35,10000,38,10000,21,0,22,0,99,30000
2,8500001,1,80,年兽,0,8011,0,1,80000,2,12000,3,10000,6,20000,19,20000,20,20000,35,20000,38,20000,21,0,22,0,99,40000
3,8500001,1,100,年兽,0,8011,0,1,80000,2,12000,3,10000,6,30000,19,30000,20,30000,35,30000,38,30000,21,0,22,0,99,50000
4,8500001,1,120,年兽,0,8011,0,1,80000,2,12000,3,10000,6,40000,19,40000,20,40000,35,40000,38,40000,21,0,22,0,99,60000
5,8500001,1,140,年兽,0,8011,0,1,80000,2,12000,3,10000,6,50000,19,50000,20,50000,35,50000,38,50000,21,0,22,0,99,70000
6,8500001,1,160,年兽,0,8011,0,1,80000,2,12000,3,10000,6,60000,19,60000,20,60000,35,60000,38,60000,21,0,22,0,99,80000
7,8500001,1,180,年兽,0,8011,0,1,80000,2,12000,3,10000,6,70000,19,70000,20,70000,35,70000,38,70000,21,0,22,0,99,90000
8,8500001,1,200,年兽,0,8011,0,1,80000,2,12000,3,10000,6,80000,19,80000,20,80000,35,80000,38,80000,21,0,22,0,99,100000
9,8500001,1,220,年兽,0,8011,0,1,80000,2,12000,3,10000,6,90000,19,90000,20,90000,35,90000,38,90000,21,0,22,0,99,110000
10,8500001,1,240,年兽,0,8011,0,1,80000,2,20000,3,15000,6,100000,19,100000,20,100000,35,100000,38,100000,21,0,22,0,99,120000
11,8500001,1,250,年兽,0,8011,0,1,100000,2,30000,3,20000,6,120000,19,120000,20,120000,35,120000,38,120000,21,0,22,0,99,130000
12,8500001,1,260,年兽,0,8011,0,1,120000,2,40000,3,25000,6,140000,19,140000,20,140000,35,140000,38,140000,21,0,22,0,99,140000
13,8500001,1,270,年兽,0,8011,0,1,140000,2,50000,3,30000,6,160000,19,160000,20,160000,35,160000,38,160000,21,0,22,0,99,150000
14,8500001,1,280,年兽,0,8011,0,1,160000,2,60000,3,35000,6,180000,19,180000,20,180000,35,180000,38,180000,21,0,22,0,99,160000
15,8500001,1,290,年兽,0,8011,0,1,180000,2,70000,3,40000,6,200000,19,200000,20,200000,35,200000,38,200000,21,0,22,0,99,170000
16,8500001,1,300,年兽,0,8011,0,1,200000,2,80000,3,45000,6,220000,19,220000,20,220000,35,220000,38,220000,21,0,22,0,99,180000
17,4800101,2,300,幻影守卫,-19,3007,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
18,4800102,2,300,赤炎之锤,-19,2006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
19,4800103,2,300,凯旋之歌,-19,1013,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
20,4800104,2,300,野性之眼,-19,4003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
21,4800105,2,300,漫游之星,-19,1004,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
22,4800201,2,300,神力之石,-19,4011,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
23,4800202,2,300,裁决判官,-19,3010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
24,4800203,2,300,炎魂祭司,-19,2004,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
25,4800204,2,300,驱雷之手,-19,3006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
26,4800205,2,300,奇想学徒,-19,1010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
27,4800301,2,300,赤炎之锤,-19,2006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
28,4800302,2,300,暗之剑豪,-19,3012,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
29,4800303,2,300,无畏之斧,-19,2002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
30,4800304,2,300,漫游之星,-19,1004,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
31,4800305,2,300,秘银狩猎,-19,1003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
32,4800401,2,300,复苏巫士,-19,4005,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
33,4800402,2,300,天命骑士,-19,1001,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
34,4800403,2,300,风雷魔巫,-19,3002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
35,4800404,2,300,贯天之箭,-19,4010,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
36,4800405,2,300,驱雷之手,-19,3006,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
37,4800501,2,300,异族女王,-19,2011,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
38,4800502,2,300,不屈战魂,-19,2005,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
39,4800503,2,300,秘银狩猎,-19,1003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
40,4800504,2,300,野性之眼,-19,4003,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
41,4800505,2,300,风雷魔巫,-19,3002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
42,4800601,2,300,秘林刺客,-19,4002,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
43,4800602,2,300,天命骑士,-19,1001,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
44,4800603,2,300,狩魔鹰眼,-19,1014,1,1,0,2,0,3,0,6,0,19,0,20,0,35,0,38,0,21,0,22,0,99,30000
