hero_id,class,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,suit_group,awaken_group,icon,name
1001,3,6,6,7,7,19,19,1,0,zhenbao_1,关羽
1002,3,6,6,8,8,10,10,1,0,zhenbao_2,张飞
1003,3,6,6,7,7,19,19,1,0,zhenbao_3,马超
1004,3,9,9,6,6,20,20,3,3,zhenbao_4,赵云
1005,3,9,9,6,6,20,20,3,0,zhenbao_1,黄忠
1006,3,8,8,10,10,6,6,2,2,zhenbao_2,诸葛亮
1007,3,9,9,6,6,7,7,3,0,zhenbao_3,庞统
1008,3,8,8,10,10,6,6,2,0,zhenbao_4,黄月英
1009,3,9,9,6,6,7,8,3,0,zhenbao_1,刘备
1010,3,6,6,7,7,19,19,1,0,zhenbao_1,孙尚香
1011,3,6,6,7,7,19,19,1,0,zhenbao_1,关羽
2001,3,8,8,10,10,6,6,2,0,zhenbao_2,甄姬
2002,3,6,6,8,8,10,10,1,0,zhenbao_3,许褚
2003,3,8,8,10,10,6,6,2,0,zhenbao_4,荀彧
2004,3,9,9,6,6,7,7,3,0,zhenbao_1,蔡文姬
2005,3,8,8,10,10,6,6,2,0,zhenbao_2,张辽
2006,3,6,6,8,8,10,10,1,0,zhenbao_3,曹仁
2007,3,9,9,6,6,20,20,3,3,zhenbao_4,司马懿
2008,3,8,8,10,10,6,6,2,0,zhenbao_1,郭嘉
2009,3,9,9,6,6,7,7,3,0,zhenbao_1,曹操
2010,3,8,8,10,10,6,6,2,0,zhenbao_2,夏侯惇
2011,3,6,6,7,7,19,19,1,1,zhenbao_3,邓艾
2012,3,9,9,6,6,20,20,3,3,zhenbao_1,曹丕
2013,3,6,6,7,7,19,19,1,1,zhenbao_3,典韦
3001,3,6,6,8,8,10,10,1,0,zhenbao_4,高顺
3002,3,8,8,10,10,6,6,2,0,zhenbao_1,小乔
3003,3,8,8,10,10,6,6,2,0,zhenbao_2,吕蒙
3004,3,6,6,7,7,19,19,1,0,zhenbao_3,陆逊
3005,3,8,8,10,10,6,6,2,0,zhenbao_4,太史慈
3006,3,9,9,6,6,7,7,3,0,zhenbao_1,孙权
3007,3,6,6,8,8,10,10,1,0,zhenbao_1,周泰
3008,3,8,8,10,10,6,6,2,0,zhenbao_2,韩当
3009,3,8,8,10,10,6,6,2,0,zhenbao_3,大乔
3010,3,8,8,10,10,6,6,2,2,zhenbao_4,周瑜
3011,3,8,8,10,10,6,6,2,2,zhenbao_1,孙策
3012,3,9,9,6,6,20,20,3,0,zhenbao_2,步练师
3013,3,8,8,10,10,6,6,2,2,zhenbao_3,甘宁
3014,3,8,8,10,10,6,6,2,2,zhenbao_3,张春华
4001,3,6,6,7,7,19,19,1,1,zhenbao_4,吕布
4002,3,8,8,10,10,6,6,2,0,zhenbao_1,祝融
4003,3,8,8,10,10,6,6,2,0,zhenbao_1,貂蝉
4004,3,6,6,8,8,10,10,1,1,zhenbao_2,董卓
4005,3,6,6,8,8,10,10,1,0,zhenbao_3,孟获
4006,3,8,8,10,10,6,6,2,0,zhenbao_4,贾诩
4007,3,6,6,7,7,19,19,1,0,zhenbao_1,华雄
4008,3,9,9,6,6,7,7,3,0,zhenbao_2,华佗
4009,3,6,6,7,7,19,19,1,0,zhenbao_3,庞德
4010,3,9,9,6,6,20,20,3,0,zhenbao_4,张角
4011,3,9,9,6,6,20,20,3,3,zhenbao_1,左慈
