id,sort,chapter,type,dec,titlet,begin,txt,thingid,explore,item1,num1,item2,num2,item3,num3,item4,num4
1,1,1,1,        我们的故乡遭到暗灵入侵，先王陨落……我们好不容易从王城撤离，却又在这片山谷遭遇伏击。\n        必须尽快离开这里，寻求其他城邦的援助。,1-1 冒险者,尊敬的领主大人：,\n    一支冒险小队请求与我们共同对抗来犯之敌。,105,0,0,0,0,0,0,0,0,0
2,2,1,1,我们的故乡遭到暗灵入侵，先王陨落……我们好不容易从王城撤离，却又在这片山谷遭遇伏击。\n        必须尽快离开这里，寻求其他城邦的援助。,1-2 星魂,尊敬的领主大人：,\n    星魂所发出的强大能量，令敌人不敢靠近。,110,0,0,0,0,0,0,0,0,0
3,3,1,1,        我们的故乡遭到暗灵入侵，先王陨落……我们好不容易从王城撤离，却又在这片山谷遭遇伏击。\n        必须尽快离开这里，寻求其他城邦的援助。,1-3 突破口,尊敬的领主大人：,\n    敌人堵在了必经之路上，看来只能强行突破了。,120,0,0,0,0,0,0,0,0,0
4,4,1,1,        我们的故乡遭到暗灵入侵，先王陨落……我们好不容易从王城撤离，却又在这片山谷遭遇伏击。\n        必须尽快离开这里，寻求其他城邦的援助。,1-4 港口遭遇,尊敬的领主大人：,\n    消灭敌人派出的巨兽，夺取他们的船只！,140,0,0,0,0,0,0,0,0,0
5,1,1,2,拾取装备,拾取装备,0,0,106,100,91000001,100,0,0,0,0,0,0
6,1,2,1,        通过这座雪山，就能到达矮人的王国。,2-1 解救女巫,尊敬的领主大人：,\n    暗灵们抓住了一位女巫，不能让他们为所欲为。,201,0,0,0,0,0,0,0,0,0
7,2,2,1,        通过这座雪山，就能到达矮人的王国。,2-2 解开封印,尊敬的领主大人：,\n    这座天使建造的要塞被强大的魔法封印着。,203,0,0,0,0,0,0,0,0,0
8,3,2,1,        通过这座雪山，就能到达矮人的王国。,2-4 硬派交流,尊敬的领主大人：,\n    如果没有下定前行的决心，那就只能止步于此。,205,0,0,0,0,0,0,0,0,0
9,4,2,1,        通过这座雪山，就能到达矮人的王国。,2-6 堕落之剑,尊敬的领主大人：,\n    神秘的旅人在你面前站定，周围的空气仿佛凝固。,208,0,0,0,0,0,0,0,0,0
10,5,2,1,        通过这座雪山，就能到达矮人的王国。,2-8 暮光骑士,尊敬的领主大人：,\n    面对昔日兄长，你不得不举起手中的佩剑。,210,0,0,0,0,0,0,0,0,0
11,1,2,2,2-3 魅惑之音,2-3 魅惑之音,0,0,204,30,91000001,100,0,0,0,0,0,0
12,2,2,2,2-5 雪山遗迹,2-5 雪山遗迹,0,0,207,30,91000001,100,0,0,0,0,0,0
13,3,2,2,2-7 众神之怒,2-7 众神之怒,0,0,209,40,91000001,100,0,0,0,0,0,0
14,1,3,1,        我们到达了矮人的王国，但这里似乎酝酿着一个巨大的阴谋。,3-1 矮人守卫,尊敬的领主大人：,\n    鲜血与黎明！还有理智。,301,0,0,0,0,0,0,0,0,0
15,2,3,1,        我们到达了矮人的王国，但这里似乎酝酿着一个巨大的阴谋。,3-3 受惑矮人,尊敬的领主大人：,\n    我们得知有部分矮人被迷惑了。,303,0,0,0,0,0,0,0,0,0
16,3,3,1,        我们到达了矮人的王国，但这里似乎酝酿着一个巨大的阴谋。,3-5 谎言之镜,尊敬的领主大人：,\n    黑暗的魔法复制出了冒险小队的邪恶镜像。,305,0,0,0,0,0,0,0,0,0
17,4,3,1,        我们到达了矮人的王国，但这里似乎酝酿着一个巨大的阴谋。,3-8 邪恶爪牙,尊敬的领主大人：,\n    夺灵者虽然逃了，但她的爪牙还在洞中徘徊。,308,0,0,0,0,0,0,0,0,0
18,5,3,1,        我们到达了矮人的王国，但这里似乎酝酿着一个巨大的阴谋。,3-10 受惑国王,尊敬的领主大人：,\n    这位国王被迷惑了，好在我们可以让他清醒过来！,310,0,0,0,0,0,0,0,0,0
19,1,3,2,3-2 遗迹,3-2 遗迹,0,0,302,20,91000001,100,0,0,0,0,0,0
20,2,3,2,3-4 小恶魔,3-4 小恶魔,0,0,304,20,91000001,100,0,0,0,0,0,0
21,3,3,2,3-6 夺灵者,3-6 夺灵者,0,0,306,20,91000001,100,0,0,0,0,0,0
22,4,3,2,3-7 遗迹,3-7 遗迹,0,0,307,20,91000001,100,0,0,0,0,0,0
23,5,3,2,3-9 黑暗精灵,3-9 黑暗精灵,0,0,309,20,91000001,100,0,0,0,0,0,0
24,1,4,1,        穿过北岭前往赫利海姆，却没料到我们在这里遭到兽人佣兵的袭击。,4-1 唤灵妖姬,尊敬的领主大人：,\n    唤灵妖姬出现了，但她不该出现在这里。,401,0,0,0,0,0,0,0,0,0
25,2,4,1,        穿过北岭前往赫利海姆，却没料到我们在这里遭到兽人佣兵的袭击。,4-3 流浪法师,尊敬的领主大人：,\n    法师头领挡住了前行道路，击败他们。,403,0,0,0,0,0,0,0,0,0
26,3,4,1,        穿过北岭前往赫利海姆，却没料到我们在这里遭到兽人佣兵的袭击。,4-5 痴情兽人,尊敬的领主大人：,\n    森林里的兽人亲近自然，但似乎并不热爱和平。,405,0,0,0,0,0,0,0,0,0
27,4,4,1,        穿过北岭前往赫利海姆，却没料到我们在这里遭到兽人佣兵的袭击。,4-8 灵魂呼唤,尊敬的领主大人：,\n    唤灵妖姬们一点儿也不友好。,408,0,0,0,0,0,0,0,0,0
28,5,4,1,        穿过北岭前往赫利海姆，却没料到我们在这里遭到兽人佣兵的袭击。,4-10 幕后之人,尊敬的领主大人：,\n    我们应该可以从这里知道幕后主宰。,410,0,0,0,0,0,0,0,0,0
29,1,4,2,4-2 遗迹,4-2 遗迹,0,0,402,20,91000001,100,0,0,0,0,0,0
30,2,4,2,4-4 窃法团伙,4-4 窃法团伙,0,0,404,20,91000001,100,0,0,0,0,0,0
31,3,4,2,4-6 狮鹫兽,4-6 狮鹫兽,0,0,406,20,91000001,100,0,0,0,0,0,0
32,4,4,2,4-7 遗迹,4-7 遗迹,0,0,407,20,91000001,100,0,0,0,0,0,0
33,5,4,2,4-9 凛冬之影,4-9 凛冬之影,0,0,409,20,91000001,100,0,0,0,0,0,0
34,1,5,1,        没想到我们的唐突打扰到了精灵，遭遇了无法避免的战斗。,5-1 惊慌精灵,尊敬的领主大人：,\n    看起来这片森林不像想象中的那么宁静。,501,0,0,0,0,0,0,0,0,0
35,2,5,1,        没想到我们的唐突打扰到了精灵，遭遇了无法避免的战斗。,5-3 暗夜精灵,尊敬的领主大人：,\n    暗夜精灵常认为自己深耕于黑暗，却侍奉光明。,503,0,0,0,0,0,0,0,0,0
36,3,5,1,        没想到我们的唐突打扰到了精灵，遭遇了无法避免的战斗。,5-5 森之鹿,尊敬的领主大人：,\n    在暗夜精灵来到这里前，小鹿认为他们爱好和平。,505,0,0,0,0,0,0,0,0,0
37,4,5,1,        没想到我们的唐突打扰到了精灵，遭遇了无法避免的战斗。,5-8 傀儡术,尊敬的领主大人：,\n    精灵与暗精灵曾同为一族，如今却分道扬镳乃至同室操戈。,508,0,0,0,0,0,0,0,0,0
38,5,5,1,        没想到我们的唐突打扰到了精灵，遭遇了无法避免的战斗。,5-10 暗夜使命,尊敬的领主大人：,\n    精灵们的凛冬将至。,510,0,0,0,0,0,0,0,0,0
39,1,5,2,5-2 遗迹,5-2 遗迹,0,0,502,20,91000001,100,0,0,0,0,0,0
40,2,5,2,5-4 愤怒精灵,5-4 愤怒精灵,0,0,504,20,91000001,100,0,0,0,0,0,0
41,3,5,2,5-6 北岭之弓,5-6 北岭之弓,0,0,506,20,91000001,100,0,0,0,0,0,0
42,4,5,2,5-7 遗迹,5-7 遗迹,0,0,507,20,91000001,100,0,0,0,0,0,0
43,5,5,2,5-9 一场误会,5-9 一场误会,0,0,509,20,91000001,100,0,0,0,0,0,0
44,1,6,1,        我们深入暗精灵的巢穴，似乎这里可以得到更多线索。,6-1 恶魔低语,尊敬的领主大人：,\n    精灵女祭司出现了。,601,0,0,0,0,0,0,0,0,0
45,2,6,1,        我们深入暗精灵的巢穴，似乎这里可以得到更多线索。,6-3 诅咒,尊敬的领主大人：,\n    精灵弓箭手出现了，她的弓很快，我们最好小心点。,603,0,0,0,0,0,0,0,0,0
