id,str
1,弓兵
2,骑兵
3,步兵
4,盾兵
5,等级:
6,您还没有选择武将，请选择武将
7,训练失败
8,金币不足，无法训练
9,目前士兵级别已经最高，请提升英雄级别
10,开启
11,不能吃该物品
12,您没有该物品了
13,升星成功
14,级
15,技能点不足，无法升级
16,免费次数：
17,免费次数已用完
18,后免费
19,本次免费
20,元宝
21,金币
22,战斗力:
23,拥有%d件
24,银币不足，无法抽取宝箱
25,元宝不足，请充值
26,请选择更小的训练时间，提升英雄等级可开放其他训练时间
27,请选择正确训练位，提升英雄级可开放更多训练位
28,VIP等级不够，你懂的
29,3星过关才可以扫荡
30,体力不足
31,冷却时间:
32,您当前没有可以训练的武将，请升级武将等级
33,放入
34,武将
35,用户名已被注册，请换一个用户名
36,您暂时没有物品可以吃了
37,剩余技能点数:
38,金币不足
39,无装备
40,可装备
41,可合成
42,等级未到达
43,需要英雄等级:%d级
44,装备后会与该英雄绑定
45,可召唤
46,以下武将尚未召唤 
47,绿
48,蓝
49,紫
50,橙
51,确定
52,获取途径
53,装备
54,合成公式
55,已完成
56,再开1次
57,再开10次
58,还没有到进货时间，刷新可以立刻更新商店货物，是否花费%d元宝刷新货物?      (今日已刷新%d次)
59,今日21:00
60,明日21:00
61,正在刷新
62,今日9:00
63,今日12:00
64,今日18:00
65,明日9:00
66,金币不足，无法购买
67,商品已售出，无法再次购买
68,购买%d件
69,物品已经到达上限了，无法购买
70,商店15级开放
71,商店备货中，12点开放，请稍候再来；VIP9可永久开放
72,商店备货中，19点开放，请稍候再来；VIP11可永久开放
73,该武将还不能进阶，请先穿齐四件装备
74,物品不足，无法升星
75,需求等级:
76,武将已经达到最高品质了
77,星级已满
78,已签到
79,%d月签到奖励%d次
80,第%d天
81,小关卡不允许扫荡
82,关卡为非法关卡
83,小关卡不允许重复攻打
84,今天已经签到了，明天继续哦
85,不能重置此关卡
86,体力:
87,剩余次数：
88,任务完成
89,(武力+%d)
90,(统率+%d)
91,(智力+%d)
92,网络连接失败，请联网再试！
93,拥有(%d/%d)
94,今日剩余次数:%d/%d
95,扫荡券不足，无法扫荡
96,您税收得到金币%d
97,当前免费
98,体力已达上限
99,点数已满
100,你没有足够的技能点了！\n购买%d点技能点需要花费%d钻石\n(今日已购买%d次)
101,合成
102,当前不可用
103,可输入1-12个字符
104,武将已满级，无法提升等级。
105,次数不足，提升VIP等级可获得更多次数
106,今天拜访次数已用完。
107,队伍达到%d级开放
108,购买
109,切磋
110,花费%d元宝购买%d次切磋次数，是否继续？(今日已经购买%d次)
111,花费%d钻石购买%d次贿赂次数，是否继续？(今日已经购买%d次)
112,购买成功
113,改名成功
114,新服开启！好礼相送！充值688送1888豪华大礼包！前30名玩家更有好礼相赠！每个充值玩家都可参加神秘抽奖！！！
115,后宫20级开启
116,该武将已经在驻守了，请选择其他武将
117,免费
118,拜帖不足，无法进行拜访
119,确定重置关卡吗？
120,拜访武将，获得
121,更换头像成功
122,获得体力:
123,获得钻石:
124,力量成长:  
125,敏捷成长: 
126,智力成长: 
127,/小时
128,消耗%d钻石，向武将敬酒，灌醉武将\n降低武将战力，今日已敬酒%d/%d次
129,城池未占领
130,时间未到
131,当前购买已达今日上限
132,已满级
133,经验已满！
134,商店
135,酒馆
136,物品不足，神器无法升级
137,赞  %d
138,精炼到
139,绿色
140,蓝色
141,紫色
142,橙色
143,开放
144,暂未开启
145,先锋
146,中军
147,后援
148,当前等级不能上阵更多援军了
149,需要领主等级达到%d级开启
150,当前功能正在开发中，敬请期待！
151,神器已经达到最高级了
152,通过后开启
153,好感度已满，可以领取奖励了
154,技能满级了
155,领主，邮件图标上出现红点表示收到新的邮件了，记得要查收哟~
156,领主，每日完成征战能够获得丰富的物资哟。
157,领主，多关注商店留意刷新时间，也许能买到意想不到的宝物。
158,淬炼
159,淬炼消耗
160,精炼
161,精炼消耗
162,征战次数不足
163,武将不能超过领主等级
164,董
165,曹
166,袁
167,孙
168,刘
169,必须派遣5个武将才能出战
170,小关不能派遣援军
171,玩家等级达到20级开启援军
172,通关后开启
173,事件不能派遣援军
174,战斗力+%d
175,合成材料不足，无法合成
176,金币不足，无法合成
177,关卡未解锁
178,攻克           ，王图霸业更进一步
179,招募           ，麾下再添一员虎将
180,兑换
181,刷新
182,未达成
183,已领取
184,进入%d
185,简单
186,普通
187,困难
188,精英
189,史诗
190,功勋币数量不足，无法购买
191,装备碎片数量不足，无法购买
192,荣誉点数量不足，无法购买
193,战斗回放
194,伤害统计
195,积分达到%d
196,远征币数量不足，无法购买
197,赠送稀有道具或武将
198,本次必得武将
199,%d次后必得武将
200,VIP4解锁3次扫荡功能
201,重置刷新界面
202,重置次数为0
203,还没有到进货时间，刷新可以立刻更新商店货物。是否花费  %d          刷新货物？
204,(今日已刷新%d次)
205,战力%d
206,武将等级不足，需要%d级
207,武将出征中
208,人数已达上限
209,未获得该武将
210,未获得
211,完成时间：%02d:%02d:%02d
212,32400
213,43200
214,64800
215,75600
216,上一难度需要三星
217,%d万
218,征 税
219,立 即
220,%02d:%02d:%02d后可征收
221,需达到%d级
222,可征税
223,驻守中
224,钱庄
225,酒馆
226,市场
227,每%d分钟产生1个
228,请关注近期相关活动
229,征收：
230,驻守：
231,可派遣
232,可征税
233,%02d:%02d:%02d
234,不可出售
235,好感度已达到上限
236,监工可连续工作%d小时
237,恭喜领主完成任务，这是给你的奖励。
238,抱歉领主已经超出任务完成时间了，奖励不能给你。
239,木头数量不足，无法购买
240,布料数量不足，无法购买
241,精铁数量不足，无法购买
242,5名c级武将出战
243,5名B级武将出战
244,5名A级武将出战
245,5名S级武将出战
246,5名SS级武将出战
247,蜀
248,魏
249,吴
250,群
251,出战阵容为空
252,本章通关后开启
253,新功能开启
254,%d级开启
255,今日已贊
256,今日已踩
257,领主等级不足
258,领取章节奖励后开启
259,您的帐号已被登录
260,该服务器无法连接
261,有新内容可以更新，请重启游戏
262,您与服务器连接断开
263,客户端版本过低，请重新下载安装
264,贵族%d特权
265,        %d - %d
266,领主%d级解锁
267,领主等级%d级解锁%s
268,需贵族%d才可购买此特权礼包
269,%d月%d日%d时-%d月%d日%d时
270,当前贵族等级不足，需要达到 贵族%d 可加入
271,当前 贵族%d
272,是否前往加入
273,加入 聚财计划 后可领取 聚财奖励
274,加入 纳贤计划 后可领取 纳贤奖励
275,加入 圣物计划 后可领取 圣物奖励
276,加入 任意计划 后可领取 商会福利
277,请先安装微信
278,+%d点军功
279,%d名以外没有奖励
280,%02d天%02d时
281,%02d时%02d分
282,加入 聚财计划
283,加入 纳贤计划
284,加入 圣物计划
285,当前没有国战战报
286,我方没有人参与本场国战
287,国战结束才显示战报
288,您的账号已经被冻结
289,%d小时
290,%d分钟
291,%d小时%d分钟
292,该武将已派遣
293,武将不足
294,请先安装微博
295,当前任务为最高品质
296,是否刷新？
297,今日次数已用完
298,提升贵族等级可以增加每日购买次数
299,今日直播结束
300,全部通关等待新版本开启
301,有新内容更新，请重新登录游戏
302,请先通关前置关卡
303,合成随机一只四星橙宠
304,合成随机一只五星橙宠
305,鉴定后可获得魔宠
