citysize,item1,num1,limit1,icon1,condition1,item2,num2,limit2,icon2,condition2,item3,num3,limit3,icon3,condition3,position,name,number,addition,reduce,limitspecial,iconspecial,repress
1,91000031,624,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,101,守备官,1,200,130,20,icon_cc_01,3
1,91000031,624,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,102,副官,4,150,100,20,icon_cc_01,3
1,91000031,624,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,103,守卫,15,100,80,20,icon_cc_01,3
1,91000031,624,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,201,指挥官,1,300,300,20,icon_cc_01,3
1,91000031,624,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,202,先锋,19,200,200,20,icon_cc_01,3
2,91000031,516,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,101,守备官,1,200,130,20,icon_cc_01,2
2,91000031,516,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,102,副官,3,150,100,20,icon_cc_01,2
2,91000031,516,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,103,守卫,26,100,80,20,icon_cc_01,2
2,91000031,516,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,201,指挥官,1,300,300,20,icon_cc_01,2
2,91000031,516,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,202,先锋,29,200,200,20,icon_cc_01,2
3,91000031,516,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,101,守备官,1,200,130,20,icon_cc_01,2
3,91000031,516,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,102,副官,2,150,100,20,icon_cc_01,2
3,91000031,516,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,103,守卫,37,100,80,20,icon_cc_01,2
3,91000031,516,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,201,指挥官,1,300,300,20,icon_cc_01,2
3,91000031,516,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,202,先锋,39,200,200,20,icon_cc_01,2
4,91000031,396,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,101,守备官,1,200,130,20,icon_cc_01,1
4,91000031,396,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,102,副官,1,150,100,20,icon_cc_01,1
4,91000031,396,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,103,守卫,48,100,80,20,icon_cc_01,1
4,91000031,396,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,201,指挥官,1,300,300,20,icon_cc_01,1
4,91000031,396,15000,coin91000031,1,0,0,0,0,15,0,0,0,0,0,202,先锋,49,200,200,20,icon_cc_01,1
