mapid,type,name,icon,dec,txt1,leveljudge,txt2,condition,judge
1001,1,北境追影,1001,属于怒涛联邦的远古神器在不久前遗失，这是联邦从未发生过的严重失窃。神器被放置在供世人朝拜的神殿中，并派遣联邦精锐禁军把守，可是偷盗者远比他们强大，所有禁军无一幸存。乌可诺受国王之托追查失落神器，随着他们的调查，最终被指引到北方边境。,0,0,0,0,0
1002,1,密林奇遇,1002,调查神器遗失事件的乌可诺被线索指引到他所守卫的北部边境，在边境一番恶战后成功回收一个遗失的神器，但追查神器的任务并未完结。在后续事件调查中，乌可诺与他所信任的挚友一起来到雪域密林中。一份新的可靠情报显示，活动异常的暗影生物有部分藏匿在密林中。为继续追查线索，他们三人必须在密林中面对行踪诡秘的暗影生物。,通关冒险关卡7-4,110704,副本北境追影进度超过60%,1001,6000
1003,1,雷鸣之城,1003,另外的遗失神器被认为已经运送至雷鸣之城，而雷鸣之城的严密防守不适合联邦军队直接行动，需要有专注隐匿行动的精英队伍完成。于是，怒涛联邦秘密派遣使者前往神峰秘境请求合作，对此知晓了事件始末的神峰秘境派遣了两位擅长潜入的英雄加入作战。神峰秘境并未对怒涛联邦曾经的所作所为发表意见，“这只是为了大陆的和平稳定。”,通关冒险关卡8-4,110804,副本密林奇遇进度超过60%,1002,6000
1004,1,均衡山脉,1004,雷龙石像力量逐渐衰弱，而受土龙魔力影响的山脉河流开始向其延伸，创造了无数自然奇观。热衷于修行的萨温和弗莱娜相伴前往传闻中由土龙魔力所影响而出现的均衡山脉，但山中已经被一些兽人占据，他们守着抢夺来的财宝，引诱着更多希望获得宝藏的冒险者。,通关冒险关卡9-4,110904,副本雷鸣之城进度超过60%,1003,6000
1005,1,破碎大陆,1005,随着麦杰卓根大陆空间的越发不稳定，被法师们称为星域的另一世界开始与麦杰卓根不断接触碰撞，而最终导致的结果便是一个混沌的世界出现。它被称为破碎大陆，多个空间的事物因为不稳定碰撞泄露到破碎大陆，据称有一些稀有的宝物落入破碎大陆中，进入其中的冒险者们需要摸索出一条可行的道路才能获得宝物。,通关冒险关卡10-4,111004,副本均衡山脉进度超过60%,1004,6000
1006,1,纷争战场,1006,麦杰卓根大陆中部被人们称为纷争战场，这里满目疮痍，皆是几百年的战争留下伤痕。以战争闻名的雷鸣之城君王曾君临整个大陆，曾经的战争几乎都由雷鸣之城发动，因而他们的君主离世后，军队失去了有力的领导，战争逐渐平息。然而，本来平静无人的战场里这些日子里竟出现了不少暗影生物。它们聚集在战场中，仿佛被这里的悲剧吸引，可是有人相信他们正在谋划什么。,通关冒险关卡11-4,111104,副本破碎大陆进度超过60%,1005,6000
1007,1,旋转阶梯,1007,与之前的破碎大陆一样，这个空间也是碎裂而不稳定的，它的入口最近才出现在麦杰卓根大陆上，似乎也是之前的空间撕裂造成的后果。这个空间中遗落着诸多宝物，只要进入其中，就能看见遍布各处的宝藏。但是由于其不稳定的特性，想要获取宝物并不是一件容易的事情。,通关冒险关卡12-4,111204,副本纷争战场进度超过60%,1006,6000
1008,1,恐怖丛林,1008,大陆东南方有着一片危险地带，人们称其为禁忌丛林， 其中属于丛林独有的湿热气候和奇异生态总是吸引着喜欢挑战的冒险家们。每年都有冒险家声称会探寻丛林的每一个角落，向世人宣告探险的成功，但是每年冒险者要么狼狈逃回，要么根本没能走出丛林。凡是经过丛林周边的人都会小心翼翼，在毫无准备的情况下误入其中，只怕凶多吉少。,通关冒险关卡13-4,111304,副本旋转阶梯进度超过60%,1007,6000
1009,1,永恒遗迹,1009,传说这个遗迹是由欺诈之神所创造的，他利用其中变化多端的机关戏弄前来挑战的人，从这些最后垂头丧气离开的人身上获得欺骗的愉悦。千年来，无数的人企图挑战这不可破除的机关，但几乎没人成功过。奖励只属于第一个破解机关的胜者，他将获得欺诈之神放在终点中的神器。现在大陆危在旦夕，我们必须想办法通过遗迹获取欺诈的神器。,通关冒险关卡14-4,111404,副本恐怖丛林进度超过60%,1008,6000
1010,1,异域空间,1010,这个宝库存在于光之神的传说中。据说，每个神明都利用自身的力量创造一个游离于大陆之外的空间，形成凡人无法轻易踏足的宝库。在上古的战争过后，这些失去庇佑的宝库时常受到冒险者的挑战，然而领悟世间光之源的人，将永远迷失其中。光之神留下的神器只能交给智慧与勇气并存之人。,通关冒险关卡15-4,111504,副本永恒遗迹进度超过60%,1009,6000
