id,tree_level,item_id,item_num,professional_level,value1,num1,increase1,value2,num2,increase2,value3,num3,increase3,value4,num4,increase4
1,0,91000055,1,0,1,0,200,2,0,0,3,0,0,99,0,2000
2,1,91000055,1,0,1,200,0,2,0,0,3,0,8,99,2000,2000
3,2,91000055,2,0,1,200,0,2,0,20,3,8,0,99,4000,2000
4,3,91000055,2,0,1,200,200,2,20,0,3,8,0,99,6000,2000
5,4,91000055,4,0,1,400,0,2,20,0,3,8,4,99,8000,2000
6,5,91000055,4,0,1,400,0,2,20,20,3,12,0,99,10000,2000
7,6,91000055,6,0,1,400,200,2,40,0,3,12,0,99,12000,2000
8,7,91000055,6,0,1,600,0,2,40,0,3,12,4,99,14000,2000
9,8,91000055,8,0,1,600,200,2,40,20,3,16,0,99,16000,2000
10,9,91000055,8,0,1,800,0,2,60,20,3,16,4,99,18000,2000
11,10,91000055,10,5,1,800,250,2,80,0,3,20,0,99,20000,2000
12,11,91000055,10,6,1,1050,0,2,80,30,3,20,6,99,22000,2000
13,12,91000055,12,7,1,1050,300,2,110,20,3,26,4,99,24000,2000
14,13,91000055,12,8,1,1350,300,2,130,20,3,30,4,99,26000,2000
15,14,91000055,12,9,1,1650,420,2,150,30,3,34,6,99,28000,2000
16,15,91000055,18,10,1,2070,420,2,180,30,3,40,6,99,30000,2000
17,16,91000055,18,11,1,2490,420,2,210,30,3,46,6,99,32000,2000
18,17,91000055,18,12,1,2910,420,2,240,30,3,52,6,99,34000,2000
19,18,91000055,18,13,1,3330,420,2,270,30,3,58,6,99,36000,2000
20,19,91000055,18,14,1,3750,420,2,300,30,3,64,6,99,38000,2000
21,20,91000055,24,15,1,4170,420,2,330,30,3,70,6,99,40000,2000
22,21,91000055,24,16,1,4590,420,2,360,30,3,76,6,99,42000,2000
23,22,91000055,24,17,1,5010,420,2,390,30,3,82,6,99,44000,2000
24,23,91000055,24,18,1,5430,420,2,420,30,3,88,6,99,46000,2000
25,24,91000055,24,19,1,5850,420,2,450,30,3,94,6,99,48000,2000
26,25,91000055,24,20,1,6270,420,2,480,30,3,100,6,99,50000,2000
27,26,91000055,24,21,1,6690,420,2,510,30,3,106,6,99,52000,2000
28,27,91000055,24,22,1,7110,420,2,540,30,3,112,6,99,54000,2000
29,28,91000055,24,23,1,7530,420,2,570,30,3,118,6,99,56000,2000
30,29,91000055,24,24,1,7950,420,2,600,30,3,124,6,99,58000,2000
31,30,91000055,24,25,1,8370,420,2,630,30,3,130,6,99,60000,2000
32,31,91000055,24,26,1,8790,420,2,660,30,3,136,6,99,62000,2000
33,32,91000055,24,27,1,9210,420,2,690,30,3,142,6,99,64000,2000
34,33,91000055,24,28,1,9630,420,2,720,30,3,148,6,99,66000,2000
35,34,91000055,24,29,1,10050,420,2,750,30,3,154,6,99,68000,2000
36,35,91000055,24,30,1,10470,420,2,780,30,3,160,6,99,70000,2000
37,36,91000055,24,31,1,10890,420,2,810,30,3,166,6,99,72000,2000
38,37,91000055,24,32,1,11310,420,2,840,30,3,172,6,99,74000,2000
39,38,91000055,24,33,1,11730,420,2,870,30,3,178,6,99,76000,2000
40,39,91000055,24,34,1,12150,420,2,900,30,3,184,6,99,78000,2000
41,40,91000055,24,35,1,12570,420,2,930,30,3,190,6,99,80000,2000
42,41,91000055,24,36,1,12990,420,2,960,30,3,196,6,99,82000,2000
43,42,91000055,24,37,1,13410,420,2,990,30,3,202,6,99,84000,2000
44,43,91000055,24,38,1,13830,420,2,1020,30,3,208,6,99,86000,2000
45,44,91000055,24,39,1,14250,420,2,1050,30,3,214,6,99,88000,2000
46,45,91000055,24,40,1,14670,420,2,1080,30,3,220,6,99,90000,2000
47,46,91000055,24,41,1,15090,420,2,1110,30,3,226,6,99,92000,2000
48,47,91000055,24,42,1,15510,420,2,1140,30,3,232,6,99,94000,2000
49,48,91000055,24,43,1,15930,420,2,1170,30,3,238,6,99,96000,2000
50,49,91000055,24,44,1,16350,420,2,1200,30,3,244,6,99,98000,2000
51,50,91000055,24,45,1,16770,420,2,1230,30,3,250,6,99,100000,2000
52,51,91000055,24,46,1,17190,420,2,1260,30,3,256,6,99,102000,2000
53,52,91000055,24,47,1,17610,420,2,1290,30,3,262,6,99,104000,2000
54,53,91000055,24,48,1,18030,420,2,1320,30,3,268,6,99,106000,2000
55,54,91000055,24,49,1,18450,420,2,1350,30,3,274,6,99,108000,2000
56,55,91000055,24,50,1,18870,420,2,1380,30,3,280,6,99,110000,2000
57,56,91000055,24,51,1,19290,420,2,1410,30,3,286,6,99,112000,2000
58,57,91000055,24,52,1,19710,420,2,1440,30,3,292,6,99,114000,2000
59,58,91000055,24,53,1,20130,420,2,1470,30,3,298,6,99,116000,2000
60,59,91000055,24,54,1,20550,420,2,1500,30,3,304,6,99,118000,2000
61,60,91000055,24,55,1,20970,420,2,1530,30,3,310,6,99,120000,2000
62,61,91000055,24,56,1,21390,420,2,1560,30,3,316,6,99,122000,2000
63,62,91000055,24,57,1,21810,420,2,1590,30,3,322,6,99,124000,2000
64,63,91000055,24,58,1,22230,420,2,1620,30,3,328,6,99,126000,2000
65,64,91000055,24,59,1,22650,420,2,1650,30,3,334,6,99,128000,2000
66,65,91000055,24,60,1,23070,420,2,1680,30,3,340,6,99,130000,2000
67,66,91000055,24,61,1,23490,420,2,1710,30,3,346,6,99,132000,2000
68,67,91000055,24,62,1,23910,420,2,1740,30,3,352,6,99,134000,2000
69,68,91000055,24,63,1,24330,420,2,1770,30,3,358,6,99,136000,2000
70,69,91000055,24,64,1,24750,420,2,1800,30,3,364,6,99,138000,2000
71,70,91000055,24,65,1,25170,420,2,1830,30,3,370,6,99,140000,2000
72,71,91000055,24,66,1,25590,420,2,1860,30,3,376,6,99,142000,2000
73,72,91000055,24,67,1,26010,420,2,1890,30,3,382,6,99,144000,2000
74,73,91000055,24,68,1,26430,420,2,1920,30,3,388,6,99,146000,2000
75,74,91000055,24,69,1,26850,420,2,1950,30,3,394,6,99,148000,2000
76,75,91000055,24,70,1,27270,420,2,1980,30,3,400,6,99,150000,2000
77,76,91000055,24,71,1,27690,420,2,2010,30,3,406,6,99,152000,2000
78,77,91000055,24,72,1,28110,420,2,2040,30,3,412,6,99,154000,2000
79,78,91000055,24,73,1,28530,420,2,2070,30,3,418,6,99,156000,2000
80,79,91000055,24,74,1,28950,420,2,2100,30,3,424,6,99,158000,2000
81,80,91000055,24,75,1,29370,420,2,2130,30,3,430,6,99,160000,2000
82,81,91000055,24,76,1,29790,420,2,2160,30,3,436,6,99,162000,2000
83,82,91000055,24,77,1,30210,420,2,2190,30,3,442,6,99,164000,2000
84,83,91000055,24,78,1,30630,420,2,2220,30,3,448,6,99,166000,2000
85,84,91000055,24,79,1,31050,420,2,2250,30,3,454,6,99,168000,2000
86,85,91000055,24,80,1,31470,420,2,2280,30,3,460,6,99,170000,2000
87,86,91000055,24,81,1,31890,420,2,2310,30,3,466,6,99,172000,2000
88,87,91000055,24,82,1,32310,420,2,2340,30,3,472,6,99,174000,2000
89,88,91000055,24,83,1,32730,420,2,2370,30,3,478,6,99,176000,2000
90,89,91000055,24,84,1,33150,420,2,2400,30,3,484,6,99,178000,2000
91,90,91000055,24,85,1,33570,420,2,2430,30,3,490,6,99,180000,2000
92,91,91000055,24,86,1,33990,420,2,2460,30,3,496,6,99,182000,2000
93,92,91000055,24,87,1,34410,420,2,2490,30,3,502,6,99,184000,2000
94,93,91000055,24,88,1,34830,420,2,2520,30,3,508,6,99,186000,2000
95,94,91000055,24,89,1,35250,420,2,2550,30,3,514,6,99,188000,2000
96,95,91000055,24,90,1,35670,420,2,2580,30,3,520,6,99,190000,2000
97,96,91000055,24,91,1,36090,420,2,2610,30,3,526,6,99,192000,2000
98,97,91000055,24,92,1,36510,420,2,2640,30,3,532,6,99,194000,2000
99,98,91000055,24,93,1,36930,420,2,2670,30,3,538,6,99,196000,2000
100,99,91000055,24,94,1,37350,420,2,2700,30,3,544,6,99,198000,2000
101,100,91000055,24,95,1,37770,420,2,2730,30,3,550,6,99,200000,2000
102,101,91000055,24,96,1,38190,420,2,2760,30,3,556,6,99,202000,2000
103,102,91000055,24,97,1,38610,420,2,2790,30,3,562,6,99,204000,2000
104,103,91000055,24,98,1,39030,420,2,2820,30,3,568,6,99,206000,2000
105,104,91000055,24,99,1,39450,420,2,2850,30,3,574,6,99,208000,2000
106,105,91000055,24,100,1,39870,0,2,2880,0,3,580,0,99,210000,0
