id,sort,step,tag_type,task_sort,activity,txt,tasktypes,n1,n2,n3,n4,item1,num1,item2,num2,item3,num3,item4,num4,value,item_name,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,costitem4,costnum4,times,cost,sale,start,continued,cd,show,coctime,vip_limit,point,rebate_type,param1,describe,button,jump,backicon,nameicon
1010101,1,1,1,1,今日目标,登录第1天,126,1,0,0,0,91000002,8000,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,100,0,0,0,0,0,0,0
1010102,1,1,1,2,今日目标,领主等级达到:30,1,30,0,0,0,91000002,8000,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,20,0,0,0,0,0,0,0
1010103,1,1,1,3,今日目标,法阵总战力达到:35000,2,35000,0,0,0,91000002,15000,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,20,0,0,0,0,0,0,0
1010104,1,1,1,4,今日目标,命运核心等级达到:40,72,40,0,0,0,91000002,15000,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,20,0,0,0,0,0,0,0
1010201,1,2,1,1,冒险历程,通关冒险关卡第1章,43,1,0,0,0,91000002,5000,42010001,2,0,0,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,10,0,0,0,0,0,0,0
1010202,1,2,1,2,冒险历程,通关冒险关卡第2章,43,2,0,0,0,91000002,5000,42010001,2,0,0,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,10,0,0,0,0,0,0,0
1010203,1,2,1,3,冒险历程,通关冒险关卡第3章,43,3,0,0,0,91000002,5000,42010001,2,0,0,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,10,0,0,0,0,0,0,0
1010204,1,2,1,4,冒险历程,通关冒险关卡第4章,43,4,0,0,0,91000002,5000,42010001,2,0,0,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,10,0,0,0,0,0,0,0
1010211,1,2,1,11,冒险历程,试炼之塔层数:5,81,5,0,0,0,91000002,5000,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,10,0,0,0,0,0,0,0
1010212,1,2,1,12,冒险历程,试炼之塔层数:15,81,15,0,0,0,91000002,5000,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,10,0,0,0,0,0,0,0
1010213,1,2,1,13,冒险历程,试炼之塔层数:25,81,25,0,0,0,91000002,5000,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,10,0,0,0,0,0,0,0
1010214,1,2,1,14,冒险历程,试炼之塔层数:35,81,35,0,0,0,91000002,5000,0,0,0,0,0,0,5000,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,10,0,0,0,0,0,0,0
1010215,1,2,1,15,冒险历程,试炼之塔层数:45,81,45,0,0,0,91000002,10000,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,10,0,0,0,0,0,0,0
1010221,1,2,1,21,冒险历程,完成悬赏任务:1次,218,1,0,0,0,13000001,60,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,10,0,0,0,0,0,0,0
1010222,1,2,1,22,冒险历程,完成悬赏任务:5次,218,5,0,0,0,13000001,120,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,-1,604800,0,0,0,0,10,0,0,0,0,0,0,0
