suit_id,advance_lv,cost_item,item_num,class,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute_type1,attribute_value1,attribute_type2,attribute_value2,attribute_type3,attribute_value3,attribute_type4,attribute_value4,attribute_type5,attribute_value5,attribute_type6,attribute_value6,attribute_type7,attribute_value7,attribute_type8,attribute_value8,attribute_type9,attribute_value9,suit_talent_type1,suit_talent_value1,suit_talent_type2,suit_talent_value2,suit_talent_icon,suit_icon,show_level,suit_item_icon,quality,suit_switch_group,suit_switch_item,suit_switch_num
24000091,0,22000001,6,3,7,8,6,6,19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zhenbao_1,15,elogo24000091.png,6,1,91000002,1000
24000091,1,22000001,9,3,7,8,6,6,19,8,6,216000,7,21600,8,10800,10,21600,30,21600,99,8640000,0,0,0,0,0,0,62,20000,99,2000000,talent_3.png,zhenbao_1,15,elogo24000091.png,6,1,91000002,1000
24000091,2,22000001,12,3,7,8,6,6,19,8,6,259200,7,25920,8,12960,10,25920,30,25920,99,10368000,0,0,0,0,0,0,63,20000,99,2000000,talent_4.png,zhenbao_1,15,elogo24000091.png,6,1,91000002,1000
24000091,3,22000001,15,3,7,8,6,6,19,8,6,324000,7,32400,8,16200,10,32400,30,32400,99,12960000,0,0,0,0,0,0,62,40000,99,4000000,talent_3.png,zhenbao_1,15,elogo24000091.png,6,1,91000002,1000
24000091,4,22000001,18,3,7,8,6,6,19,8,6,388800,7,38880,8,19440,10,38880,30,38880,99,15552000,0,0,0,0,0,0,63,40000,99,4000000,talent_4.png,zhenbao_1,15,elogo24000091.png,6,1,91000002,1000
24000091,5,22000001,21,3,7,8,6,6,19,8,6,453600,7,45360,8,22680,10,45360,30,45360,99,18144000,0,0,0,0,0,0,62,80000,99,8000000,talent_3.png,zhenbao_1,15,elogo24000091.png,6,1,91000002,1000
24000091,6,0,0,3,0,0,0,0,0,0,6,518400,7,51840,8,25920,10,51840,30,51840,99,20736000,0,0,0,0,0,0,63,80000,99,8000000,talent_4.png,zhenbao_1,15,elogo24000091.png,6,1,91000002,1000
24000092,0,22000002,6,3,9,10,6,6,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zhenbao_2,15,elogo24000092.png,6,1,91000002,1000
24000092,1,22000002,9,3,9,10,6,6,20,10,6,216000,8,10800,9,43200,10,21600,30,21600,99,8640000,0,0,0,0,0,0,62,20000,99,2000000,talent_3.png,zhenbao_2,15,elogo24000092.png,6,1,91000002,1000
24000092,2,22000002,12,3,9,10,6,6,20,10,6,259200,8,12960,9,51840,10,25920,30,25920,99,10368000,0,0,0,0,0,0,63,20000,99,2000000,talent_4.png,zhenbao_2,15,elogo24000092.png,6,1,91000002,1000
24000092,3,22000002,15,3,9,10,6,6,20,10,6,324000,8,16200,9,64800,10,32400,30,32400,99,12960000,0,0,0,0,0,0,62,40000,99,4000000,talent_3.png,zhenbao_2,15,elogo24000092.png,6,1,91000002,1000
24000092,4,22000002,18,3,9,10,6,6,20,10,6,388800,8,19440,9,77760,10,38880,30,38880,99,15552000,0,0,0,0,0,0,63,40000,99,4000000,talent_4.png,zhenbao_2,15,elogo24000092.png,6,1,91000002,1000
24000092,5,22000002,21,3,9,10,6,6,20,10,6,453600,8,22680,9,90720,10,45360,30,45360,99,18144000,0,0,0,0,0,0,62,80000,99,8000000,talent_3.png,zhenbao_2,15,elogo24000092.png,6,1,91000002,1000
24000092,6,0,0,3,0,0,0,0,0,0,6,518400,8,25920,9,103680,10,51840,30,51840,99,20736000,0,0,0,0,0,0,63,80000,99,8000000,talent_4.png,zhenbao_2,15,elogo24000092.png,6,1,91000002,1000
24000093,0,22000003,6,3,29,30,6,6,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,zhenbao_3,15,elogo24000093.png,6,1,91000002,1000
24000093,1,22000003,9,3,29,30,6,6,6,30,6,216000,8,10800,10,21600,29,21600,30,21600,99,8640000,0,0,0,0,0,0,62,20000,99,2000000,talent_3.png,zhenbao_3,15,elogo24000093.png,6,1,91000002,1000
24000093,2,22000003,12,3,29,30,6,6,6,30,6,259200,8,12960,10,25920,29,25920,30,25920,99,10368000,0,0,0,0,0,0,63,20000,99,2000000,talent_4.png,zhenbao_3,15,elogo24000093.png,6,1,91000002,1000
24000093,3,22000003,15,3,29,30,6,6,6,30,6,324000,8,16200,10,32400,29,32400,30,32400,99,12960000,0,0,0,0,0,0,62,40000,99,4000000,talent_3.png,zhenbao_3,15,elogo24000093.png,6,1,91000002,1000
24000093,4,22000003,18,3,29,30,6,6,6,30,6,388800,8,19440,10,38880,29,38880,30,38880,99,15552000,0,0,0,0,0,0,63,40000,99,4000000,talent_4.png,zhenbao_3,15,elogo24000093.png,6,1,91000002,1000
24000093,5,22000003,21,3,29,30,6,6,6,30,6,453600,8,22680,10,45360,29,45360,30,45360,99,18144000,0,0,0,0,0,0,62,80000,99,8000000,talent_3.png,zhenbao_3,15,elogo24000093.png,6,1,91000002,1000
24000093,6,0,0,3,0,0,0,0,0,0,6,518400,8,25920,10,51840,29,51840,30,51840,99,20736000,0,0,0,0,0,0,63,80000,99,8000000,talent_4.png,zhenbao_3,15,elogo24000093.png,6,1,91000002,1000
